# PORT_M1B_SPEC.md S1.1 OR_EXT ledger (CC-M1-6.1) (spec_sha16=d31f48b59877e44d)
# params_hash=c0fd01c82cf4831599c021524d8cdabcf7a0af758ef8b6b9047750390b514b38
# S1.1 differential vs m1/levels_v3 over EVERY session: adding the OR_EXT family may not perturb any other level, and every new touch must belong to OR_EXT
asset	date8	n_non_orext_rows	n_non_orext_mismatch	n_orext_rows	n_orext_unexpected_keys	n_touches_v3	n_touches_v4	n_orext_touches	verdict
SI	20220113	216	0	40	0	298	347	49	PASS
SI	20220114	205	0	40	0	395	461	66	PASS
SI	20220117	212	0	40	0	151	184	33	PASS
SI	20220118	206	0	40	0	498	542	44	PASS
SI	20220119	211	0	40	0	268	304	36	PASS
SI	20220120	214	0	40	0	369	405	36	PASS
SI	20220121	214	0	40	0	408	460	52	PASS
SI	20220124	212	0	40	0	414	458	44	PASS
SI	20220125	210	0	40	0	337	405	68	PASS
SI	20220126	212	0	40	0	523	574	51	PASS
SI	20220127	211	0	40	0	341	380	39	PASS
SI	20220128	215	0	40	0	441	485	44	PASS
SI	20220131	217	0	40	0	423	471	48	PASS
SI	20220201	208	0	40	0	346	393	47	PASS
SI	20220202	219	0	40	0	281	335	54	PASS
SI	20220203	209	0	40	0	334	383	49	PASS
SI	20220204	213	0	40	0	359	426	67	PASS
SI	20220207	211	0	40	0	289	344	55	PASS
SI	20220208	211	0	40	0	237	255	18	PASS
SI	20220209	211	0	40	0	298	338	40	PASS
SI	20220210	207	0	40	0	488	559	71	PASS
SI	20220211	213	0	40	0	417	470	53	PASS
SI	20220214	221	0	40	0	376	418	42	PASS
SI	20220215	211	0	40	0	277	319	42	PASS
SI	20220216	215	0	40	0	248	293	45	PASS
SI	20220217	214	0	40	0	326	385	59	PASS
SI	20220218	212	0	40	0	459	496	37	PASS
SI	20220221	204	0	40	0	205	251	46	PASS
SI	20220222	208	0	40	0	444	492	48	PASS
SI	20220223	210	0	40	0	306	327	21	PASS
SI	20220224	214	0	40	0	603	643	40	PASS
SI	20220225	224	0	40	0	293	345	52	PASS
SI	20220228	217	0	40	0	358	407	49	PASS
SI	20220301	221	0	40	0	337	365	28	PASS
SI	20220302	235	0	40	0	441	490	49	PASS
SI	20220303	218	0	40	0	353	400	47	PASS
SI	20220304	220	0	40	0	468	512	44	PASS
SI	20220307	218	0	40	0	589	621	32	PASS
SI	20220308	222	0	40	0	647	711	64	PASS
SI	20220309	234	0	40	0	545	594	49	PASS
SI	20220310	238	0	40	0	381	438	57	PASS
SI	20220311	215	0	40	0	257	295	38	PASS
SI	20220314	218	0	40	0	339	362	23	PASS
SI	20220315	225	0	40	0	271	323	52	PASS
SI	20220316	221	0	40	0	372	418	46	PASS
SI	20220317	230	0	40	0	198	245	47	PASS
SI	20220318	218	0	40	0	279	306	27	PASS
SI	20220321	219	0	40	0	258	303	45	PASS
SI	20220322	214	0	40	0	253	289	36	PASS
SI	20220323	221	0	40	0	243	269	26	PASS
SI	20220324	218	0	40	0	232	270	38	PASS
SI	20220325	230	0	40	0	219	251	32	PASS
SI	20220328	213	0	40	0	252	278	26	PASS
SI	20220329	212	0	40	0	256	301	45	PASS
SI	20220330	226	0	40	0	282	325	43	PASS
SI	20220331	217	0	40	0	259	288	29	PASS
SI	20220401	220	0	40	0	416	447	31	PASS
SI	20220404	215	0	40	0	403	441	38	PASS
SI	20220405	218	0	40	0	345	375	30	PASS
SI	20220406	223	0	40	0	453	504	51	PASS
SI	20220407	217	0	40	0	277	317	40	PASS
SI	20220408	214	0	40	0	293	325	32	PASS
SI	20220411	211	0	40	0	311	346	35	PASS
SI	20220412	218	0	40	0	393	430	37	PASS
SI	20220413	222	0	40	0	331	384	53	PASS
SI	20220414	217	0	40	0	361	410	49	PASS
SI	20220418	217	0	40	0	468	513	45	PASS
SI	20220419	223	0	40	0	370	420	50	PASS
SI	20220420	224	0	40	0	281	336	55	PASS
SI	20220421	208	0	40	0	329	373	44	PASS
SI	20220422	222	0	40	0	307	349	42	PASS
SI	20220425	210	0	40	0	326	359	33	PASS
SI	20220426	214	0	40	0	376	423	47	PASS
SI	20220427	213	0	40	0	393	449	56	PASS
SI	20220428	218	0	40	0	473	537	64	PASS
SI	20220429	210	0	40	0	427	461	34	PASS
SI	20220502	214	0	40	0	386	433	47	PASS
SI	20220503	216	0	40	0	521	576	55	PASS
SI	20220504	211	0	40	0	458	498	40	PASS
SI	20220505	217	0	40	0	448	502	54	PASS
SI	20220506	229	0	40	0	294	351	57	PASS
SI	20220509	214	0	40	0	383	427	44	PASS
SI	20220510	218	0	40	0	418	467	49	PASS
SI	20220511	224	0	40	0	391	429	38	PASS
SI	20220512	220	0	40	0	380	436	56	PASS
SI	20220513	223	0	40	0	387	446	59	PASS
SI	20220516	217	0	40	0	285	322	37	PASS
SI	20220517	225	0	40	0	224	262	38	PASS
SI	20220518	212	0	40	0	269	317	48	PASS
SI	20220519	211	0	40	0	303	359	56	PASS
SI	20220520	218	0	40	0	321	345	24	PASS
SI	20220523	215	0	40	0	353	374	21	PASS
SI	20220524	216	0	40	0	337	384	47	PASS
SI	20220525	217	0	40	0	287	317	30	PASS
SI	20220526	216	0	40	0	255	298	43	PASS
SI	20220527	217	0	40	0	297	329	32	PASS
SI	20220530	213	0	40	0	242	287	45	PASS
SI	20220531	208	0	40	0	343	384	41	PASS
SI	20220601	215	0	40	0	511	560	49	PASS
SI	20220602	210	0	40	0	259	300	41	PASS
SI	20220603	212	0	40	0	507	549	42	PASS
SI	20220606	210	0	40	0	389	419	30	PASS
SI	20220607	211	0	40	0	427	475	48	PASS
SI	20220608	205	0	40	0	425	456	31	PASS
SI	20220609	218	0	40	0	478	521	43	PASS
SI	20220610	213	0	40	0	656	698	42	PASS
SI	20220613	214	0	40	0	383	412	29	PASS
SI	20220614	225	0	40	0	550	602	52	PASS
SI	20220615	210	0	40	0	356	397	41	PASS
SI	20220616	214	0	40	0	469	512	43	PASS
SI	20220617	216	0	40	0	401	440	39	PASS
SI	20220620	206	0	40	0	317	361	44	PASS
SI	20220621	206	0	40	0	459	501	42	PASS
SI	20220622	215	0	40	0	466	492	26	PASS
SI	20220623	207	0	40	0	494	541	47	PASS
SI	20220624	219	0	40	0	600	657	57	PASS
SI	20220627	211	0	40	0	323	355	32	PASS
SI	20220628	209	0	40	0	331	385	54	PASS
SI	20220629	211	0	40	0	486	551	65	PASS
SI	20220630	209	0	40	0	450	503	53	PASS
SI	20220701	212	0	40	0	280	317	37	PASS
SI	20220704	218	0	40	0	244	275	31	PASS
SI	20220705	205	0	40	0	374	409	35	PASS
SI	20220706	220	0	40	0	591	653	62	PASS
SI	20220707	211	0	40	0	375	433	58	PASS
SI	20220708	209	0	40	0	539	608	69	PASS
SI	20220711	215	0	40	0	431	462	31	PASS
SI	20220712	204	0	40	0	591	648	57	PASS
SI	20220713	213	0	40	0	533	571	38	PASS
SI	20220714	207	0	40	0	274	310	36	PASS
SI	20220715	225	0	40	0	393	443	50	PASS
SI	20220718	211	0	40	0	313	365	52	PASS
SI	20220719	208	0	40	0	300	331	31	PASS
SI	20220720	206	0	40	0	456	498	42	PASS
SI	20220721	208	0	40	0	527	562	35	PASS
SI	20220722	213	0	40	0	503	543	40	PASS
SI	20220725	211	0	40	0	336	380	44	PASS
SI	20220726	211	0	40	0	344	396	52	PASS
SI	20220727	206	0	40	0	463	501	38	PASS
SI	20220728	211	0	40	0	279	323	44	PASS
SI	20220729	225	0	40	0	456	501	45	PASS
SI	20220801	206	0	40	0	581	628	47	PASS
SI	20220802	208	0	40	0	686	737	51	PASS
SI	20220803	211	0	40	0	525	561	36	PASS
SI	20220804	206	0	40	0	439	473	34	PASS
SI	20220805	211	0	40	0	382	415	33	PASS
SI	20220808	213	0	40	0	228	245	17	PASS
SI	20220809	220	0	40	0	334	389	55	PASS
SI	20220810	207	0	40	0	499	518	19	PASS
SI	20220811	211	0	40	0	460	506	46	PASS
SI	20220812	207	0	40	0	414	441	27	PASS
SI	20220815	215	0	40	0	387	429	42	PASS
SI	20220816	212	0	40	0	420	463	43	PASS
SI	20220817	204	0	40	0	372	409	37	PASS
SI	20220818	208	0	40	0	400	438	38	PASS
SI	20220819	211	0	40	0	218	265	47	PASS
SI	20220822	206	0	40	0	425	463	38	PASS
SI	20220823	209	0	40	0	461	513	52	PASS
SI	20220824	212	0	40	0	493	541	48	PASS
SI	20220825	207	0	40	0	376	400	24	PASS
SI	20220826	209	0	40	0	627	680	53	PASS
SI	20220829	209	0	40	0	345	374	29	PASS
SI	20220830	214	0	40	0	439	495	56	PASS
SI	20220831	206	0	40	0	271	312	41	PASS
SI	20220901	205	0	40	0	469	522	53	PASS
SI	20220902	207	0	40	0	351	409	58	PASS
SI	20220905	218	0	40	0	277	298	21	PASS
SI	20220906	206	0	40	0	526	582	56	PASS
SI	20220907	212	0	40	0	366	416	50	PASS
SI	20220908	217	0	40	0	524	577	53	PASS
SI	20220909	206	0	40	0	434	478	44	PASS
SI	20220912	209	0	40	0	227	242	15	PASS
SI	20220913	220	0	40	0	547	600	53	PASS
SI	20220914	210	0	40	0	401	468	67	PASS
SI	20220915	207	0	40	0	468	540	72	PASS
SI	20220916	212	0	40	0	455	481	26	PASS
SI	20220919	219	0	40	0	406	461	55	PASS
SI	20220920	205	0	40	0	366	422	56	PASS
SI	20220921	208	0	40	0	519	575	56	PASS
SI	20220922	215	0	40	0	557	604	47	PASS
SI	20220923	215	0	40	0	367	424	57	PASS
SI	20220926	206	0	40	0	499	547	48	PASS
SI	20220927	218	0	40	0	478	517	39	PASS
SI	20220928	211	0	40	0	453	506	53	PASS
SI	20220929	225	0	40	0	473	517	44	PASS
SI	20220930	207	0	40	0	366	405	39	PASS
SI	20221003	213	0	40	0	312	334	22	PASS
SI	20221004	236	0	40	0	380	426	46	PASS
SI	20221005	213	0	40	0	402	449	47	PASS
SI	20221006	222	0	40	0	428	470	42	PASS
SI	20221007	209	0	40	0	437	469	32	PASS
SI	20221010	219	0	40	0	305	338	33	PASS
SI	20221011	216	0	40	0	408	461	53	PASS
SI	20221012	212	0	40	0	454	521	67	PASS
SI	20221013	213	0	40	0	493	522	29	PASS
SI	20221014	215	0	40	0	375	415	40	PASS
SI	20221017	225	0	40	0	356	385	29	PASS
SI	20221018	216	0	40	0	375	423	48	PASS
SI	20221019	208	0	40	0	263	304	41	PASS
SI	20221020	204	0	40	0	467	514	47	PASS
SI	20221021	218	0	40	0	488	522	34	PASS
SI	20221024	223	0	40	0	455	493	38	PASS
SI	20221025	209	0	40	0	362	387	25	PASS
SI	20221026	210	0	40	0	414	464	50	PASS
SI	20221027	206	0	40	0	510	569	59	PASS
SI	20221028	207	0	40	0	306	328	22	PASS
SI	20221031	207	0	40	0	402	428	26	PASS
SI	20221101	208	0	40	0	361	394	33	PASS
SI	20221102	208	0	40	0	505	547	42	PASS
SI	20221103	215	0	40	0	409	446	37	PASS
SI	20221104	219	0	40	0	229	273	44	PASS
SI	20221107	224	0	40	0	428	470	42	PASS
SI	20221108	207	0	40	0	340	375	35	PASS
SI	20221109	219	0	40	0	398	454	56	PASS
SI	20221110	207	0	40	0	411	440	29	PASS
SI	20221111	222	0	40	0	520	549	29	PASS
SI	20221114	212	0	40	0	420	447	27	PASS
SI	20221115	215	0	40	0	626	683	57	PASS
SI	20221116	216	0	40	0	403	436	33	PASS
SI	20221117	213	0	40	0	338	386	48	PASS
SI	20221118	216	0	40	0	342	381	39	PASS
SI	20221121	207	0	40	0	380	431	51	PASS
SI	20221122	203	0	40	0	278	300	22	PASS
SI	20221123	207	0	40	0	461	512	51	PASS
SI	20221124	214	0	40	0	236	275	39	PASS
SI	20221125	205	0	40	0	225	281	56	PASS
SI	20221128	210	0	40	0	544	577	33	PASS
SI	20221129	216	0	40	0	426	476	50	PASS
SI	20221130	212	0	40	0	419	462	43	PASS
SI	20221201	221	0	40	0	383	402	19	PASS
SI	20221202	218	0	40	0	519	577	58	PASS
SI	20221205	220	0	40	0	326	361	35	PASS
SI	20221206	219	0	40	0	319	373	54	PASS
SI	20221207	212	0	40	0	449	489	40	PASS
SI	20221208	211	0	40	0	218	239	21	PASS
SI	20221209	214	0	40	0	454	487	33	PASS
SI	20221212	218	0	40	0	408	452	44	PASS
SI	20221213	207	0	40	0	562	602	40	PASS
SI	20221214	213	0	40	0	533	605	72	PASS
SI	20221215	213	0	40	0	402	435	33	PASS
SI	20221216	216	0	40	0	577	643	66	PASS
SI	20221219	214	0	40	0	394	433	39	PASS
SI	20221220	211	0	40	0	309	368	59	PASS
SI	20221221	222	0	40	0	326	382	56	PASS
SI	20221222	208	0	40	0	309	340	31	PASS
SI	20221223	214	0	40	0	307	345	38	PASS
SI	20221227	205	0	40	0	434	464	30	PASS
SI	20221228	215	0	40	0	365	397	32	PASS
SI	20221229	217	0	40	0	392	426	34	PASS
SI	20221230	212	0	40	0	466	538	72	PASS
SI	20230103	212	0	40	0	581	632	51	PASS
SI	20230104	212	0	40	0	487	532	45	PASS
SI	20230105	213	0	40	0	383	437	54	PASS
SI	20230106	214	0	40	0	324	363	39	PASS
SI	20230109	212	0	40	0	367	412	45	PASS
SI	20230110	211	0	40	0	246	303	57	PASS
SI	20230111	206	0	40	0	370	400	30	PASS
SI	20230112	216	0	40	0	432	491	59	PASS
SI	20230113	213	0	40	0	436	476	40	PASS
SI	20230116	214	0	40	0	253	293	40	PASS
SI	20230117	210	0	40	0	385	449	64	PASS
SI	20230118	207	0	40	0	460	547	87	PASS
SI	20230119	214	0	40	0	461	507	46	PASS
SI	20230120	211	0	40	0	323	371	48	PASS
SI	20230123	205	0	40	0	355	379	24	PASS
SI	20230124	220	0	40	0	313	357	44	PASS
SI	20230125	211	0	40	0	489	550	61	PASS
SI	20230126	214	0	40	0	530	580	50	PASS
SI	20230127	219	0	40	0	375	413	38	PASS
SI	20230130	206	0	40	0	355	393	38	PASS
SI	20230131	205	0	40	0	378	402	24	PASS
SI	20230201	214	0	40	0	513	545	32	PASS
SI	20230202	211	0	40	0	469	506	37	PASS
SI	20230203	223	0	40	0	267	298	31	PASS
SI	20230206	222	0	40	0	332	362	30	PASS
SI	20230207	210	0	40	0	510	558	48	PASS
SI	20230208	212	0	40	0	347	400	53	PASS
SI	20230209	209	0	40	0	420	465	45	PASS
SI	20230210	214	0	40	0	375	425	50	PASS
SI	20230213	208	0	40	0	460	488	28	PASS
SI	20230214	204	0	40	0	678	735	57	PASS
SI	20230215	211	0	40	0	367	406	39	PASS
SI	20230216	209	0	40	0	451	495	44	PASS
SI	20230217	208	0	40	0	449	477	28	PASS
SI	20230220	213	0	40	0	324	354	30	PASS
SI	20230221	201	0	40	0	481	532	51	PASS
SI	20230222	209	0	40	0	380	432	52	PASS
SI	20230223	209	0	40	0	298	331	33	PASS
SI	20230224	210	0	40	0	315	358	43	PASS
SI	20230227	212	0	40	0	388	452	64	PASS
SI	20230228	203	0	40	0	468	534	66	PASS
SI	20230301	214	0	40	0	427	495	68	PASS
SI	20230302	204	0	40	0	326	375	49	PASS
SI	20230303	206	0	40	0	342	388	46	PASS
SI	20230306	210	0	40	0	513	560	47	PASS
SI	20230307	208	0	40	0	235	279	44	PASS
SI	20230308	221	0	40	0	320	347	27	PASS
SI	20230309	202	0	40	0	274	335	61	PASS
SI	20230310	205	0	40	0	421	455	34	PASS
SI	20230313	214	0	40	0	336	381	45	PASS
SI	20230314	217	0	40	0	347	417	70	PASS
SI	20230315	221	0	40	0	598	683	85	PASS
SI	20230316	225	0	40	0	457	506	49	PASS
SI	20230317	212	0	40	0	386	430	44	PASS
SI	20230320	227	0	40	0	418	468	50	PASS
SI	20230321	213	0	40	0	393	459	66	PASS
SI	20230322	209	0	40	0	458	503	45	PASS
SI	20230323	220	0	40	0	396	458	62	PASS
SI	20230324	212	0	40	0	582	634	52	PASS
SI	20230327	212	0	40	0	326	342	16	PASS
SI	20230328	215	0	40	0	387	431	44	PASS
SI	20230329	214	0	40	0	325	355	30	PASS
SI	20230330	209	0	40	0	324	363	39	PASS
SI	20230331	219	0	40	0	508	573	65	PASS
SI	20230403	210	0	40	0	529	567	38	PASS
SI	20230404	214	0	40	0	327	361	34	PASS
SI	20230405	224	0	40	0	523	582	59	PASS
SI	20230406	204	0	40	0	329	379	50	PASS
SI	20230410	212	0	40	0	418	445	27	PASS
SI	20230411	215	0	40	0	340	391	51	PASS
SI	20230412	209	0	40	0	523	558	35	PASS
SI	20230413	220	0	40	0	362	411	49	PASS
SI	20230414	207	0	40	0	488	523	35	PASS
SI	20230417	221	0	40	0	345	371	26	PASS
SI	20230418	215	0	40	0	232	270	38	PASS
SI	20230419	214	0	40	0	443	468	25	PASS
SI	20230420	208	0	40	0	487	545	58	PASS
SI	20230421	208	0	40	0	443	501	58	PASS
SI	20230424	213	0	40	0	371	422	51	PASS
SI	20230425	215	0	40	0	525	581	56	PASS
SI	20230426	223	0	40	0	470	526	56	PASS
SI	20230427	208	0	40	0	474	510	36	PASS
SI	20230428	216	0	40	0	414	468	54	PASS
SI	20230501	211	0	40	0	565	599	34	PASS
SI	20230502	224	0	40	0	426	471	45	PASS
SI	20230503	220	0	40	0	405	462	57	PASS
SI	20230504	209	0	40	0	380	411	31	PASS
SI	20230505	214	0	40	0	309	350	41	PASS
SI	20230508	215	0	40	0	239	281	42	PASS
SI	20230509	208	0	40	0	356	395	39	PASS
SI	20230510	207	0	40	0	432	486	54	PASS
SI	20230511	212	0	40	0	245	272	27	PASS
SI	20230512	219	0	40	0	260	293	33	PASS
SI	20230515	210	0	40	0	323	344	21	PASS
SI	20230516	208	0	40	0	469	512	43	PASS
SI	20230517	214	0	40	0	442	491	49	PASS
SI	20230518	207	0	40	0	391	458	67	PASS
SI	20230519	210	0	40	0	443	493	50	PASS
SI	20230522	205	0	40	0	309	356	47	PASS
SI	20230523	209	0	40	0	334	366	32	PASS
SI	20230524	210	0	40	0	334	383	49	PASS
SI	20230525	213	0	40	0	360	410	50	PASS
SI	20230526	207	0	40	0	327	374	47	PASS
SI	20230529	215	0	40	0	199	238	39	PASS
SI	20230530	202	0	40	0	439	503	64	PASS
SI	20230531	207	0	40	0	565	614	49	PASS
SI	20230601	213	0	40	0	414	475	61	PASS
SI	20230602	210	0	40	0	397	449	52	PASS
SI	20230605	208	0	40	0	320	378	58	PASS
SI	20230606	208	0	40	0	370	418	48	PASS
SI	20230607	206	0	40	0	440	484	44	PASS
SI	20230608	216	0	40	0	279	309	30	PASS
SI	20230609	217	0	40	0	423	467	44	PASS
SI	20230612	203	0	40	0	366	391	25	PASS
SI	20230613	212	0	40	0	471	528	57	PASS
SI	20230614	213	0	40	0	320	348	28	PASS
SI	20230615	208	0	40	0	380	401	21	PASS
SI	20230616	218	0	40	0	416	493	77	PASS
SI	20230619	203	0	40	0	326	362	36	PASS
SI	20230620	202	0	40	0	273	307	34	PASS
SI	20230621	212	0	40	0	329	352	23	PASS
SI	20230622	210	0	40	0	352	393	41	PASS
SI	20230623	205	0	40	0	327	355	28	PASS
SI	20230626	211	0	40	0	255	303	48	PASS
