# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# one row per session: window/episode counters and the slice-miner session context
asset	trade_date	year	open_utc	dow	insane_frac	n_base_candidates	n_new_candidates	n_g1_confirmations	n_g2_confirmations	n_conf_in_fd1	n_conf_in_fd2	n_conf_in_fd3	n_shock_episodes	n_insane_episodes	n_fd4_triggers	fd4_latency_median_sec	n_fd5_tags	n_fd6_tags	n_base_keys_reconstructed
SI	2021-07-18	2021	1626559200	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-07-19	2021	1626645600	0	0.000000	603	71	535	102	7	10	24	0	0	0		5	249	603
SI	2021-07-20	2021	1626732000	1	0.000000	400	57	349	109	8	9	17	0	0	0		5	82	400
SI	2021-07-21	2021	1626818400	2	0.000000	341	43	308	75	9	6	10	0	0	0		5	175	341
SI	2021-07-22	2021	1626904800	3	0.000000	292	40	253	72	4	2	15	0	0	0		5	166	292
SI	2021-07-23	2021	1626991200	4	0.000000	264	46	228	69	14	2	8	0	0	0		4	50	264
SI	2021-07-26	2021	1627250400	0	0.000000	324	55	291	47	7	7	17	0	0	0		4	256	324
SI	2021-07-27	2021	1627336800	1	0.000000	448	52	393	108	8	10	13	0	0	0		5	200	448
SI	2021-07-28	2021	1627423200	2	0.000000	383	91	325	119	9	5	36	0	0	0		5	90	383
SI	2021-07-29	2021	1627509600	3	0.000000	358	39	312	93	4	8	12	0	0	0		5	167	358
SI	2021-07-30	2021	1627596000	4	0.000000	294	41	233	101	5	5	13	0	0	0		4	15	294
SI	2021-08-02	2021	1627855200	0	0.000000	396	58	323	113	6	8	19	0	0	0		5	30	396
SI	2021-08-03	2021	1627941600	1	0.000000	292	37	253	81	2	6	14	0	0	0		6	111	292
SI	2021-08-04	2021	1628028000	2	0.000000	412	66	351	102	2	4	29	0	0	0		6	214	412
SI	2021-08-05	2021	1628114400	3	0.000000	287	45	234	103	5	7	14	0	0	0		6	200	287
SI	2021-08-06	2021	1628200800	4	0.000000	484	137	435	79	8	16	56	1	0	1	6.000000	6	367	484
SI	2021-08-09	2021	1628460000	0	0.000423	1208	89	1113	164	12	13	26	8	1	9	4.000000	6	564	1208
SI	2021-08-10	2021	1628546400	1	0.000000	244	33	207	71	5	5	9	0	0	0		5	42	244
SI	2021-08-11	2021	1628632800	2	0.000000	267	87	217	86	5	12	33	2	0	2	22.000000	4	89	267
SI	2021-08-12	2021	1628719200	3	0.000000	310	67	264	94	4	9	26	2	0	2	25.000000	6	296	310
SI	2021-08-13	2021	1628805600	4	0.000000	229	54	184	76	9	6	15	0	0	0		6	181	229
SI	2021-08-16	2021	1629064800	0	0.000000	195	10	166	44	2	2	2	0	0	0		5	74	195
SI	2021-08-17	2021	1629151200	1	0.000000	252	63	202	94	2	10	25	0	0	0		6	130	252
SI	2021-08-18	2021	1629237600	2	0.000000	242	35	197	67	5	7	9	0	0	0		5	207	242
SI	2021-08-19	2021	1629324000	3	0.000000	334	42	265	122	5	6	13	0	0	0		6	169	334
SI	2021-08-20	2021	1629410400	4	0.000000	259	26	202	145	1	4	10	0	0	0		6	96	259
SI	2021-08-23	2021	1629669600	0	0.000000	320	42	280	75	6	14	8	0	0	0		6	176	320
SI	2021-08-24	2021	1629756000	1	0.000000	273	38	224	93	3	13	10	0	0	0		6	147	273
SI	2021-08-25	2021	1629842400	2	0.000000	306	58	236	126	7	6	20	0	0	0		5	65	306
SI	2021-08-26	2021	1629928800	3	0.000000	311	50	254	115	3	10	18	0	0	0		6	151	311
SI	2021-08-27	2021	1630015200	4	0.000193	393	110	320	153	5	11	46	1	1	1	35.000000	6	289	393
SI	2021-08-30	2021	1630274400	0	0.000000	276	46	245	59	3	10	16	0	0	0		6	141	276
SI	2021-08-31	2021	1630360800	1	0.000000	332	59	273	112	7	6	20	0	0	0		6	127	332
SI	2021-09-01	2021	1630447200	2	0.000000	356	65	286	139	6	7	23	0	0	0		6	293	356
SI	2021-09-02	2021	1630533600	3	0.000000	224	53	185	68	3	9	20	0	0	0		4	175	224
SI	2021-09-03	2021	1630620000	4	0.000000	324	146	290	109	5	2	71	1	0	1	8.000000	6	403	324
SI	2021-09-06	2021	1630879200	0	0.000000	154	12	136	28	3	2	2	0	0	0		4	0	154
SI	2021-09-07	2021	1630965600	1	0.000000	386	83	330	86	14	8	25	0	0	0		5	159	386
SI	2021-09-08	2021	1631052000	2	0.000000	348	57	293	109	3	9	22	0	0	0		6	231	348
SI	2021-09-09	2021	1631138400	3	0.000000	262	36	223	73	0	8	14	0	0	0		6	20	262
SI	2021-09-10	2021	1631224800	4	0.000000	297	50	250	91	4	10	16	0	0	0		6	84	297
SI	2021-09-13	2021	1631484000	0	0.000000	417	50	345	130	5	6	18	0	0	0		6	225	417
SI	2021-09-14	2021	1631570400	1	0.000000	398	76	313	141	4	8	32	1	0	1	14.000000	5	178	398
SI	2021-09-15	2021	1631656800	2	0.000000	294	47	244	89	0	10	19	0	0	0		5	2	294
SI	2021-09-16	2021	1631743200	3	0.000000	545	128	500	83	11	0	54	0	0	0		6	583	545
SI	2021-09-17	2021	1631829600	4	0.000000	386	60	337	80	6	16	17	0	0	0		6	362	386
SI	2021-09-20	2021	1632088800	0	0.000000	449	78	368	167	11	15	21	1	0	1	6.000000	6	101	449
SI	2021-09-21	2021	1632175200	1	0.000000	307	41	259	90	7	7	10	0	0	0		5	61	307
SI	2021-09-22	2021	1632261600	2	0.000000	606	119	507	194	5	11	56	6	0	6	17.500000	6	359	606
SI	2021-09-23	2021	1632348000	3	0.000000	387	70	319	112	14	14	14	0	0	0		5	115	387
SI	2021-09-24	2021	1632434400	4	0.000000	313	56	252	103	8	10	15	0	0	0		6	199	313
SI	2021-09-27	2021	1632693600	0	0.000000	322	43	260	102	6	6	13	0	0	0		6	165	322
SI	2021-09-28	2021	1632780000	1	0.000000	515	56	409	194	5	7	21	0	0	0		6	412	515
SI	2021-09-29	2021	1632866400	2	0.000000	519	64	454	116	5	14	21	0	0	0		6	450	519
SI	2021-09-30	2021	1632952800	3	0.000000	411	62	355	91	6	6	22	0	0	0		5	339	411
SI	2021-10-01	2021	1633039200	4	0.000000	391	90	337	91	8	8	35	0	0	0		6	187	391
SI	2021-10-04	2021	1633298400	0	0.000000	308	47	252	88	2	7	18	0	0	0		6	180	308
SI	2021-10-05	2021	1633384800	1	0.000000	242	55	215	33	5	7	19	0	0	0		4	20	242
SI	2021-10-06	2021	1633471200	2	0.000000	411	71	321	158	13	4	21	0	0	0		6	139	411
SI	2021-10-07	2021	1633557600	3	0.000000	318	36	245	118	3	6	12	0	0	0		6	67	318
SI	2021-10-08	2021	1633644000	4	0.000000	427	91	368	118	6	8	38	1	0	1	7.000000	6	412	427
SI	2021-10-11	2021	1633903200	0	0.000000	249	17	199	67	5	1	3	0	0	0		5	112	249
SI	2021-10-12	2021	1633989600	1	0.000000	314	43	236	125	5	5	14	0	0	0		6	47	314
SI	2021-10-13	2021	1634076000	2	0.000000	385	69	326	105	6	7	25	0	0	0		6	229	385
SI	2021-10-14	2021	1634162400	3	0.000000	305	40	254	110	4	10	12	0	0	0		6	98	305
SI	2021-10-15	2021	1634248800	4	0.000000	306	65	249	105	5	7	24	0	0	0		4	76	306
SI	2021-10-18	2021	1634508000	0	0.000000	397	76	323	114	5	11	28	0	0	0		5	119	397
SI	2021-10-19	2021	1634594400	1	0.000000	424	56	364	86	8	12	14	0	0	0		5	367	424
SI	2021-10-20	2021	1634680800	2	0.000000	303	47	254	95	4	5	17	0	0	0		6	173	303
SI	2021-10-21	2021	1634767200	3	0.000000	390	47	333	92	6	7	14	0	0	0		5	69	390
SI	2021-10-22	2021	1634853600	4	0.000000	427	48	378	92	3	4	19	0	0	0		6	249	427
SI	2021-10-25	2021	1635112800	0	0.000000	352	44	291	96	2	10	15	0	0	0		5	8	352
SI	2021-10-26	2021	1635199200	1	0.000000	355	79	280	109	6	1	34	0	0	0		6	270	355
SI	2021-10-27	2021	1635285600	2	0.000000	324	56	260	107	3	9	21	0	0	0		6	190	324
SI	2021-10-28	2021	1635372000	3	0.000000	413	89	338	119	5	15	33	0	0	0		4	33	413
SI	2021-10-29	2021	1635458400	4	0.000000	448	82	349	233	4	7	34	1	0	1	51.000000	6	385	448
SI	2021-11-01	2021	1635717600	0	0.000000	302	41	248	92	5	6	14	0	0	0		5	66	302
SI	2021-11-02	2021	1635804000	1	0.000000	316	56	268	103	6	10	17	0	0	0		6	243	316
SI	2021-11-03	2021	1635890400	2	0.000000	465	149	409	104	5	13	65	1	0	1	9.000000	6	438	465
SI	2021-11-04	2021	1635976800	3	0.000000	328	52	276	79	2	6	21	0	0	0		6	185	328
SI	2021-11-05	2021	1636063200	4	0.000000	410	100	339	132	4	15	41	0	0	0		6	152	410
SI	2021-11-08	2021	1636326000	0	0.000000	312	44	258	71	3	4	17	0	0	0		4	108	312
SI	2021-11-09	2021	1636412400	1	0.000000	291	57	247	118	8	7	17	0	0	0		5	134	291
SI	2021-11-10	2021	1636498800	2	0.000012	498	130	430	162	11	8	51	2	0	2	52.500000	6	487	498
SI	2021-11-11	2021	1636585200	3	0.000000	331	53	286	114	11	3	14	0	0	0		6	193	331
SI	2021-11-12	2021	1636671600	4	0.000000	312	55	259	123	9	7	15	0	0	0		6	315	312
SI	2021-11-14	2021	1636844400	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-11-15	2021	1636930800	0	0.000000	331	61	293	61	7	5	21	0	0	0		4	298	331
SI	2021-11-16	2021	1637017200	1	0.000000	403	83	323	173	10	5	30	0	0	0		6	326	403
SI	2021-11-17	2021	1637103600	2	0.000000	243	31	204	67	4	7	8	0	0	0		4	93	243
SI	2021-11-18	2021	1637190000	3	0.000000	332	61	244	148	5	7	23	0	0	0		6	201	332
SI	2021-11-19	2021	1637276400	4	0.000000	413	56	327	169	9	7	16	0	0	0		6	109	413
SI	2021-11-22	2021	1637535600	0	0.000000	486	57	386	185	12	12	11	1	0	1	7.000000	6	336	486
SI	2021-11-23	2021	1637622000	1	0.000000	530	105	460	111	19	11	30	0	0	0		6	463	530
SI	2021-11-24	2021	1637708400	2	0.000000	339	52	287	88	5	6	18	0	0	0		5	46	339
SI	2021-11-25	2021	1637794800	3	0.000000	104	12	98	16	3	2	2	0	0	0		3	22	104
SI	2021-11-26	2021	1637881200	4	0.147476	548	64	438	235	14	4	16	0	8	5	44.000000	6	348	548
SI	2021-11-28	2021	1638054000	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-11-29	2021	1638140400	0	0.000000	448	52	375	131	8	3	17	0	0	0		6	239	448
SI	2021-11-30	2021	1638226800	1	0.000000	558	60	467	210	14	3	15	0	0	0		6	97	558
SI	2021-12-01	2021	1638313200	2	0.000000	478	88	393	178	18	6	23	0	0	0		6	406	478
SI	2021-12-02	2021	1638399600	3	0.000000	328	65	279	76	11	5	19	0	0	0		4	13	328
SI	2021-12-03	2021	1638486000	4	0.000000	430	135	362	149	11	9	55	1	0	1	9.000000	6	225	430
SI	2021-12-05	2021	1638658800	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-12-06	2021	1638745200	0	0.000000	286	35	245	75	7	3	9	0	0	0		4	104	286
SI	2021-12-07	2021	1638831600	1	0.000000	183	22	158	46	4	2	6	0	0	0		6	111	183
SI	2021-12-08	2021	1638918000	2	0.000000	226	37	200	46	6	3	11	0	0	0		4	49	226
SI	2021-12-09	2021	1639004400	3	0.000000	243	27	198	82	2	7	8	0	0	0		5	249	243
SI	2021-12-10	2021	1639090800	4	0.000000	208	60	173	100	2	4	26	1	0	3	1.000000	6	208	208
SI	2021-12-12	2021	1639263600	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-12-13	2021	1639350000	0	0.000000	231	44	207	51	10	4	11	0	0	0		5	76	231
SI	2021-12-14	2021	1639436400	1	0.000000	288	53	268	55	6	7	17	0	0	0		6	287	288
SI	2021-12-15	2021	1639522800	2	0.000000	483	193	412	185	29	3	71	1	0	3	8.000000	6	401	483
SI	2021-12-16	2021	1639609200	3	0.000000	305	50	262	94	6	5	17	0	0	0		6	184	305
SI	2021-12-17	2021	1639695600	4	0.000000	214	34	188	62	2	4	13	0	0	0		6	33	214
SI	2021-12-19	2021	1639868400	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-12-20	2021	1639954800	0	0.000000	247	54	221	43	8	3	18	0	0	0		5	131	247
SI	2021-12-21	2021	1640041200	1	0.000000	254	53	226	75	10	7	14	0	0	0		6	95	254
SI	2021-12-22	2021	1640127600	2	0.000000	207	29	179	65	5	4	8	0	0	0		6	87	207
SI	2021-12-23	2021	1640214000	3	0.000000	208	43	188	63	7	7	11	0	0	0		6	101	208
SI	2021-12-26	2021	1640473200	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2021-12-27	2021	1640559600	0	0.000000	253	32	213	97	7	5	7	0	0	0		6	155	253
SI	2021-12-28	2021	1640646000	1	0.000000	238	31	188	111	5	5	8	0	0	0		6	81	238
SI	2021-12-29	2021	1640732400	2	0.000000	287	64	244	90	18	8	11	0	0	0		5	216	287
SI	2021-12-30	2021	1640818800	3	0.000000	254	39	210	81	7	5	10	0	0	0		5	230	254
SI	2021-12-31	2021	1640905200	4	0.000000	345	55	292	116	13	3	13	0	0	0		6	207	345
SI	2022-01-02	2022	1641078000	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-01-03	2022	1641164400	0	0.000000	458	89	405	94	10	6	32	0	0	0		5	444	458
SI	2022-01-04	2022	1641250800	1	0.000000	369	59	317	110	9	10	16	0	0	0		6	226	369
SI	2022-01-05	2022	1641337200	2	0.000000	392	69	317	133	20	8	11	0	0	0		5	175	392
SI	2022-01-06	2022	1641423600	3	0.000000	615	120	541	119	23	13	31	0	0	0		5	349	615
SI	2022-01-07	2022	1641510000	4	0.000000	328	106	262	155	6	5	47	0	0	0		6	227	328
SI	2022-01-09	2022	1641682800	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-01-10	2022	1641769200	0	0.000000	382	48	327	87	9	12	9	0	0	0		5	153	382
SI	2022-01-11	2022	1641855600	1	0.000000	371	53	318	134	16	6	8	0	0	0		6	181	371
SI	2022-01-12	2022	1641942000	2	0.000000	360	88	315	123	8	3	37	0	0	0		6	283	360
SI	2022-01-13	2022	1642028400	3	0.000000	299	49	271	88	7	2	17	0	0	0		6	80	299
SI	2022-01-14	2022	1642114800	4	0.000000	378	121	321	112	7	13	48	0	0	0		5	170	378
SI	2022-01-16	2022	1642287600	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-01-17	2022	1642374000	0	0.000000	138	14	125	23	2	0	5	0	0	0		3	49	138
SI	2022-01-18	2022	1642460400	1	0.000000	492	127	415	156	11	17	49	2	0	2	26.500000	6	507	492
SI	2022-01-19	2022	1642546800	2	0.000000	469	77	411	118	14	17	17	0	0	0		6	257	469
SI	2022-01-20	2022	1642633200	3	0.000000	434	96	389	135	15	10	29	0	0	0		6	304	434
SI	2022-01-21	2022	1642719600	4	0.000000	451	69	389	161	14	11	16	0	0	0		5	203	451
SI	2022-01-23	2022	1642892400	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-01-24	2022	1642978800	0	0.000000	715	140	618	164	36	11	30	0	0	0		6	420	715
SI	2022-01-25	2022	1643065200	1	0.000000	442	111	378	120	21	11	29	1	0	1	17.000000	4	206	442
SI	2022-01-26	2022	1643151600	2	0.000000	676	209	571	218	60	4	46	0	0	0		6	478	676
SI	2022-01-27	2022	1643238000	3	0.000000	634	95	541	151	12	11	30	0	0	0		5	547	634
SI	2022-01-28	2022	1643324400	4	0.000000	544	120	440	202	14	7	44	0	0	0		6	100	544
SI	2022-01-30	2022	1643497200	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-01-31	2022	1643583600	0	0.000000	418	74	361	128	13	7	21	0	0	0		5	74	418
SI	2022-02-01	2022	1643670000	1	0.000000	461	123	404	113	8	12	48	0	0	0		6	161	461
SI	2022-02-02	2022	1643756400	2	0.000000	332	50	276	100	3	6	19	1	0	1	2.000000	5	140	332
SI	2022-02-03	2022	1643842800	3	0.000000	427	91	363	143	6	13	35	1	0	1	10.000000	6	207	427
SI	2022-02-04	2022	1643929200	4	0.000000	501	164	432	148	11	7	70	1	0	1	3.000000	5	295	501
SI	2022-02-06	2022	1644102000	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-02-07	2022	1644188400	0	0.000000	341	40	287	117	4	8	12	0	0	0		6	143	341
SI	2022-02-08	2022	1644274800	1	0.000000	183	33	166	38	8	5	7	0	0	0		4	127	183
SI	2022-02-09	2022	1644361200	2	0.000000	211	33	189	72	4	9	8	0	0	0		5	62	211
SI	2022-02-10	2022	1644447600	3	0.000000	456	100	366	195	13	7	36	3	0	4	12.000000	6	366	456
SI	2022-02-11	2022	1644534000	4	0.000000	623	105	528	195	33	11	15	0	0	0		6	605	623
SI	2022-02-14	2022	1644793200	0	0.000000	547	79	453	208	17	5	22	0	0	0		6	413	547
SI	2022-02-15	2022	1644879600	1	0.000000	482	82	428	110	13	6	25	0	0	0		6	388	482
SI	2022-02-16	2022	1644966000	2	0.000000	289	64	257	71	15	6	14	0	0	0		5	222	289
SI	2022-02-17	2022	1645052400	3	0.000000	401	56	350	116	12	4	14	0	0	0		5	213	401
SI	2022-02-18	2022	1645138800	4	0.000000	335	76	277	143	17	6	18	0	0	0		6	321	335
SI	2022-02-21	2022	1645398000	0	0.100098	303	24	267	58	8	0	4	0	3	0		5	94	303
SI	2022-02-22	2022	1645484400	1	0.000000	637	99	530	225	25	7	23	1	0	1	15.000000	6	320	637
SI	2022-02-23	2022	1645570800	2	0.000000	365	66	318	98	16	4	15	0	0	0		6	239	365
SI	2022-02-24	2022	1645657200	3	0.000000	1524	310	1329	311	99	24	46	4	0	4	3.000000	6	1202	1524
SI	2022-02-25	2022	1645743600	4	0.000000	567	84	478	142	19	12	17	0	0	0		5	125	567
SI	2022-02-28	2022	1646002800	0	0.000000	590	51	485	141	12	13	8	0	0	0		5	102	590
SI	2022-03-01	2022	1646089200	1	0.000000	474	99	391	130	25	2	24	0	0	0		5	374	474
SI	2022-03-02	2022	1646175600	2	0.000012	588	109	494	139	27	4	26	0	0	0		4	95	588
SI	2022-03-03	2022	1646262000	3	0.000000	432	73	371	114	12	5	22	0	0	0		5	321	432
SI	2022-03-04	2022	1646348400	4	0.000000	445	107	361	179	16	9	34	1	0	1	1.000000	6	293	445
SI	2022-03-07	2022	1646607600	0	0.000000	1041	135	886	281	29	8	36	1	0	1	9.000000	6	550	1041
SI	2022-03-08	2022	1646694000	1	0.000000	1453	176	1259	446	37	8	48	20	0	23	8.000000	6	1131	1453
SI	2022-03-09	2022	1646780400	2	0.000000	927	155	793	194	44	17	25	0	0	0		5	609	927
SI	2022-03-10	2022	1646866800	3	0.000000	586	84	486	155	25	8	13	3	0	3	51.000000	5	206	586
SI	2022-03-11	2022	1646953200	4	0.000000	402	77	350	84	18	5	19	0	0	0		5	49	402
SI	2022-03-14	2022	1647208800	0	0.000000	490	53	403	131	16	3	9	1	0	1	12.000000	6	71	490
SI	2022-03-15	2022	1647295200	1	0.000000	403	56	322	124	10	5	16	0	0	0		6	125	403
SI	2022-03-16	2022	1647381600	2	0.000000	403	74	338	111	8	1	30	1	0	1	17.000000	6	302	403
SI	2022-03-17	2022	1647468000	3	0.000000	336	49	301	52	10	1	14	0	0	0		5	19	336
SI	2022-03-18	2022	1647554400	4	0.000000	279	38	233	76	11	5	6	0	0	0		5	208	279
SI	2022-03-21	2022	1647813600	0	0.000000	280	27	239	56	8	1	5	0	0	0		5	98	280
SI	2022-03-22	2022	1647900000	1	0.000000	333	50	284	86	5	3	19	1	0	1	31.000000	6	321	333
SI	2022-03-23	2022	1647986400	2	0.000000	182	34	155	40	8	3	8	0	0	0		4	47	182
SI	2022-03-24	2022	1648072800	3	0.000000	308	42	274	52	5	2	15	0	0	0		6	224	308
SI	2022-03-25	2022	1648159200	4	0.000000	214	36	176	48	7	4	9	0	0	0		5	147	214
SI	2022-03-28	2022	1648418400	0	0.000000	374	62	316	82	17	2	14	0	0	0		6	47	374
SI	2022-03-29	2022	1648504800	1	0.000000	423	77	382	55	9	9	25	0	0	0		5	377	423
SI	2022-03-30	2022	1648591200	2	0.000000	223	36	192	56	3	6	12	0	0	0		5	0	223
SI	2022-03-31	2022	1648677600	3	0.000000	206	30	182	38	4	4	9	0	0	0		5	154	206
SI	2022-04-01	2022	1648764000	4	0.000000	408	91	328	146	9	5	35	0	0	0		6	26	408
SI	2022-04-04	2022	1649023200	0	0.000000	361	73	293	96	6	11	27	1	0	1	5.000000	6	221	361
SI	2022-04-05	2022	1649109600	1	0.000000	323	55	272	99	9	7	15	0	0	0		6	256	323
SI	2022-04-06	2022	1649196000	2	0.000000	325	24	260	146	1	4	9	1	0	1	20.000000	6	85	325
SI	2022-04-07	2022	1649282400	3	0.000000	231	24	185	66	3	6	6	0	0	0		5	38	231
SI	2022-04-08	2022	1649368800	4	0.000000	292	42	231	89	4	6	14	0	0	0		6	12	292
SI	2022-04-11	2022	1649628000	0	0.000000	385	67	337	73	14	10	15	0	0	0		6	256	385
SI	2022-04-12	2022	1649714400	1	0.000000	375	61	305	97	7	8	20	1	0	2	8.000000	6	309	375
SI	2022-04-13	2022	1649800800	2	0.000000	309	69	246	144	13	0	22	0	0	0		6	75	309
SI	2022-04-14	2022	1649887200	3	0.000000	294	47	253	75	10	5	11	0	0	0		5	162	294
SI	2022-04-18	2022	1650232800	0	0.000000	427	50	361	143	10	8	11	0	0	0		6	304	427
SI	2022-04-19	2022	1650319200	1	0.000000	441	59	389	98	8	12	16	0	0	0		6	331	441
SI	2022-04-20	2022	1650405600	2	0.000000	307	61	269	70	7	7	20	0	0	0		6	128	307
SI	2022-04-21	2022	1650492000	3	0.000000	393	41	332	102	12	5	6	0	0	0		6	68	393
SI	2022-04-22	2022	1650578400	4	0.000000	408	76	340	94	18	7	17	0	0	0		6	129	408
SI	2022-04-25	2022	1650837600	0	0.000000	600	52	482	145	15	6	8	0	0	0		3	62	600
SI	2022-04-26	2022	1650924000	1	0.000000	343	67	284	112	12	8	18	0	0	0		6	164	343
SI	2022-04-27	2022	1651010400	2	0.000000	423	49	336	184	8	4	15	0	0	0		6	152	423
SI	2022-04-28	2022	1651096800	3	0.000000	402	60	310	194	11	6	17	0	0	0		6	113	402
SI	2022-04-29	2022	1651183200	4	0.000000	422	94	343	141	10	11	32	0	0	0		6	404	422
SI	2022-05-01	2022	1651356000	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-05-02	2022	1651442400	0	0.000000	493	83	418	145	8	8	31	0	0	0		6	184	493
SI	2022-05-03	2022	1651528800	1	0.000000	392	60	303	180	14	6	13	0	0	0		5	7	392
SI	2022-05-04	2022	1651615200	2	0.000000	638	131	529	216	7	9	56	4	0	4	1.000000	6	501	638
SI	2022-05-05	2022	1651701600	3	0.000000	509	59	409	180	8	12	16	1	0	2	5.000000	6	314	509
SI	2022-05-06	2022	1651788000	4	0.000000	388	70	316	119	6	4	27	0	0	0		6	54	388
SI	2022-05-08	2022	1651960800	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-05-09	2022	1652047200	0	0.000000	485	83	399	138	19	4	22	0	0	0		6	117	485
SI	2022-05-10	2022	1652133600	1	0.000000	492	65	398	202	19	7	10	1	0	1	81.000000	6	192	492
SI	2022-05-11	2022	1652220000	2	0.000000	452	82	380	119	6	12	29	0	0	0		4	303	452
SI	2022-05-12	2022	1652306400	3	0.000000	469	111	381	162	34	11	16	1	0	1	23.000000	6	175	469
SI	2022-05-13	2022	1652392800	4	0.000000	353	35	292	146	9	3	7	0	0	0		6	173	353
SI	2022-05-15	2022	1652565600	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
SI	2022-05-16	2022	1652652000	0	0.000000	324	32	260	86	8	4	6	0	0	0		5	124	324
SI	2022-05-17	2022	1652738400	1	0.000000	306	53	257	82	9	4	16	0	0	0		6	83	306
SI	2022-05-18	2022	1652824800	2	0.000000	284	41	227	83	7	7	10	0	0	0		5	72	284
SI	2022-05-19	2022	1652911200	3	0.000000	395	62	330	111	15	3	15	0	0	0		6	30	395
SI	2022-05-20	2022	1652997600	4	0.000000	244	16	199	86	3	2	4	0	0	0		6	105	244
SI	2022-05-22	2022	1653170400	6	0.000000	0	0	0	0	0	0	0	0	0	0		0	0	0
