# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 2 (CC-M2-10.2) (spec_sha16=552d21d7a848efe2)
# params_hash=00c21776223b82281297cb2b32ca2d3a786d1f1abda99aeb43d935f37bf8819a
# CC-M2-10.2 census batch 2 — P020/P021/P022, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
reading	asset	era	phase	side	group	n_sessions	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	posfrac_peak	n_winners	winner_frac
P021	HG	2022	ALL	ALL	FIRE	258	26879	104.182171	-57.261756	479.297064	0.446036	768.389775	830.708985	0.939953	1105	0.041110
P021	HG	2022	ALL	ALL	NOFIRE	258	83923	325.282946	-34.265592	620.327073	0.451747	816.493884	868.713651	0.953529	4865	0.057970
P021	HG	2023	ALL	ALL	FIRE	257	20857	81.155642	-22.607698	318.510707	0.464592	521.601980	553.788866	0.954500	334	0.016014
P021	HG	2023	ALL	ALL	NOFIRE	257	84504	328.809339	-21.895354	438.392206	0.473788	609.669794	642.755318	0.961860	3042	0.035998
P021	HG	2024	ALL	ALL	FIRE	259	25944	100.169884	-23.809985	477.090442	0.460916	749.344694	802.833791	0.947618	1173	0.045213
P021	HG	2024	ALL	ALL	NOFIRE	259	81165	313.378378	-29.319057	478.795010	0.463291	687.406287	725.730370	0.959675	3293	0.040572
P021	HG	FIT	TOKYO	ALL	FIRE	1021	19502	19.100881	-36.038483	410.966797	0.452877	1067.530702	1125.457859	0.960055	470	0.024100
P021	HG	FIT	TOKYO	ALL	NOFIRE	1021	81651	79.971596	-23.436930	451.361270	0.469853	963.853260	1011.051618	0.964312	2683	0.032859
P021	HG	FIT	LONDON	ALL	FIRE	1021	15074	14.763957	-14.047449	346.318603	0.465371	915.240978	963.385241	0.962784	310	0.020565
P021	HG	FIT	LONDON	ALL	NOFIRE	1021	72935	71.434868	-16.315555	420.464812	0.472146	872.974566	920.496987	0.961267	2200	0.030164
P021	HG	FIT	NY	ALL	FIRE	1021	48991	47.983350	-39.864184	487.781162	0.455737	466.994856	508.959729	0.935662	2238	0.045682
P021	HG	FIT	NY	ALL	NOFIRE	1021	179112	175.428012	-31.424632	599.965454	0.456965	560.886673	598.448244	0.952717	10713	0.059812
P021	HG	FIT	ALL	LONG	FIRE	1021	41984	41.120470	-32.499464	440.232254	0.462390	649.987912	697.675450	0.946908	1455	0.034656
P021	HG	FIT	ALL	LONG	NOFIRE	1021	166854	163.422135	-37.195437	520.650025	0.454433	703.163687	745.468644	0.957220	7541	0.045195
P021	HG	FIT	ALL	SHORT	FIRE	1021	41583	40.727718	-36.147043	447.926283	0.451170	726.373247	779.442396	0.945579	1563	0.037587
P021	HG	FIT	ALL	SHORT	NOFIRE	1021	166844	163.412341	-15.139562	525.517038	0.472441	752.234677	796.130464	0.957625	8055	0.048279
P021	NKD	FIT	ALL	ALL	FIRE	1023	102903	100.589443	-46.958689	635.300716	0.419541	857.621960	961.551226	0.912306	4804	0.046685
P021	NKD	FIT	ALL	ALL	NOFIRE	1023	296623	289.954057	-46.455526	656.370894	0.432866	802.943669	888.309567	0.923560	17350	0.058492
P021	NKD	GATE_2025	ALL	ALL	FIRE	258	41003	158.926357	-18.756615	1045.545137	0.391459	1162.356352	1295.729752	0.915713	2546	0.062093
P021	NKD	GATE_2025	ALL	ALL	NOFIRE	258	71165	275.833333	-53.664723	1025.941832	0.389292	1113.780826	1226.458112	0.925033	4861	0.068306
P021	NKD	2021	ALL	ALL	FIRE	248	12484	50.338710	-54.213994	583.303306	0.431272	914.656160	1012.168149	0.918456	607	0.048622
P021	NKD	2021	ALL	ALL	NOFIRE	248	79955	322.399194	-47.303171	583.531066	0.430167	728.009193	816.599679	0.912376	4121	0.051541
P021	NKD	2022	ALL	ALL	FIRE	258	29967	116.151163	-47.214770	555.651175	0.428672	706.070511	794.347415	0.909567	1448	0.048320
P021	NKD	2022	ALL	ALL	NOFIRE	258	77642	300.937984	-54.234145	600.637622	0.438126	752.419309	829.845730	0.926084	4158	0.053553
P021	NKD	2023	ALL	ALL	FIRE	258	24383	94.507752	-56.764036	405.746872	0.436000	684.666468	758.319964	0.922815	648	0.026576
P021	NKD	2023	ALL	ALL	NOFIRE	258	69233	268.344961	-36.709770	586.682473	0.449294	718.478146	785.665909	0.934540	3907	0.056433
P021	NKD	2024	ALL	ALL	FIRE	259	36069	139.262548	-37.606255	896.884040	0.396767	1080.713840	1223.379651	0.905348	2101	0.058249
P021	NKD	2024	ALL	ALL	NOFIRE	259	69793	269.471042	-46.498610	883.816610	0.413809	1028.782937	1137.952978	0.922671	5164	0.073990
P021	NKD	FIT	TOKYO	ALL	FIRE	1023	43261	42.288368	-53.132845	677.858177	0.415131	1122.628811	1234.250311	0.928088	1994	0.046092
P021	NKD	FIT	TOKYO	ALL	NOFIRE	1023	129088	126.185728	-36.757890	736.903244	0.433185	1015.873648	1116.085931	0.929622	8397	0.065049
P021	NKD	FIT	LONDON	ALL	FIRE	1023	16829	16.450635	-77.536247	391.410449	0.415711	943.068810	1037.223093	0.928635	350	0.020797
P021	NKD	FIT	LONDON	ALL	NOFIRE	1023	42946	41.980450	-49.526557	382.756250	0.429353	830.684348	906.400832	0.934755	937	0.021818
P021	NKD	FIT	NY	ALL	FIRE	1023	42813	41.850440	-28.700453	687.008838	0.425502	556.254467	643.148343	0.889940	2460	0.057459
P021	NKD	FIT	NY	ALL	NOFIRE	1023	124589	121.787879	-55.444762	666.398501	0.433746	572.762383	641.740062	0.913419	8016	0.064340
P021	NKD	FIT	ALL	LONG	FIRE	1023	52455	51.275660	-36.283243	603.732328	0.446344	827.400391	924.640589	0.915642	2354	0.044877
P021	NKD	FIT	ALL	LONG	NOFIRE	1023	149463	146.102639	-31.385460	634.920624	0.456856	779.295444	860.074199	0.926062	8676	0.058048
P021	NKD	FIT	ALL	SHORT	FIRE	1023	50448	49.313783	-58.058843	672.706994	0.391671	889.045849	1000.217671	0.908837	2450	0.048565
P021	NKD	FIT	ALL	SHORT	NOFIRE	1023	147160	143.851417	-61.761433	680.735673	0.408501	826.961980	917.143861	0.921018	8674	0.058943
P022	ALL	FIT	ALL	ALL	FIRE	2960	8564	2.893243	-61.287220	1025.257736	0.403783	833.390355	912.104198	0.937412	863	0.100771
P022	ALL	FIT	ALL	ALL	NOFIRE	2960	1213704	410.035135	-28.472295	660.230808	0.439632	833.894770	902.267333	0.941063	68817	0.056700
P022	ALL	GATE_2025	ALL	ALL	FIRE	774	2378	3.072351	-52.392767	1399.739583	0.353238	1144.666211	1260.188263	0.929773	239	0.100505
P022	ALL	GATE_2025	ALL	ALL	NOFIRE	774	355714	459.578811	-27.561225	1059.160260	0.390010	1205.001469	1315.041877	0.932702	22946	0.064507
P022	ALL	2021	ALL	ALL	FIRE	637	1516	2.379906	-8.092018	877.549779	0.447230	726.530343	786.819532	0.943931	148	0.097625
P022	ALL	2021	ALL	ALL	NOFIRE	637	240411	377.411303	-30.100687	597.813523	0.445824	790.282532	859.631558	0.936384	12926	0.053766
P022	ALL	2022	ALL	ALL	FIRE	774	2973	3.841085	-89.149008	1066.730522	0.392869	842.185082	931.535159	0.930373	277	0.093172
P022	ALL	2022	ALL	ALL	NOFIRE	774	330871	427.481912	-33.610282	667.312889	0.439573	833.966867	904.201126	0.939297	19902	0.060150
P022	ALL	2023	ALL	ALL	FIRE	772	2056	2.663212	-6.322349	1028.742938	0.430447	794.461941	865.322185	0.941634	235	0.114300
P022	ALL	2023	ALL	ALL	NOFIRE	772	311741	403.809585	-23.369616	568.586629	0.452048	726.839652	781.505899	0.947235	15338	0.049201
P022	ALL	2024	ALL	ALL	FIRE	777	2019	2.598456	-116.175087	1092.137208	0.360079	940.319465	1026.144459	0.938583	203	0.100545
P022	ALL	2024	ALL	ALL	NOFIRE	777	330681	425.586873	-26.957907	792.870489	0.423484	966.452964	1045.869357	0.940414	20651	0.062450
P022	ALL	FIT	TOKYO	ALL	FIRE	2960	0	0.000000							0	
