# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	scope	term	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	n_winners	winner_frac
P023_REL	NKD	DETECTOR_MINUS_TERM	T4_price_failure	30874	30.179863	-52.107599	825.633417	0.428127	950.773466	1046.087524	2415	0.078221
P023_REL	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	3933	3.844575	-80.104882	866.537162	0.413933	946.779812	1042.446053	331	0.084160
P023_OR	ALL	TERM_ALONE	T1_opposed_5m	359312	121.389189	-32.140393	676.546171	0.437661	836.832603	906.227021	21390	0.059530
P023_OR	ALL	DETECTOR_MINUS_TERM	T1_opposed_5m	450175	152.086149	-20.074957	852.805219	0.432827	893.560824	958.965160	35181	0.078150
P023_OR	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	320938	108.425000	-19.585605	857.820142	0.432074	894.750030	960.700412	24915	0.077632
P023_OR	ALL	TERM_ALONE	T2_vol_abs_or_rel	502440	169.743243	-21.681109	851.614845	0.432151	897.992410	964.821973	39076	0.077772
P023_OR	ALL	DETECTOR_MINUS_TERM	T2_vol_abs_or_rel	292363	98.771284	-30.012784	687.499396	0.438985	844.582924	910.760808	17838	0.061013
P023_OR	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_or_rel	163126	55.110135	-36.923291	568.446940	0.442382	808.119728	875.554422	7572	0.046418
P023_OR	ALL	TERM_ALONE	T3_live_book	1074796	363.106757	-26.075261	683.928030	0.440498	848.239010	914.190632	63830	0.059388
P023_OR	ALL	DETECTOR_MINUS_TERM	T3_live_book	137143	46.332095	-22.404643	832.360287	0.435137	891.706130	956.760940	10790	0.078677
