# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	era	metric	n	n_clusters	n_fires	beta_usd	se_naive	se_cr0	se_cr1	z_cr1	p_cr1	icc_rho	deff	n_eff	verdict	holm_rank	holm_threshold	holm_verdict
P023_ABS	SI	FIT	cert_close	405477	916	43177	15.391209	5.049177	23.259846	23.272581	0.661345	0.508391	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	282	0.000549	HOLM_NOT_SIGNIFICANT
P023_ABS	SI	FIT	cert_peak	405477	916	43177	-8.753911	5.990767	18.781716	18.791999	-0.465832	0.641336	0.089446	40.498570	10012.131239	NOT_SIGNIFICANT	314	0.000847	HOLM_NOT_SIGNIFICANT
P023_ABS	SI	GATE_2025	cert_close	133697	258	13161	159.235268	15.735017	64.612318	64.738143	2.459682	0.013906	0.026811	14.852857	9001.433479	SIGNIFICANT_p<0.05	168	0.000244	HOLM_NOT_SIGNIFICANT
P023_ABS	SI	GATE_2025	cert_peak	133697	258	13161	367.002084	24.656308	117.433700	117.662389	3.119111	0.001814	0.071352	37.866902	3530.708714	SIGNIFICANT_p<0.05	154	0.000228	HOLM_NOT_SIGNIFICANT
P023_ABS	HG	FIT	cert_close	417265	1021	34153	-9.136781	3.747569	12.470188	12.476314	-0.732330	0.463967	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	277	0.000521	HOLM_NOT_SIGNIFICANT
P023_ABS	HG	FIT	cert_peak	417265	1021	34153	-37.606233	4.710824	13.811808	13.818593	-2.721423	0.006500	0.107931	44.996430	9273.291256	SIGNIFICANT_p<0.05	157	0.000231	HOLM_NOT_SIGNIFICANT
P023_ABS	HG	GATE_2025	cert_close	112227	258	6030	82.829966	12.482715	71.297699	71.436594	1.159489	0.246257	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	234	0.000360	HOLM_NOT_SIGNIFICANT
P023_ABS	HG	GATE_2025	cert_peak	112227	258	6030	112.389705	16.748921	58.358597	58.472285	1.922102	0.054593	0.088590	39.398789	2848.488553	NOT_SIGNIFICANT	189	0.000272	HOLM_NOT_SIGNIFICANT
P023_ABS	NKD	FIT	cert_close	399526	1023	466	-144.823067	39.039256	108.790691	108.844038	-1.330556	0.183335	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	218	0.000323	HOLM_NOT_SIGNIFICANT
P023_ABS	NKD	FIT	cert_peak	399526	1023	466	599.944466	48.909710	292.133280	292.276533	2.052660	0.040106	0.103320	41.236956	9688.542561	SIGNIFICANT_p<0.05	178	0.000256	HOLM_NOT_SIGNIFICANT
P023_ABS	NKD	GATE_2025	cert_close	112168	258	252	126.167679	79.460887	561.514403	562.608291	0.224255	0.822559	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	344	0.001724	HOLM_NOT_SIGNIFICANT
P023_ABS	NKD	GATE_2025	cert_peak	112168	258	252	467.140857	103.560170	489.088602	490.041397	0.953268	0.340454	0.090904	40.346507	2780.116721	NOT_SIGNIFICANT	255	0.000424	HOLM_NOT_SIGNIFICANT
P023_REL	ALL	FIT	cert_close	1222268	2960	80113	11.744599	3.076832	9.023223	9.024751	1.301377	0.193130	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	219	0.000325	HOLM_NOT_SIGNIFICANT
P023_REL	ALL	FIT	cert_peak	1222268	2960	80113	154.723967	3.780700	9.016818	9.018345	17.156581	0.000000	0.107100	45.114907	27092.330853	SIGNIFICANT_p<0.05	41	0.000151	HOLM_SIGNIFICANT
P023_REL	ALL	GATE_2025	cert_close	358092	774	23787	59.886179	9.185284	23.267578	23.282656	2.572137	0.010107	0.027882	13.865479	25826.153783	SIGNIFICANT_p<0.05	164	0.000239	HOLM_NOT_SIGNIFICANT
P023_REL	ALL	GATE_2025	cert_peak	358092	774	23787	228.716118	13.578809	31.740504	31.761072	7.201146	0.000000	0.089304	42.207482	8484.088273	SIGNIFICANT_p<0.05	101	0.000184	HOLM_SIGNIFICANT
P023_REL	SI	FIT	cert_close	405477	916	26844	22.599552	6.263919	21.108454	21.120011	1.070054	0.284595	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	245	0.000391	HOLM_NOT_SIGNIFICANT
P023_REL	SI	FIT	cert_peak	405477	916	26844	165.837916	7.427529	19.015257	19.025668	8.716536	0.000000	0.089446	40.498570	10012.131239	SIGNIFICANT_p<0.05	84	0.000173	HOLM_SIGNIFICANT
P023_REL	SI	GATE_2025	cert_close	133697	258	8171	181.516563	19.570061	48.882664	48.977857	3.706094	0.000210	0.026811	14.852857	9001.433479	SIGNIFICANT_p<0.05	143	0.000217	HOLM_SIGNIFICANT
P023_REL	SI	GATE_2025	cert_peak	133697	258	8171	386.116849	30.671056	78.495071	78.647931	4.909434	0.000001	0.071352	37.866902	3530.708714	SIGNIFICANT_p<0.05	128	0.000204	HOLM_SIGNIFICANT
P023_REL	HG	FIT	cert_close	417265	1021	26328	14.648990	4.225338	11.656487	11.662213	1.256107	0.209077	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	227	0.000342	HOLM_NOT_SIGNIFICANT
P023_REL	HG	FIT	cert_peak	417265	1021	26328	148.671331	5.306852	12.905572	12.911912	11.514277	0.000000	0.107931	44.996430	9273.291256	SIGNIFICANT_p<0.05	56	0.000158	HOLM_SIGNIFICANT
