# PORT_M1B_SPEC.md S4 atlas screen (spec_sha16=d31f48b59877e44d)
# params_hash=c50dfd164e2fc778844a6f8f6681f8050964cec3ff1e017904a18798e50957c3
# EXPLORATORY_NONCERTIFYING; FIT era only; no promotion claims
# scoring is reported separately: learnability (rho vs own truth) vs economic alignment (within-unit Spearman vs net_phase_close, dollar_recall@k)
asset	label	family	base	kind	horizon	truncation	penalty	transform	ranking_unit	occupancy_derived	shuffled_twin	n_rows	n_folds_scored	rho_median_learnability	rho_fold_min	rho_fold_max	align_spearman_unit	align_p_value	dollar_recall_at3	dollar_recall_at10	era_sign_consistency	era_min_align	era_max_align	holm_rank	holm_threshold	holm_significant	twin_align_spearman	voided_by_twin	fit_secs
SI	ret|e30|h30|raw	ratio	ret|e30	ratio	h30			raw		0	0	100885	4	0.010190	0.004830	0.022485	-0.000729	0.834942	-0.092231	-0.140896	0.333333	-0.002380	0.000313	300	0.001852	0		0	1.112996
SI	ret|e30|h30|z@phase	ratio	ret|e30	ratio	h30			z	phase	0	0	100877	4	0.014104	0.001702	0.024002	0.003056	0.382237	-0.241865	-0.387289	0.666667	-0.008048	0.013065	218	0.000459	0		0	1.159132
SI	ret|e30|h30|z@session	ratio	ret|e30	ratio	h30			z	session	0	0	100885	4	0.009989	0.003625	0.017947	0.003929	0.261150	-0.099919	-0.140605	0.666667	-0.000121	0.007012	202	0.000400	0		0	1.162020
SI	ret|e30|h30|rank@phase	ratio	ret|e30	ratio	h30			rank	phase	0	0	100880	4	0.005499	-0.003917	0.016844	0.006430	0.066012	-0.232491	-0.381407	0.666667	-0.006484	0.012802	162	0.000303	0		0	1.156437
SI	ret|e30|h30|rank@session	ratio	ret|e30	ratio	h30			rank	session	0	0	100885	4	0.003162	-0.000213	0.016179	0.000598	0.864182	-0.134207	-0.157840	0.666667	-0.000896	0.001927	306	0.002381	0		0	1.146072
SI	ret|e30|h30|winsor@phase	ratio	ret|e30	ratio	h30			winsor	phase	0	0	100885	4	0.013235	0.002671	0.021852	-0.007168	0.040420	-0.249552	-0.380966	1.000000	-0.009352	-0.004521	152	0.000286	0		0	1.217887
SI	ret|e30|h30|winsor@session	ratio	ret|e30	ratio	h30			winsor	session	0	0	100885	4	0.010710	0.006202	0.019202	-0.008316	0.017401	-0.123083	-0.145658	1.000000	-0.010898	-0.006497	138	0.000265	0		0	1.119814
SI	retg|e30|h30|raw	ratio	retg|e30	ratio	h30			raw		0	0	7620	4	0.035404	0.009369	0.092605	0.012209	0.330656	0.435587	0.583666	0.333333	-0.005202	0.027425	213	0.000439	0		0	0.159504
SI	retg|e30|h30|z@phase	ratio	retg|e30	ratio	h30			z	phase	0	0	7465	4	0.042215	0.003129	0.061234	0.020675	0.103407	0.471614	0.646452	0.666667	-0.025920	0.039174	177	0.000333	0		0	0.179809
SI	retg|e30|h30|z@session	ratio	retg|e30	ratio	h30			z	session	0	0	7550	4	0.043559	0.029609	0.097499	0.055220	0.000011	0.439113	0.589895	1.000000	0.018378	0.070129	84	0.000206	1		0	0.158186
SI	retg|e30|h30|rank@phase	ratio	retg|e30	ratio	h30			rank	phase	0	0	7472	4	0.041999	0.017600	0.077777	0.087809	0.000000	0.510548	0.654213	1.000000	0.060726	0.104432	49	0.000180	1		0	0.190402
SI	retg|e30|h30|rank@session	ratio	retg|e30	ratio	h30			rank	session	0	0	7557	4	0.045739	0.039931	0.091811	0.054676	0.000013	0.434018	0.600732	1.000000	0.013015	0.073684	87	0.000208	1		0	0.159964
SI	retg|e30|h30|winsor@phase	ratio	retg|e30	ratio	h30			winsor	phase	0	0	7620	4	0.038763	-0.041007	0.102202	0.022821	0.072226	0.522248	0.665525	1.000000	0.009662	0.029083	166	0.000311	0		0	0.176011
SI	retg|e30|h30|winsor@session	ratio	retg|e30	ratio	h30			winsor	session	0	0	7620	4	0.040538	-0.023558	0.103685	0.010452	0.404943	0.479239	0.603261	0.666667	-0.015318	0.028837	223	0.000481	0		0	0.163829
SI	ret|e1|h60|raw	ratio	ret|e1	ratio	h60			raw		0	0	100483	4	-0.006206	-0.013159	-0.002987	-0.001939	0.579948	-0.125706	-0.140109	0.666667	-0.012204	0.011160	252	0.000667	0		0	1.135263
SI	ret|e1|h60|z@phase	ratio	ret|e1	ratio	h60			z	phase	0	0	100478	4	-0.002214	-0.006786	0.005788	0.005288	0.131292	-0.244351	-0.379959	0.666667	-0.000436	0.010836	180	0.000340	0		0	1.158932
SI	ret|e1|h60|z@session	ratio	ret|e1	ratio	h60			z	session	0	0	100483	4	-0.006884	-0.012964	0.002508	0.000697	0.842346	-0.103451	-0.145640	0.666667	-0.007019	0.007461	301	0.001923	0		0	1.148340
SI	ret|e1|h60|rank@phase	ratio	ret|e1	ratio	h60			rank	phase	0	0	100478	4	0.014449	0.011868	0.017310	0.015714	0.000007	-0.235088	-0.391634	1.000000	0.010904	0.023498	83	0.000205	1		0	1.180176
SI	ret|e1|h60|rank@session	ratio	ret|e1	ratio	h60			rank	session	0	0	100483	4	0.013487	0.008703	0.014663	0.008012	0.022210	-0.113914	-0.149530	1.000000	0.002020	0.015696	142	0.000270	0		0	1.179146
SI	ret|e1|h60|winsor@phase	ratio	ret|e1	ratio	h60			winsor	phase	0	0	100483	4	-0.011514	-0.016494	-0.003950	-0.010781	0.002093	-0.254182	-0.393938	1.000000	-0.017158	-0.001684	114	0.000235	0		0	1.144814
SI	ret|e1|h60|winsor@session	ratio	ret|e1	ratio	h60			winsor	session	0	0	100483	4	-0.010806	-0.018896	-0.007271	-0.004122	0.239377	-0.129134	-0.150016	0.666667	-0.012154	0.002759	200	0.000394	0		0	1.123118
SI	retg|e1|h60|raw	ratio	retg|e1	ratio	h60			raw		0	0	93043	4	-0.002737	-0.003608	0.019913	-0.001882	0.604868	-0.095999	-0.121751	0.666667	-0.005247	0.003563	254	0.000685	0		0	1.080201
SI	retg|e1|h60|z@phase	ratio	retg|e1	ratio	h60			z	phase	0	0	93035	4	0.005984	0.000994	0.027463	0.000710	0.845362	-0.193733	-0.315988	0.333333	-0.004791	0.008824	302	0.002000	0		0	1.110224
SI	retg|e1|h60|z@session	ratio	retg|e1	ratio	h60			z	session	0	0	93043	4	0.014065	0.002597	0.022583	0.005923	0.103405	-0.083972	-0.105668	0.666667	-0.001105	0.011562	176	0.000331	0		0	1.108759
SI	retg|e1|h60|rank@phase	ratio	retg|e1	ratio	h60			rank	phase	0	0	93035	4	0.006322	0.002785	0.014766	0.013417	0.000226	-0.170224	-0.309421	1.000000	0.011654	0.014998	100	0.000220	0		0	1.115185
SI	retg|e1|h60|rank@session	ratio	retg|e1	ratio	h60			rank	session	0	0	93043	4	0.009419	-0.003801	0.016739	0.012478	0.000601	-0.048772	-0.105746	1.000000	0.011217	0.014041	102	0.000222	0		0	1.099765
SI	retg|e1|h60|winsor@phase	ratio	retg|e1	ratio	h60			winsor	phase	0	0	93043	4	0.002037	-0.000926	0.018194	-0.001728	0.634896	-0.190823	-0.316635	0.666667	-0.009579	0.006029	264	0.000794	0		0	1.101374
SI	retg|e1|h60|winsor@session	ratio	retg|e1	ratio	h60			winsor	session	0	0	93043	4	0.003473	-0.005783	0.018158	-0.002679	0.461360	-0.079486	-0.112468	1.000000	-0.005362	-0.000622	233	0.000532	0		0	1.100272
SI	ret|e5|h60|raw	ratio	ret|e5	ratio	h60			raw		0	0	100483	4	0.016671	-0.002306	0.024140	0.000904	0.796509	-0.089623	-0.122430	0.333333	-0.005548	0.011709	293	0.001471	0		0	1.169888
SI	ret|e5|h60|z@phase	ratio	ret|e5	ratio	h60			z	phase	0	0	100478	4	0.023631	-0.002190	0.030298	0.001424	0.684482	-0.244019	-0.382900	0.333333	-0.009918	0.015982	271	0.000893	0		0	1.185269
SI	ret|e5|h60|z@session	ratio	ret|e5	ratio	h60			z	session	0	0	100483	4	0.021394	0.014352	0.030584	0.003547	0.311375	-0.094148	-0.118396	0.666667	-0.008039	0.013660	209	0.000424	0		0	1.190363
SI	ret|e5|h60|rank@phase	ratio	ret|e5	ratio	h60			rank	phase	0	0	100478	4	0.015136	0.004644	0.017187	0.015112	0.000016	-0.207341	-0.364493	1.000000	0.007818	0.021245	88	0.000209	1		0	1.182458
SI	ret|e5|h60|rank@session	ratio	ret|e5	ratio	h60			rank	session	0	0	100483	4	0.015319	0.007275	0.017621	0.009263	0.008196	-0.097891	-0.134744	1.000000	0.007080	0.011070	130	0.000254	0		0	1.174900
SI	ret|e5|h60|winsor@phase	ratio	ret|e5	ratio	h60			winsor	phase	0	0	100483	4	0.015267	-0.001300	0.022936	-0.006678	0.056700	-0.228526	-0.396564	0.666667	-0.013089	0.000212	158	0.000296	0		0	1.172768
SI	ret|e5|h60|winsor@session	ratio	ret|e5	ratio	h60			winsor	session	0	0	100483	4	0.014934	-0.002289	0.023931	-0.000025	0.994223	-0.094881	-0.122556	0.666667	-0.005805	0.008916	326	0.050000	0		0	1.157093
SI	retg|e5|h60|raw	ratio	retg|e5	ratio	h60			raw		0	0	74257	4	0.062683	0.039981	0.080738	-0.001955	0.629909	-0.003053	-0.016707	0.666667	-0.009557	0.002557	263	0.000781	0		0	0.903582
SI	retg|e5|h60|z@phase	ratio	retg|e5	ratio	h60			z	phase	0	0	74201	4	0.038478	0.022779	0.039367	0.000963	0.812661	-0.058104	-0.105652	0.666667	-0.003188	0.005544	298	0.001724	0		0	0.908259
SI	retg|e5|h60|z@session	ratio	retg|e5	ratio	h60			z	session	0	0	74257	4	0.065551	0.055682	0.076131	-0.001457	0.719498	-0.004864	-0.019547	0.333333	-0.012495	0.005273	278	0.001020	0		0	0.920217
SI	retg|e5|h60|rank@phase	ratio	retg|e5	ratio	h60			rank	phase	0	0	74206	4	0.020945	0.019386	0.028630	0.016871	0.000033	-0.046405	-0.110994	1.000000	0.013764	0.020954	89	0.000210	1		0	0.929214
SI	retg|e5|h60|rank@session	ratio	retg|e5	ratio	h60			rank	session	0	0	74257	4	0.057719	0.042132	0.076981	0.007727	0.056909	-0.002181	-0.018623	1.000000	0.001049	0.015278	159	0.000298	0		0	0.922789
SI	retg|e5|h60|winsor@phase	ratio	retg|e5	ratio	h60			winsor	phase	0	0	74257	4	0.066557	0.044290	0.087250	-0.002532	0.533236	-0.075728	-0.111962	0.666667	-0.010291	0.004352	244	0.000602	0		0	0.920853
SI	retg|e5|h60|winsor@session	ratio	retg|e5	ratio	h60			winsor	session	0	0	74257	4	0.067755	0.043696	0.089963	0.000458	0.910085	0.000671	-0.018859	0.333333	-0.003370	0.004838	313	0.003571	0		0	0.902081
SI	ret|e15|h60|raw	ratio	ret|e15	ratio	h60			raw		0	0	100483	4	0.028545	0.020825	0.031603	0.000629	0.857570	-0.094168	-0.123932	0.333333	-0.004796	0.008920	304	0.002174	0		0	1.161867
SI	ret|e15|h60|z@phase	ratio	ret|e15	ratio	h60			z	phase	0	0	100478	4	0.032383	0.004615	0.039629	0.005841	0.095547	-0.238361	-0.388832	1.000000	0.000796	0.013399	173	0.000325	0		0	1.130587
SI	ret|e15|h60|z@session	ratio	ret|e15	ratio	h60			z	session	0	0	100483	4	0.037708	0.033975	0.039499	0.006297	0.072299	-0.103520	-0.123803	0.666667	-0.002764	0.014194	167	0.000313	0		0	1.174654
SI	ret|e15|h60|rank@phase	ratio	ret|e15	ratio	h60			rank	phase	0	0	100478	4	0.019971	0.015637	0.023866	0.017546	0.000001	-0.228266	-0.372202	1.000000	0.011902	0.020062	74	0.000198	1		0	1.167117
SI	ret|e15|h60|rank@session	ratio	ret|e15	ratio	h60			rank	session	0	0	100483	4	0.016458	0.008265	0.026671	0.010775	0.002103	-0.093990	-0.137141	1.000000	0.003479	0.022340	115	0.000236	0		0	1.178904
SI	ret|e15|h60|winsor@phase	ratio	ret|e15	ratio	h60			winsor	phase	0	0	100483	4	0.025479	0.020156	0.033030	-0.006323	0.071185	-0.220172	-0.386241	1.000000	-0.009860	-0.001786	165	0.000309	0		0	1.180675
SI	ret|e15|h60|winsor@session	ratio	ret|e15	ratio	h60			winsor	session	0	0	100483	4	0.027418	0.023696	0.031647	0.002236	0.523287	-0.096739	-0.127540	0.333333	-0.001888	0.009788	243	0.000595	0		0	1.166267
SI	retg|e15|h60|raw	ratio	retg|e15	ratio	h60			raw		0	0	37932	4	0.105438	0.098821	0.140310	0.003724	0.508226	0.133231	0.188611	0.666667	-0.007962	0.013155	240	0.000575	0		0	0.522099
SI	retg|e15|h60|z@phase	ratio	retg|e15	ratio	h60			z	phase	0	0	37611	4	0.046884	0.036260	0.068835	0.028589	0.000000	0.221832	0.273905	1.000000	0.009905	0.038683	73	0.000197	1		0	0.515283
SI	retg|e15|h60|z@session	ratio	retg|e15	ratio	h60			z	session	0	0	37930	4	0.094966	0.079772	0.104448	0.028329	0.000000	0.166696	0.192029	1.000000	0.016310	0.037993	72	0.000196	1		0	0.515222
SI	retg|e15|h60|rank@phase	ratio	retg|e15	ratio	h60			rank	phase	0	0	37648	4	0.057739	0.051311	0.068112	0.063652	0.000000	0.247012	0.281624	1.000000	0.043782	0.084069	28	0.000167	1		0	0.543720
SI	retg|e15|h60|rank@session	ratio	retg|e15	ratio	h60			rank	session	0	0	37930	4	0.101636	0.079603	0.113114	0.038804	0.000000	0.144546	0.196497	1.000000	0.025354	0.053823	50	0.000181	1		0	0.534417
SI	retg|e15|h60|winsor@phase	ratio	retg|e15	ratio	h60			winsor	phase	0	0	37932	4	0.106095	0.096600	0.136079	0.022090	0.000100	0.249602	0.270892	1.000000	0.016620	0.026455	96	0.000216	1		0	0.536155
SI	retg|e15|h60|winsor@session	ratio	retg|e15	ratio	h60			winsor	session	0	0	37932	4	0.109448	0.095729	0.134522	0.003781	0.501758	0.141039	0.189162	0.666667	-0.004110	0.011319	238	0.000562	0		0	0.523825
SI	ret|e30|h60|raw	ratio	ret|e30	ratio	h60			raw		0	0	100483	4	0.013187	0.008175	0.022041	0.002678	0.444664	-0.103170	-0.119323	0.666667	-0.004145	0.008766	229	0.000510	0		0	1.132777
SI	ret|e30|h60|z@phase	ratio	ret|e30	ratio	h60			z	phase	0	0	100478	4	0.010834	0.003582	0.017752	0.007045	0.044379	-0.245630	-0.389878	1.000000	0.001987	0.011056	156	0.000292	0		0	1.118865
SI	ret|e30|h60|z@session	ratio	ret|e30	ratio	h60			z	session	0	0	100483	4	0.014631	0.013342	0.018250	0.005027	0.151400	-0.083322	-0.134895	0.666667	-0.005235	0.013724	185	0.000352	0		0	1.157087
SI	ret|e30|h60|rank@phase	ratio	ret|e30	ratio	h60			rank	phase	0	0	100478	4	0.019342	0.011612	0.023446	0.018015	0.000000	-0.223241	-0.366734	1.000000	0.011808	0.024360	71	0.000195	1		0	1.169828
SI	ret|e30|h60|rank@session	ratio	ret|e30	ratio	h60			rank	session	0	0	100483	4	0.013419	-0.001997	0.017289	0.007754	0.026890	-0.103181	-0.139452	1.000000	0.002861	0.010493	145	0.000275	0		0	1.153670
SI	ret|e30|h60|winsor@phase	ratio	ret|e30	ratio	h60			winsor	phase	0	0	100483	4	0.013912	0.008582	0.015058	-0.001491	0.670560	-0.224782	-0.366749	0.666667	-0.007298	0.004974	269	0.000862	0		0	1.134580
SI	ret|e30|h60|winsor@session	ratio	ret|e30	ratio	h60			winsor	session	0	0	100483	4	0.012706	0.005616	0.017193	-0.000954	0.785347	-0.095372	-0.131786	0.666667	-0.007359	0.006327	288	0.001282	0		0	1.134737
SI	retg|e30|h60|raw	ratio	retg|e30	ratio	h60			raw		0	0	14590	4	0.101700	0.047465	0.167130	-0.013018	0.148459	0.366480	0.494362	1.000000	-0.017498	-0.006615	184	0.000350	0		0	0.251212
SI	retg|e30|h60|z@phase	ratio	retg|e30	ratio	h60			z	phase	0	0	14393	4	0.038136	0.008888	0.065654	0.065758	0.000000	0.475033	0.586804	1.000000	0.047285	0.084319	44	0.000177	1		0	0.231352
SI	retg|e30|h60|z@session	ratio	retg|e30	ratio	h60			z	session	0	0	14549	4	0.046889	0.027191	0.069602	0.061191	0.000000	0.415885	0.525279	1.000000	0.040254	0.073833	52	0.000182	1		0	0.225757
SI	retg|e30|h60|rank@phase	ratio	retg|e30	ratio	h60			rank	phase	0	0	14416	4	0.059662	0.023098	0.070616	0.086440	0.000000	0.474956	0.589357	1.000000	0.075737	0.095311	33	0.000170	1		0	0.263818
SI	retg|e30|h60|rank@session	ratio	retg|e30	ratio	h60			rank	session	0	0	14561	4	0.065190	0.035949	0.093453	0.077030	0.000000	0.426723	0.529360	1.000000	0.032597	0.104443	36	0.000172	1		0	0.287857
SI	retg|e30|h60|winsor@phase	ratio	retg|e30	ratio	h60			winsor	phase	0	0	14590	4	0.094484	0.068070	0.150693	-0.001333	0.883666	0.460125	0.560800	0.666667	-0.017274	0.006796	309	0.002778	0		0	0.272989
SI	retg|e30|h60|winsor@session	ratio	retg|e30	ratio	h60			winsor	session	0	0	14590	4	0.085951	0.069802	0.139143	-0.011425	0.204730	0.365675	0.494426	1.000000	-0.026774	-0.003819	194	0.000376	0		0	0.249979
SI	ret|e1|h120|raw	ratio	ret|e1	ratio	h120			raw		0	0	98511	4	-0.000738	-0.012891	0.010843	0.006359	0.072397	-0.099287	-0.128274	0.666667	-0.005749	0.022204	168	0.000314	0		0	1.129796
