# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# c_c_roster.dp_schedule, one position, phase-close certificates, per (asset, trade_date); $/day over the roster's trading days
asset	era	cert_metric	selection	n_days	dp_total_usd	dp_usd_per_day	dp_picks_per_day	delta_usd_per_day_vs_all	delta_frac_vs_all
SI	2022	peak	EPISODE|HIGHEST_RUNG	258	1434682.500000	5560.784884	7.135659	-2893.914729	-0.342285
SI	2023	close	ALL_CANDIDATES	257	821677.500000	3197.188716	3.062257	0.000000	0.000000
SI	2023	close	EPISODE|BEST_MEMBER	257	808940.000000	3147.626459	3.023346	-49.562257	-0.015502
SI	2023	close	EPISODE|BEST_SPREAD	257	698897.500000	2719.445525	2.949416	-477.743191	-0.149426
SI	2023	close	EPISODE|CLOSEST_LEVEL	257	692942.500000	2696.274319	2.972763	-500.914397	-0.156673
SI	2023	close	EPISODE|EARLIEST	257	704985.000000	2743.132296	2.949416	-454.056420	-0.142017
SI	2023	close	EPISODE|FAMILY_PRIORITY	257	674382.500000	2624.056420	2.961089	-573.132296	-0.179261
SI	2023	close	EPISODE|HIGHEST_RUNG	257	626252.500000	2436.780156	2.945525	-760.408560	-0.237837
SI	2023	peak	ALL_CANDIDATES	257	1895297.500000	7374.698444	18.980545	0.000000	0.000000
SI	2023	peak	EPISODE|BEST_MEMBER	257	1554910.000000	6050.233463	7.813230	-1324.464981	-0.179596
SI	2023	peak	EPISODE|BEST_SPREAD	257	1419372.500000	5522.850195	7.326848	-1851.848249	-0.251108
SI	2023	peak	EPISODE|CLOSEST_LEVEL	257	1367902.500000	5322.577821	7.614786	-2052.120623	-0.278265
SI	2023	peak	EPISODE|EARLIEST	257	1426762.500000	5551.605058	7.334630	-1823.093385	-0.247209
SI	2023	peak	EPISODE|FAMILY_PRIORITY	257	1327475.000000	5165.272374	7.392996	-2209.426070	-0.299595
SI	2023	peak	EPISODE|HIGHEST_RUNG	257	1275360.000000	4962.490272	6.976654	-2412.208171	-0.327092
SI	2024	close	ALL_CANDIDATES	259	1158630.000000	4473.474903	3.084942	0.000000	0.000000
SI	2024	close	EPISODE|BEST_MEMBER	259	1126422.500000	4349.121622	2.965251	-124.353282	-0.027798
SI	2024	close	EPISODE|BEST_SPREAD	259	954935.000000	3687.007722	2.849421	-786.467181	-0.175807
SI	2024	close	EPISODE|CLOSEST_LEVEL	259	933875.000000	3605.694981	2.857143	-867.779923	-0.193983
SI	2024	close	EPISODE|EARLIEST	259	970440.000000	3746.872587	2.845560	-726.602317	-0.162425
SI	2024	close	EPISODE|FAMILY_PRIORITY	259	907952.500000	3505.608108	2.787645	-967.866795	-0.216357
SI	2024	close	EPISODE|HIGHEST_RUNG	259	849725.000000	3280.791506	2.818533	-1192.683398	-0.266612
SI	2024	peak	ALL_CANDIDATES	259	2981680.000000	11512.277992	26.868726	0.000000	0.000000
SI	2024	peak	EPISODE|BEST_MEMBER	259	2258622.500000	8720.550193	8.467181	-2791.727799	-0.242500
SI	2024	peak	EPISODE|BEST_SPREAD	259	2052152.500000	7923.368726	8.270270	-3588.909266	-0.311746
SI	2024	peak	EPISODE|CLOSEST_LEVEL	259	1970065.000000	7606.428571	8.212355	-3905.849421	-0.339277
SI	2024	peak	EPISODE|EARLIEST	259	2076812.500000	8018.581081	8.185328	-3493.696911	-0.303476
SI	2024	peak	EPISODE|FAMILY_PRIORITY	259	1919847.500000	7412.538610	8.293436	-4099.739382	-0.356119
SI	2024	peak	EPISODE|HIGHEST_RUNG	259	1861917.500000	7188.870656	7.814672	-4323.407336	-0.375548
SI	2025	close	ALL_CANDIDATES	258	1864727.500000	7227.625969	3.147287	0.000000	0.000000
SI	2025	close	EPISODE|BEST_MEMBER	258	1815480.000000	7036.744186	3.019380	-190.881783	-0.026410
SI	2025	close	EPISODE|BEST_SPREAD	258	1430417.500000	5544.253876	2.922481	-1683.372093	-0.232908
SI	2025	close	EPISODE|CLOSEST_LEVEL	258	1437392.500000	5571.288760	2.864341	-1656.337209	-0.229168
SI	2025	close	EPISODE|EARLIEST	258	1507522.500000	5843.110465	2.918605	-1384.515504	-0.191559
SI	2025	close	EPISODE|FAMILY_PRIORITY	258	1344080.000000	5209.612403	2.844961	-2018.013566	-0.279208
SI	2025	close	EPISODE|HIGHEST_RUNG	258	1322100.000000	5124.418605	2.868217	-2103.207364	-0.290996
SI	2025	peak	ALL_CANDIDATES	258	6253827.500000	24239.641473	39.949612	0.000000	0.000000
SI	2025	peak	EPISODE|BEST_MEMBER	258	3783977.500000	14666.579457	9.639535	-9573.062016	-0.394934
SI	2025	peak	EPISODE|BEST_SPREAD	258	3257085.000000	12624.360465	9.391473	-11615.281008	-0.479185
SI	2025	peak	EPISODE|CLOSEST_LEVEL	258	3182270.000000	12334.379845	9.693798	-11905.261628	-0.491148
SI	2025	peak	EPISODE|EARLIEST	258	3366335.000000	13047.810078	9.410853	-11191.831395	-0.461716
SI	2025	peak	EPISODE|FAMILY_PRIORITY	258	3105597.500000	12037.199612	9.701550	-12202.441860	-0.503409
SI	2025	peak	EPISODE|HIGHEST_RUNG	258	2987752.500000	11580.436047	9.077519	-12659.205426	-0.522252
SI	ALL	close	ALL_CANDIDATES	1174	5222545.000000	4448.505111	3.092845	0.000000	0.000000
SI	ALL	close	EPISODE|BEST_MEMBER	1174	5089432.500000	4335.121380	2.999148	-113.383731	-0.025488
SI	ALL	close	EPISODE|BEST_SPREAD	1174	4188347.500000	3567.587308	2.911414	-880.917802	-0.198026
SI	ALL	close	EPISODE|CLOSEST_LEVEL	1174	4171512.500000	3553.247445	2.904600	-895.257666	-0.201249
SI	ALL	close	EPISODE|EARLIEST	1174	4300447.500000	3663.072828	2.911414	-785.432283	-0.176561
SI	ALL	close	EPISODE|FAMILY_PRIORITY	1174	3999162.500000	3406.441652	2.879046	-1042.063458	-0.234250
SI	ALL	close	EPISODE|HIGHEST_RUNG	1174	3794465.000000	3232.082624	2.880750	-1216.422487	-0.273445
SI	ALL	peak	ALL_CANDIDATES	1174	14288290.000000	12170.604770	25.819421	0.000000	0.000000
SI	ALL	peak	EPISODE|BEST_MEMBER	1174	10149882.500000	8645.555792	8.314310	-3525.048978	-0.289636
SI	ALL	peak	EPISODE|BEST_SPREAD	1174	9050642.500000	7709.235520	7.963373	-4461.369250	-0.366569
SI	ALL	peak	EPISODE|CLOSEST_LEVEL	1174	8751785.000000	7454.672061	8.120102	-4715.932709	-0.387485
SI	ALL	peak	EPISODE|EARLIEST	1174	9215997.500000	7850.083049	7.949744	-4320.521721	-0.354996
SI	ALL	peak	EPISODE|FAMILY_PRIORITY	1174	8514432.500000	7252.497871	8.028961	-4918.106899	-0.404097
SI	ALL	peak	EPISODE|HIGHEST_RUNG	1174	8222062.500000	7003.460392	7.623509	-5167.144378	-0.424559
SI	FIT_2021_2024	close	ALL_CANDIDATES	916	3357817.500000	3665.739629	3.077511	0.000000	0.000000
SI	FIT_2021_2024	close	EPISODE|BEST_MEMBER	916	3273952.500000	3574.183952	2.993450	-91.555677	-0.024976
SI	FIT_2021_2024	close	EPISODE|BEST_SPREAD	916	2757930.000000	3010.840611	2.908297	-654.899017	-0.178654
SI	FIT_2021_2024	close	EPISODE|CLOSEST_LEVEL	916	2734120.000000	2984.847162	2.915939	-680.892467	-0.185745
SI	FIT_2021_2024	close	EPISODE|EARLIEST	916	2792925.000000	3049.044760	2.909389	-616.694869	-0.168232
SI	FIT_2021_2024	close	EPISODE|FAMILY_PRIORITY	916	2655082.500000	2898.561681	2.888646	-767.177948	-0.209283
SI	FIT_2021_2024	close	EPISODE|HIGHEST_RUNG	916	2472365.000000	2699.088428	2.884279	-966.651201	-0.263699
SI	FIT_2021_2024	peak	ALL_CANDIDATES	916	8034462.500000	8771.247271	21.839520	0.000000	0.000000
SI	FIT_2021_2024	peak	EPISODE|BEST_MEMBER	916	6365905.000000	6949.677948	7.941048	-1821.569323	-0.207675
SI	FIT_2021_2024	peak	EPISODE|BEST_SPREAD	916	5793557.500000	6324.844432	7.561135	-2446.402838	-0.278912
SI	FIT_2021_2024	peak	EPISODE|CLOSEST_LEVEL	916	5569515.000000	6080.256550	7.676856	-2690.990721	-0.306797
SI	FIT_2021_2024	peak	EPISODE|EARLIEST	916	5849662.500000	6386.094432	7.538210	-2385.152838	-0.271929
SI	FIT_2021_2024	peak	EPISODE|FAMILY_PRIORITY	916	5408835.000000	5904.841703	7.557860	-2866.405568	-0.326796
SI	FIT_2021_2024	peak	EPISODE|HIGHEST_RUNG	916	5234310.000000	5714.312227	7.213974	-3056.935044	-0.348518
SI	GATE_2025	close	ALL_CANDIDATES	258	1864727.500000	7227.625969	3.147287	0.000000	0.000000
SI	GATE_2025	close	EPISODE|BEST_MEMBER	258	1815480.000000	7036.744186	3.019380	-190.881783	-0.026410
SI	GATE_2025	close	EPISODE|BEST_SPREAD	258	1430417.500000	5544.253876	2.922481	-1683.372093	-0.232908
SI	GATE_2025	close	EPISODE|CLOSEST_LEVEL	258	1437392.500000	5571.288760	2.864341	-1656.337209	-0.229168
SI	GATE_2025	close	EPISODE|EARLIEST	258	1507522.500000	5843.110465	2.918605	-1384.515504	-0.191559
SI	GATE_2025	close	EPISODE|FAMILY_PRIORITY	258	1344080.000000	5209.612403	2.844961	-2018.013566	-0.279208
SI	GATE_2025	close	EPISODE|HIGHEST_RUNG	258	1322100.000000	5124.418605	2.868217	-2103.207364	-0.290996
SI	GATE_2025	peak	ALL_CANDIDATES	258	6253827.500000	24239.641473	39.949612	0.000000	0.000000
SI	GATE_2025	peak	EPISODE|BEST_MEMBER	258	3783977.500000	14666.579457	9.639535	-9573.062016	-0.394934
SI	GATE_2025	peak	EPISODE|BEST_SPREAD	258	3257085.000000	12624.360465	9.391473	-11615.281008	-0.479185
SI	GATE_2025	peak	EPISODE|CLOSEST_LEVEL	258	3182270.000000	12334.379845	9.693798	-11905.261628	-0.491148
SI	GATE_2025	peak	EPISODE|EARLIEST	258	3366335.000000	13047.810078	9.410853	-11191.831395	-0.461716
SI	GATE_2025	peak	EPISODE|FAMILY_PRIORITY	258	3105597.500000	12037.199612	9.701550	-12202.441860	-0.503409
SI	GATE_2025	peak	EPISODE|HIGHEST_RUNG	258	2987752.500000	11580.436047	9.077519	-12659.205426	-0.522252
HG	2021	close	ALL_CANDIDATES	247	718075.000000	2907.186235	3.097166	0.000000	0.000000
HG	2021	close	EPISODE|BEST_MEMBER	247	706663.750000	2860.986842	3.060729	-46.199393	-0.015891
HG	2021	close	EPISODE|BEST_SPREAD	247	576746.250000	2335.005061	3.004049	-572.181174	-0.196816
HG	2021	close	EPISODE|CLOSEST_LEVEL	247	590761.250000	2391.745951	2.991903	-515.440283	-0.177299
HG	2021	close	EPISODE|EARLIEST	247	591547.500000	2394.929150	3.008097	-512.257085	-0.176204
HG	2021	close	EPISODE|FAMILY_PRIORITY	247	578270.000000	2341.174089	3.000000	-566.012146	-0.194694
HG	2021	close	EPISODE|HIGHEST_RUNG	247	531591.250000	2152.191296	3.008097	-754.994939	-0.259700
HG	2021	peak	ALL_CANDIDATES	247	1490708.750000	6035.258097	17.680162	0.000000	0.000000
HG	2021	peak	EPISODE|BEST_MEMBER	247	1262893.750000	5112.930162	7.550607	-922.327935	-0.152823
HG	2021	peak	EPISODE|BEST_SPREAD	247	1118417.500000	4528.006073	7.222672	-1507.252024	-0.249741
HG	2021	peak	EPISODE|CLOSEST_LEVEL	247	1115043.750000	4514.347166	7.327935	-1520.910931	-0.252004
HG	2021	peak	EPISODE|EARLIEST	247	1157035.000000	4684.352227	7.198381	-1350.905870	-0.223836
HG	2021	peak	EPISODE|FAMILY_PRIORITY	247	1092152.500000	4421.670040	7.234818	-1613.588057	-0.267360
HG	2021	peak	EPISODE|HIGHEST_RUNG	247	1047560.000000	4241.133603	6.834008	-1794.124494	-0.297274
HG	2022	close	ALL_CANDIDATES	258	798511.250000	3095.004845	3.000000	0.000000	0.000000
HG	2022	close	EPISODE|BEST_MEMBER	258	779935.000000	3023.003876	2.957364	-72.000969	-0.023264
HG	2022	close	EPISODE|BEST_SPREAD	258	623796.250000	2417.814922	2.856589	-677.189922	-0.218801
HG	2022	close	EPISODE|CLOSEST_LEVEL	258	629107.500000	2438.401163	2.872093	-656.603682	-0.212149
HG	2022	close	EPISODE|EARLIEST	258	650063.750000	2519.626938	2.852713	-575.377907	-0.185905
HG	2022	close	EPISODE|FAMILY_PRIORITY	258	618521.250000	2397.369186	2.817829	-697.635659	-0.225407
HG	2022	close	EPISODE|HIGHEST_RUNG	258	579297.500000	2245.339147	2.860465	-849.665698	-0.274528
HG	2022	peak	ALL_CANDIDATES	258	1720882.500000	6670.087209	18.860465	0.000000	0.000000
HG	2022	peak	EPISODE|BEST_MEMBER	258	1459746.250000	5657.931202	7.914729	-1012.156008	-0.151746
HG	2022	peak	EPISODE|BEST_SPREAD	258	1273931.250000	4937.718023	7.500000	-1732.369186	-0.259722
HG	2022	peak	EPISODE|CLOSEST_LEVEL	258	1253603.750000	4858.929264	7.608527	-1811.157946	-0.271534
HG	2022	peak	EPISODE|EARLIEST	258	1338897.500000	5189.525194	7.705426	-1480.562016	-0.221970
HG	2022	peak	EPISODE|FAMILY_PRIORITY	258	1242798.750000	4817.049419	7.709302	-1853.037791	-0.277813
HG	2022	peak	EPISODE|HIGHEST_RUNG	258	1193988.750000	4627.863372	7.135659	-2042.223837	-0.306176
HG	2023	close	ALL_CANDIDATES	257	568726.250000	2212.942607	3.000000	0.000000	0.000000
HG	2023	close	EPISODE|BEST_MEMBER	257	558140.000000	2171.750973	2.945525	-41.191634	-0.018614
HG	2023	close	EPISODE|BEST_SPREAD	257	443560.000000	1725.914397	2.871595	-487.028210	-0.220082
HG	2023	close	EPISODE|CLOSEST_LEVEL	257	464901.250000	1808.954280	2.922179	-403.988327	-0.182557
HG	2023	close	EPISODE|EARLIEST	257	450548.750000	1753.107977	2.875486	-459.834630	-0.207793
HG	2023	close	EPISODE|FAMILY_PRIORITY	257	455130.000000	1770.933852	2.875486	-442.008755	-0.199738
HG	2023	close	EPISODE|HIGHEST_RUNG	257	415667.500000	1617.383268	2.836576	-595.559339	-0.269126
HG	2023	peak	ALL_CANDIDATES	257	1146698.750000	4461.862840	16.163424	0.000000	0.000000
HG	2023	peak	EPISODE|BEST_MEMBER	257	982203.750000	3821.804475	7.307393	-640.058366	-0.143451
HG	2023	peak	EPISODE|BEST_SPREAD	257	857391.250000	3336.152724	6.782101	-1125.710117	-0.252296
HG	2023	peak	EPISODE|CLOSEST_LEVEL	257	863058.750000	3358.205253	6.856031	-1103.657588	-0.247354
HG	2023	peak	EPISODE|EARLIEST	257	864876.250000	3365.277237	6.813230	-1096.585603	-0.245769
HG	2023	peak	EPISODE|FAMILY_PRIORITY	257	846076.250000	3292.125486	6.735409	-1169.737354	-0.262163
HG	2023	peak	EPISODE|HIGHEST_RUNG	257	803396.250000	3126.055447	6.369650	-1335.807393	-0.299383
HG	2024	close	ALL_CANDIDATES	259	666247.500000	2572.384170	3.042471	0.000000	0.000000
HG	2024	close	EPISODE|BEST_MEMBER	259	645842.500000	2493.600386	2.988417	-78.783784	-0.030627
HG	2024	close	EPISODE|BEST_SPREAD	259	525971.250000	2030.777027	2.942085	-541.607143	-0.210547
HG	2024	close	EPISODE|CLOSEST_LEVEL	259	533390.000000	2059.420849	2.980695	-512.963320	-0.199412
HG	2024	close	EPISODE|EARLIEST	259	531891.250000	2053.634170	2.945946	-518.750000	-0.201661
HG	2024	close	EPISODE|FAMILY_PRIORITY	259	507826.250000	1960.719112	2.880309	-611.665058	-0.237781
HG	2024	close	EPISODE|HIGHEST_RUNG	259	484493.750000	1870.632239	2.934363	-701.751931	-0.272802
HG	2024	peak	ALL_CANDIDATES	259	1354851.250000	5231.085907	16.335907	0.000000	0.000000
HG	2024	peak	EPISODE|BEST_MEMBER	259	1147227.500000	4429.449807	7.131274	-801.636100	-0.153245
HG	2024	peak	EPISODE|BEST_SPREAD	259	1022268.750000	3946.983591	6.679537	-1284.102317	-0.245475
HG	2024	peak	EPISODE|CLOSEST_LEVEL	259	1009528.750000	3897.794402	6.691120	-1333.291506	-0.254879
HG	2024	peak	EPISODE|EARLIEST	259	1040795.000000	4018.513514	6.760618	-1212.572394	-0.231801
HG	2024	peak	EPISODE|FAMILY_PRIORITY	259	984723.750000	3802.022201	6.675676	-1429.063707	-0.273187
HG	2024	peak	EPISODE|HIGHEST_RUNG	259	949306.250000	3665.275097	6.100386	-1565.810811	-0.299328
HG	2025	close	ALL_CANDIDATES	258	933965.000000	3620.019380	3.069767	0.000000	0.000000
HG	2025	close	EPISODE|BEST_MEMBER	258	912231.250000	3535.780039	3.003876	-84.239341	-0.023270
HG	2025	close	EPISODE|BEST_SPREAD	258	714986.250000	2771.264535	2.922481	-848.754845	-0.234461
HG	2025	close	EPISODE|CLOSEST_LEVEL	258	766347.500000	2970.339147	2.937984	-649.680233	-0.179469
HG	2025	close	EPISODE|EARLIEST	258	772121.250000	2992.718023	2.914729	-627.301357	-0.173287
HG	2025	close	EPISODE|FAMILY_PRIORITY	258	735365.000000	2850.251938	2.875969	-769.767442	-0.212642
HG	2025	close	EPISODE|HIGHEST_RUNG	258	680670.000000	2638.255814	2.872093	-981.763566	-0.271204
HG	2025	peak	ALL_CANDIDATES	258	2213073.750000	8577.805233	20.519380	0.000000	0.000000
HG	2025	peak	EPISODE|BEST_MEMBER	258	1735952.500000	6728.498062	7.624031	-1849.307171	-0.215592
HG	2025	peak	EPISODE|BEST_SPREAD	258	1473217.500000	5710.145349	7.457364	-2867.659884	-0.334312
HG	2025	peak	EPISODE|CLOSEST_LEVEL	258	1494476.250000	5792.543605	7.426357	-2785.261628	-0.324706
HG	2025	peak	EPISODE|EARLIEST	258	1585268.750000	6144.452519	7.344961	-2433.352713	-0.283680
HG	2025	peak	EPISODE|FAMILY_PRIORITY	258	1472262.500000	5706.443798	7.344961	-2871.361434	-0.334743
HG	2025	peak	EPISODE|HIGHEST_RUNG	258	1418291.250000	5497.252907	6.910853	-3080.552326	-0.359131
HG	ALL	close	ALL_CANDIDATES	1279	3685525.000000	2881.567631	3.041439	0.000000	0.000000
HG	ALL	close	EPISODE|BEST_MEMBER	1279	3602812.500000	2816.897967	2.990618	-64.669664	-0.022443
HG	ALL	close	EPISODE|BEST_SPREAD	1279	2885060.000000	2255.715403	2.918686	-625.852228	-0.217192
HG	ALL	close	EPISODE|CLOSEST_LEVEL	1279	2984507.500000	2333.469507	2.940579	-548.098124	-0.190208
HG	ALL	close	EPISODE|EARLIEST	1279	2996172.500000	2342.589914	2.918686	-538.977717	-0.187043
HG	ALL	close	EPISODE|FAMILY_PRIORITY	1279	2895112.500000	2263.575059	2.888976	-617.992572	-0.214464
HG	ALL	close	EPISODE|HIGHEST_RUNG	1279	2691720.000000	2104.550430	2.901486	-777.017201	-0.269651
HG	ALL	peak	ALL_CANDIDATES	1279	7926215.000000	6197.197029	17.913995	0.000000	0.000000
HG	ALL	peak	EPISODE|BEST_MEMBER	1279	6588023.750000	5150.917709	7.505082	-1046.279320	-0.168831
HG	ALL	peak	EPISODE|BEST_SPREAD	1279	5745226.250000	4491.967357	7.127443	-1705.229672	-0.275161
HG	ALL	peak	EPISODE|CLOSEST_LEVEL	1279	5735711.250000	4484.527952	7.180610	-1712.669077	-0.276362
HG	ALL	peak	EPISODE|EARLIEST	1279	5986872.500000	4680.901095	7.164191	-1516.295934	-0.244674
HG	ALL	peak	EPISODE|FAMILY_PRIORITY	1279	5638013.750000	4408.142103	7.139171	-1789.054926	-0.288688
HG	ALL	peak	EPISODE|HIGHEST_RUNG	1279	5412542.500000	4231.854965	6.668491	-1965.342064	-0.317134
HG	FIT_2021_2024	close	ALL_CANDIDATES	1021	2751560.000000	2694.965720	3.034280	0.000000	0.000000
HG	FIT_2021_2024	close	EPISODE|BEST_MEMBER	1021	2690581.250000	2635.241185	2.987267	-59.724535	-0.022162
HG	FIT_2021_2024	close	EPISODE|BEST_SPREAD	1021	2170073.750000	2125.439520	2.917728	-569.526200	-0.211330
HG	FIT_2021_2024	close	EPISODE|CLOSEST_LEVEL	1021	2218160.000000	2172.536729	2.941234	-522.428991	-0.193854
HG	FIT_2021_2024	close	EPISODE|EARLIEST	1021	2224051.250000	2178.306807	2.919687	-516.658913	-0.191713
HG	FIT_2021_2024	close	EPISODE|FAMILY_PRIORITY	1021	2159747.500000	2115.325661	2.892262	-579.640059	-0.215083
HG	FIT_2021_2024	close	EPISODE|HIGHEST_RUNG	1021	2011050.000000	1969.686582	2.908913	-725.279138	-0.269124
HG	FIT_2021_2024	peak	ALL_CANDIDATES	1021	5713141.250000	5595.632958	17.255632	0.000000	0.000000
HG	FIT_2021_2024	peak	EPISODE|BEST_MEMBER	1021	4852071.250000	4752.273506	7.475024	-843.359452	-0.150717
HG	FIT_2021_2024	peak	EPISODE|BEST_SPREAD	1021	4272008.750000	4184.141773	7.044074	-1411.491185	-0.252249
HG	FIT_2021_2024	peak	EPISODE|CLOSEST_LEVEL	1021	4241235.000000	4154.000979	7.118511	-1441.631978	-0.257635
HG	FIT_2021_2024	peak	EPISODE|EARLIEST	1021	4401603.750000	4311.071254	7.118511	-1284.561704	-0.229565
HG	FIT_2021_2024	peak	EPISODE|FAMILY_PRIORITY	1021	4165751.250000	4080.069785	7.087169	-1515.563173	-0.270847
HG	FIT_2021_2024	peak	EPISODE|HIGHEST_RUNG	1021	3994251.250000	3912.097209	6.607248	-1683.535749	-0.300866
HG	GATE_2025	close	ALL_CANDIDATES	258	933965.000000	3620.019380	3.069767	0.000000	0.000000
HG	GATE_2025	close	EPISODE|BEST_MEMBER	258	912231.250000	3535.780039	3.003876	-84.239341	-0.023270
HG	GATE_2025	close	EPISODE|BEST_SPREAD	258	714986.250000	2771.264535	2.922481	-848.754845	-0.234461
HG	GATE_2025	close	EPISODE|CLOSEST_LEVEL	258	766347.500000	2970.339147	2.937984	-649.680233	-0.179469
HG	GATE_2025	close	EPISODE|EARLIEST	258	772121.250000	2992.718023	2.914729	-627.301357	-0.173287
HG	GATE_2025	close	EPISODE|FAMILY_PRIORITY	258	735365.000000	2850.251938	2.875969	-769.767442	-0.212642
HG	GATE_2025	close	EPISODE|HIGHEST_RUNG	258	680670.000000	2638.255814	2.872093	-981.763566	-0.271204
HG	GATE_2025	peak	ALL_CANDIDATES	258	2213073.750000	8577.805233	20.519380	0.000000	0.000000
HG	GATE_2025	peak	EPISODE|BEST_MEMBER	258	1735952.500000	6728.498062	7.624031	-1849.307171	-0.215592
HG	GATE_2025	peak	EPISODE|BEST_SPREAD	258	1473217.500000	5710.145349	7.457364	-2867.659884	-0.334312
HG	GATE_2025	peak	EPISODE|CLOSEST_LEVEL	258	1494476.250000	5792.543605	7.426357	-2785.261628	-0.324706
HG	GATE_2025	peak	EPISODE|EARLIEST	258	1585268.750000	6144.452519	7.344961	-2433.352713	-0.283680
HG	GATE_2025	peak	EPISODE|FAMILY_PRIORITY	258	1472262.500000	5706.443798	7.344961	-2871.361434	-0.334743
HG	GATE_2025	peak	EPISODE|HIGHEST_RUNG	258	1418291.250000	5497.252907	6.910853	-3080.552326	-0.359131
NKD	2021	close	ALL_CANDIDATES	248	630832.500000	2543.679435	2.987903	0.000000	0.000000
NKD	2021	close	EPISODE|BEST_MEMBER	248	617940.000000	2491.693548	2.891129	-51.985887	-0.020437
NKD	2021	close	EPISODE|BEST_SPREAD	248	504790.000000	2035.443548	2.790323	-508.235887	-0.199803
NKD	2021	close	EPISODE|CLOSEST_LEVEL	248	519512.500000	2094.808468	2.822581	-448.870968	-0.176465
NKD	2021	close	EPISODE|EARLIEST	248	525955.000000	2120.786290	2.778226	-422.893145	-0.166253
NKD	2021	close	EPISODE|FAMILY_PRIORITY	248	510957.500000	2060.312500	2.806452	-483.366935	-0.190027
NKD	2021	close	EPISODE|HIGHEST_RUNG	248	475400.000000	1916.935484	2.721774	-626.743952	-0.246393
NKD	2021	peak	ALL_CANDIDATES	248	1328327.500000	5356.159274	13.092742	0.000000	0.000000
NKD	2021	peak	EPISODE|BEST_MEMBER	248	1138030.000000	4588.830645	6.467742	-767.328629	-0.143261
