# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# same session AND same side AND same oracle leg; membership leg_start_sec <= dec_sec <= leg_end_sec (INCLUSIVE); overlapping legs -> the first by (start, end)
# candidates in NO leg: chain-link on consecutive same-side decision_secs with gap <= GAP (INCLUSIVE)
# haystack_shrink = episode base rate / candidate base rate (CC-M1-8: reported for BOTH certificate readings)
asset	era	gap_sec	n_days	n_candidates	n_episodes	episodes_per_day	candidates_per_day	candidates_per_episode	median_episode_size	max_episode_size	multi_member_share	n_leg_episodes	n_chain_episodes	leg_candidate_share	n_cand_1k_close	cand_base_rate_close	n_epi_1k_close	epi_base_rate_close	haystack_shrink_close	cand_1k_per_day_close	episodes_1k_per_day_close	n_cand_1k_peak	cand_base_rate_peak	n_epi_1k_peak	epi_base_rate_peak	haystack_shrink_peak	cand_1k_per_day_peak	episodes_1k_per_day_peak
HG	2022	900	258	110802	10585	41.027132	429.465116	10.467832	3.000000	274	0.738970	685	9900	0.297215	8937	0.080657	741	0.070005	0.867927	34.639535	2.872093	33462	0.301998	3480	0.328767	1.088639	129.697674	13.488372
HG	2022	1800	258	110802	4565	17.693798	429.465116	24.272070	9.000000	384	0.844031	685	3880	0.297215	8937	0.080657	561	0.122892	1.523624	34.639535	2.174419	33462	0.301998	1844	0.403943	1.337568	129.697674	7.147287
HG	2023	600	257	105361	17295	67.295720	409.964981	6.091992	2.000000	189	0.676149	265	17030	0.145775	4493	0.042644	584	0.033767	0.791837	17.482490	2.272374	21071	0.199989	3768	0.217866	1.089394	81.988327	14.661479
HG	2023	900	257	105361	11050	42.996109	409.964981	9.534932	3.000000	260	0.731674	265	10785	0.145775	4493	0.042644	453	0.040995	0.961345	17.482490	1.762646	21071	0.199989	2644	0.239276	1.196448	81.988327	10.287938
HG	2023	1800	257	105361	4381	17.046693	409.964981	24.049532	5.000000	287	0.795937	265	4116	0.145775	4493	0.042644	312	0.071217	1.670032	17.482490	1.214008	21071	0.199989	1292	0.294910	1.474633	81.988327	5.027237
HG	2024	600	259	107109	16393	63.293436	413.548263	6.533825	3.000000	356	0.680717	414	15979	0.201309	6292	0.058744	642	0.039163	0.666674	24.293436	2.478764	24906	0.232529	3675	0.224181	0.964097	96.162162	14.189189
HG	2024	900	259	107109	10685	41.254826	413.548263	10.024240	3.000000	496	0.734207	414	10271	0.201309	6292	0.058744	509	0.047637	0.810925	24.293436	1.965251	24906	0.232529	2570	0.240524	1.034381	96.162162	9.922780
HG	2024	1800	259	107109	4410	17.027027	413.548263	24.287755	6.000000	519	0.806803	414	3996	0.201309	6292	0.058744	377	0.085488	1.455258	24.293436	1.455598	24906	0.232529	1385	0.314059	1.350620	96.162162	5.347490
HG	2025	600	258	112227	15394	59.666667	434.988372	7.290308	2.000000	490	0.673444	714	14680	0.277304	11018	0.098176	1109	0.072041	0.733795	42.705426	4.298450	36716	0.327158	4843	0.314603	0.961623	142.310078	18.771318
HG	2025	900	258	112227	10397	40.298450	434.988372	10.794171	3.000000	526	0.730595	714	9683	0.277304	11018	0.098176	897	0.086275	0.878778	42.705426	3.476744	36716	0.327158	3441	0.330961	1.011623	142.310078	13.337209
