# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=19fedc9231ba9f0e)
# params_hash=cd234e93d01ac530b9a0c5f752af2cb19fee3411ae5058c67315dface142bedc
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
asset	d8	era	n_candidates	n_winners	n_win_long	n_win_short	oracle_side	release_day	dp_ceiling_usd	core_realised	core_oracle_realised	core_oracle_mirror_realised	e1_side	e2_side	e3_side
HG	20210208	FIT	275	6	6	0	1	0	1866.250000	-296.250000	-478.750000	-341.250000	-1	-1	1
HG	20210209	FIT	294	0	0	0	0	0	1441.250000	-327.500000			1	1	-1
HG	20210210	FIT	412	7	7	0	1	1	1935.000000	-902.500000	207.500000	-902.500000	1	1	-1
HG	20210211	FIT	217	0	0	0	0	0	941.250000	170.000000			-1	1	-1
HG	20210212	FIT	278	29	29	0	1	0	2341.250000	-736.250000	0.000000	-736.250000	-1	-1	1
HG	20210215	FIT	153	0	0	0	0	0	1953.750000	46.250000			1	1	1
HG	20210216	FIT	358	0	0	0	0	0	1553.750000	247.500000			1	1	1
HG	20210217	FIT	412	0	0	0	0	0	1323.750000	-441.250000			1	-1	-1
HG	20210218	FIT	649	17	17	0	1	0	2941.250000	-1995.000000	377.500000	-1995.000000	1	1	-1
HG	20210219	FIT	753	64	64	0	1	0	4803.750000	-2416.250000	4428.750000	-3622.500000	-1	1	-1
HG	20210222	FIT	1353	92	35	57	-1	0	6998.750000	537.500000	-486.250000	1272.500000	1	1	1
HG	20210223	FIT	948	88	68	20	1	0	6973.750000	1380.000000	1961.250000	-190.000000	1	-1	-1
HG	20210224	FIT	823	85	85	0	1	0	5628.750000	-1793.750000	-930.000000	-863.750000	1	-1	-1
HG	20210225	FIT	970	75	0	75	-1	0	4060.000000	-942.500000	-942.500000	757.500000	1	1	-1
HG	20210226	FIT	856	83	0	83	-1	0	5205.000000	1610.000000	3635.000000	-2213.750000	1	-1	-1
HG	20210301	FIT	428	11	0	11	-1	0	2617.500000	-2193.750000	685.000000	-838.750000	1	1	1
HG	20210302	FIT	509	63	63	0	1	0	5572.500000	5066.250000	3603.750000	-2517.500000	-1	1	-1
HG	20210303	FIT	414	17	0	17	-1	0	2885.000000	-695.000000	645.000000	-1851.250000	-1	-1	-1
HG	20210304	FIT	1087	137	6	131	-1	0	9298.750000	-727.500000	5206.250000	-727.500000	-1	-1	1
HG	20210305	FIT	680	41	41	0	1	1	4811.250000	811.250000	3866.250000	-2357.500000	-1	1	1
HG	20210308	FIT	480	45	11	34	-1	0	5753.750000	3392.500000	2842.500000	-507.500000	-1	-1	1
HG	20210309	FIT	394	14	0	14	-1	0	4328.750000	3816.250000	2783.750000	-1793.750000	-1	-1	1
HG	20210310	FIT	291	0	0	0	0	1	2178.750000	503.750000			-1	1	1
HG	20210311	FIT	256	30	30	0	1	0	4016.250000	391.250000	2621.250000	-1453.750000	1	1	1
HG	20210312	FIT	209	23	23	0	1	0	3028.750000	-930.000000	-930.000000	0.000000	-1	-1	-1
HG	20210315	FIT	258	5	0	5	-1	0	2160.000000	1391.250000	933.750000	247.500000	-1	-1	1
HG	20210316	FIT	244	8	0	8	-1	0	2972.500000	-766.250000	163.750000	-1153.750000	-1	-1	1
HG	20210317	FIT	232	12	12	0	1	1	2485.000000	977.500000	1288.750000	-311.250000	1	1	1
HG	20210318	FIT	253	35	0	35	-1	0	3860.000000	-1221.250000	1513.750000	-1221.250000	-1	-1	-1
HG	20210319	FIT	295	9	9	0	1	0	2660.000000	-1182.500000	391.250000	-985.000000	1	1	-1
HG	20210322	FIT	215	0	0	0	0	0	1835.000000	-316.250000			1	1	-1
HG	20210323	FIT	360	57	0	57	-1	0	4516.250000	858.750000	3115.000000	-1860.000000	-1	-1	1
HG	20210324	FIT	221	16	0	16	-1	0	3272.500000	45.000000	45.000000	0.000000	1	1	-1
HG	20210325	FIT	379	17	17	0	1	0	2803.750000	1835.000000	770.000000	585.000000	-1	-1	-1
HG	20210326	FIT	195	5	5	0	1	0	2210.000000	-930.000000	0.000000	-930.000000	1	1	-1
HG	20210329	FIT	253	0	0	0	0	0	2010.000000	102.500000			-1	-1	1
HG	20210330	FIT	278	3	0	3	-1	0	2066.250000	-753.750000	0.000000	-753.750000	-1	-1	1
HG	20210331	FIT	204	0	0	0	0	0	1916.250000	1146.250000			-1	1	-1
HG	20210401	FIT	232	8	8	0	1	0	2491.250000	-440.000000	107.500000	-547.500000	-1	-1	1
HG	20210405	FIT	282	7	7	0	1	0	2941.250000	-283.750000	1340.000000	-960.000000	1	1	1
HG	20210406	FIT	308	11	0	11	-1	0	2510.000000	-365.000000	-266.250000	-365.000000	-1	-1	-1
HG	20210407	FIT	193	0	0	0	0	0	1147.500000	-80.000000			-1	-1	1
HG	20210408	FIT	198	0	0	0	0	0	1691.250000	-91.250000			1	1	1
HG	20210409	FIT	172	0	0	0	0	0	1916.250000	1008.750000			-1	-1	1
HG	20210412	FIT	248	5	0	5	-1	0	2528.750000	203.750000	188.750000	15.000000	-1	-1	-1
HG	20210413	FIT	215	0	0	0	0	1	1485.000000	728.750000			-1	1	-1
HG	20210414	FIT	218	11	11	0	1	0	2191.250000	616.250000	1583.750000	-1471.250000	-1	1	-1
HG	20210415	FIT	316	18	18	0	1	0	2791.250000	-2283.750000	0.000000	-2283.750000	1	1	1
HG	20210416	FIT	369	20	0	20	-1	0	3322.500000	-1538.750000	696.250000	-1538.750000	-1	1	-1
HG	20210419	FIT	440	14	14	0	1	0	3197.500000	1028.750000	1341.250000	-796.250000	1	1	1
HG	20210420	FIT	371	21	2	19	-1	0	3878.750000	746.250000	1608.750000	-2015.000000	1	1	-1
HG	20210421	FIT	333	14	14	0	1	0	2122.500000	-407.500000	1483.750000	-1120.000000	1	1	1
HG	20210422	FIT	282	0	0	0	0	0	1597.500000	-735.000000			-1	-1	-1
HG	20210423	FIT	246	0	0	0	0	0	1953.750000	-1327.500000			1	1	-1
HG	20210426	FIT	409	9	9	0	1	0	3010.000000	1453.750000	2585.000000	-2607.500000	1	1	1
HG	20210427	FIT	410	0	0	0	0	0	1897.500000	-707.500000			1	1	-1
HG	20210428	FIT	464	10	7	3	1	1	3603.750000	-552.500000	1391.250000	-930.000000	-1	-1	1
HG	20210429	FIT	391	24	0	24	-1	0	2697.500000	0.000000	0.000000	0.000000	1	1	1
HG	20210430	FIT	418	46	4	42	-1	0	3028.750000	2378.750000	1596.250000	-402.500000	-1	1	-1
HG	20210503	FIT	380	21	21	0	1	0	3053.750000	2553.750000	2065.000000	83.750000	1	1	1
HG	20210504	FIT	432	6	6	0	1	0	2416.250000	1278.750000	1278.750000	-917.500000	-1	-1	1
HG	20210505	FIT	382	0	0	0	0	0	1785.000000	-802.500000			1	-1	-1
HG	20210506	FIT	396	15	15	0	1	0	2403.750000	-2445.000000	0.000000	-2445.000000	1	1	1
HG	20210507	FIT	548	74	74	0	1	1	4460.000000	-640.000000	3441.250000	-2246.250000	1	1	0
HG	20210510	FIT	882	116	0	116	-1	0	7491.250000	5280.000000	1887.500000	-1417.500000	1	1	1
HG	20210511	FIT	634	55	55	0	1	0	4191.250000	-245.000000	1053.750000	-1658.750000	-1	1	-1
HG	20210512	FIT	731	37	0	37	-1	1	3503.750000	-383.750000	-383.750000	-1683.750000	-1	-1	1
HG	20210513	FIT	687	45	0	45	-1	0	4097.500000	-1525.000000	1043.750000	-503.750000	1	-1	1
HG	20210514	FIT	546	9	0	9	-1	0	3072.500000	1591.250000	-475.000000	458.750000	1	-1	1
HG	20210517	FIT	357	11	11	0	1	0	2610.000000	2247.500000	1903.750000	-1002.500000	-1	1	-1
HG	20210518	FIT	411	35	7	28	-1	0	3047.500000	-1782.500000	1122.500000	-1633.750000	1	1	-1
HG	20210519	FIT	704	25	0	25	-1	0	3622.500000	-2220.000000	2947.500000	-2220.000000	-1	-1	1
HG	20210520	FIT	420	45	7	38	-1	0	3866.250000	2028.750000	2028.750000	-965.000000	-1	1	1
HG	20210521	FIT	503	11	0	11	-1	0	3322.500000	1035.000000	1035.000000	228.750000	-1	1	1
HG	20210524	FIT	484	5	5	0	1	0	3022.500000	-71.250000	1772.500000	-1472.500000	-1	-1	-1
HG	20210525	FIT	449	8	0	8	-1	0	2847.500000	-1726.250000	422.500000	-1621.250000	1	-1	-1
HG	20210526	FIT	299	0	0	0	0	0	1335.000000	841.250000			1	1	1
HG	20210527	FIT	308	48	48	0	1	0	4135.000000	-3092.500000	3060.000000	-3500.000000	1	1	1
HG	20210528	FIT	409	36	33	3	1	0	3666.250000	1198.750000	692.500000	-621.250000	-1	-1	-1
HG	20210531	FIT	239	0	0	0	0	0	1803.750000	516.250000			-1	-1	1
HG	20210601	FIT	411	19	0	19	-1	0	2410.000000	1085.000000	798.750000	-697.500000	1	-1	1
HG	20210602	FIT	327	0	0	0	0	0	1635.000000	78.750000			-1	-1	-1
HG	20210603	FIT	449	43	0	43	-1	0	3853.750000	-2980.000000	3335.000000	-3143.750000	-1	-1	1
HG	20210604	FIT	330	13	13	0	1	1	2741.250000	-863.750000	1153.750000	-533.750000	1	1	-1
HG	20210607	FIT	254	7	7	0	1	0	2641.250000	1747.500000	915.000000	60.000000	-1	-1	1
HG	20210608	FIT	301	22	22	0	1	0	2910.000000	442.500000	603.750000	-1963.750000	-1	-1	-1
HG	20210609	FIT	257	0	0	0	0	0	1447.500000	-877.500000			-1	-1	-1
HG	20210610	FIT	382	4	3	1	1	1	2703.750000	-1921.250000	-265.000000	-617.500000	-1	-1	1
HG	20210611	FIT	343	34	34	0	1	0	3253.750000	-2071.250000	-917.500000	-521.250000	1	1	1
HG	20210614	FIT	276	4	0	4	-1	0	2128.750000	833.750000	-323.750000	833.750000	-1	-1	-1
HG	20210615	FIT	534	52	0	52	-1	0	5447.500000	592.500000	2427.500000	-3263.750000	-1	-1	1
HG	20210616	FIT	489	77	0	77	-1	1	4210.000000	2385.000000	2060.000000	176.250000	-1	-1	1
HG	20210617	FIT	529	58	0	58	-1	0	5153.750000	-998.750000	955.000000	-2130.000000	1	1	1
HG	20210618	FIT	347	19	0	19	-1	0	2578.750000	1341.250000	1483.750000	-816.250000	1	1	-1
HG	20210621	FIT	404	21	21	0	1	0	3022.500000	-1331.250000	52.500000	-1251.250000	1	1	1
HG	20210622	FIT	335	17	17	0	1	0	2372.500000	-758.750000	890.000000	-758.750000	1	1	1
HG	20210623	FIT	209	12	12	0	1	0	2778.750000	-1345.000000	1382.500000	-1345.000000	1	1	1
HG	20210624	FIT	250	0	0	0	0	0	2310.000000	-277.500000			-1	-1	0
HG	20210625	FIT	313	2	0	2	-1	0	1803.750000	-720.000000	365.000000	-865.000000	1	1	-1
HG	20210628	FIT	268	0	0	0	0	0	1372.500000	-390.000000			-1	-1	1
HG	20210629	FIT	305	15	9	6	1	0	3272.500000	0.000000	0.000000	0.000000	-1	-1	-1
HG	20210630	FIT	342	6	6	0	1	0	2485.000000	802.500000	802.500000	920.000000	1	1	-1
HG	20210701	FIT	338	29	0	29	-1	0	3222.500000	-451.250000	752.500000	-451.250000	-1	1	-1
HG	20210702	FIT	321	0	0	0	0	1	1516.250000	71.250000			1	1	-1
HG	20210705	FIT	240	8	8	0	1	0	2247.500000	503.750000	1835.000000	-1860.000000	1	1	1
HG	20210706	FIT	415	52	0	52	-1	0	4260.000000	855.000000	1347.500000	-1613.750000	1	1	1
HG	20210707	FIT	413	14	3	11	-1	0	3178.750000	-632.500000	-632.500000	-1197.500000	1	1	1
HG	20210708	FIT	389	17	0	17	-1	0	2435.000000	-1647.500000	-717.500000	-385.000000	-1	-1	1
HG	20210709	FIT	407	22	22	0	1	0	3066.250000	-815.000000	1510.000000	-797.500000	1	1	-1
HG	20210712	FIT	304	9	9	0	1	0	2322.500000	1816.250000	1046.250000	115.000000	-1	-1	1
HG	20210713	FIT	324	1	0	1	-1	1	2047.500000	240.000000	-930.000000	240.000000	-1	-1	-1
HG	20210714	FIT	243	0	0	0	0	0	1960.000000	371.250000			-1	-1	1
HG	20210715	FIT	241	1	1	0	1	0	2253.750000	978.750000	978.750000	620.000000	1	1	-1
HG	20210716	FIT	265	0	0	0	0	0	1591.250000	-1046.250000			1	1	-1
HG	20210719	FIT	491	16	0	16	-1	0	2678.750000	-1058.750000	882.500000	-1058.750000	-1	-1	1
HG	20210720	FIT	403	27	27	0	1	0	2166.250000	-1138.750000	996.250000	-1138.750000	1	1	-1
HG	20210721	FIT	264	0	0	0	0	0	2141.250000	-1447.500000			-1	-1	1
HG	20210722	FIT	342	0	0	0	0	0	1697.500000	803.750000			-1	1	1
HG	20210723	FIT	420	42	42	0	1	0	3466.250000	2622.500000	2771.250000	-2395.000000	1	1	-1
HG	20210726	FIT	681	56	56	0	1	0	4791.250000	-2223.750000	602.500000	-2612.500000	1	1	-1
HG	20210727	FIT	611	18	1	17	-1	0	2935.000000	-570.000000	780.000000	85.000000	1	-1	1
HG	20210728	FIT	566	26	0	26	-1	1	3147.500000	572.500000	2247.500000	-2790.000000	1	-1	-1
HG	20210729	FIT	305	0	0	0	0	0	2160.000000	-871.250000			1	1	1
HG	20210730	FIT	454	32	0	32	-1	0	3110.000000	-1345.000000	-1271.250000	11.250000	-1	-1	1
HG	20210802	FIT	446	45	0	45	-1	0	3147.500000	-1557.500000	2366.250000	-1927.500000	-1	1	1
HG	20210803	FIT	386	0	0	0	0	0	2153.750000	1453.750000			1	-1	1
HG	20210804	FIT	277	1	0	1	-1	0	1878.750000	1027.500000	1027.500000	-461.250000	1	-1	-1
HG	20210805	FIT	194	0	0	0	0	0	1535.000000	-821.250000			1	-1	-1
HG	20210806	FIT	338	20	0	20	-1	1	3066.250000	-930.000000	1251.250000	-930.000000	1	1	-1
HG	20210809	FIT	458	26	8	18	-1	0	3653.750000	1622.500000	1015.000000	1002.500000	-1	-1	-1
HG	20210810	FIT	288	23	23	0	1	0	2203.750000	1191.250000	1345.000000	-788.750000	1	1	0
HG	20210811	FIT	363	0	0	0	0	1	1616.250000	-907.500000			-1	-1	-1
HG	20210812	FIT	308	0	0	0	0	0	1841.250000	-1513.750000			1	1	1
HG	20210813	FIT	237	25	0	25	-1	0	2078.750000	-278.750000	-1191.250000	-17.500000	1	1	-1
HG	20210816	FIT	425	0	0	0	0	0	1972.500000	-215.000000			-1	-1	1
HG	20210817	FIT	404	15	0	15	-1	0	2685.000000	2046.250000	2046.250000	-1658.750000	-1	-1	-1
HG	20210818	FIT	410	47	0	47	-1	0	3728.750000	-101.250000	2540.000000	-1633.750000	1	-1	0
HG	20210819	FIT	683	63	23	40	-1	0	5747.500000	5503.750000	2237.500000	-1107.500000	-1	-1	0
HG	20210820	FIT	367	45	45	0	1	0	4347.500000	-3345.000000	-730.000000	-2057.500000	1	1	-1
HG	20210823	FIT	401	22	22	0	1	0	3328.750000	-1827.500000	1433.750000	-1577.500000	1	1	-1
HG	20210824	FIT	247	8	8	0	1	0	2572.500000	460.000000	460.000000	520.000000	-1	1	-1
HG	20210825	FIT	285	0	0	0	0	0	1991.250000	-40.000000			1	1	1
HG	20210826	FIT	248	0	0	0	0	0	1966.250000	758.750000			-1	-1	1
HG	20210827	FIT	360	23	23	0	1	0	2947.500000	-1135.000000	0.000000	-1135.000000	-1	1	0
HG	20210830	FIT	265	0	0	0	0	0	1947.500000	-847.500000			1	1	1
HG	20210831	FIT	383	0	0	0	0	0	1885.000000	-227.500000			-1	-1	1
HG	20210901	FIT	457	5	0	5	-1	0	2572.500000	-1890.000000	-30.000000	-2002.500000	-1	-1	1
HG	20210902	FIT	266	0	0	0	0	0	1778.750000	-735.000000			1	-1	1
HG	20210903	FIT	410	1	1	0	1	1	2441.250000	203.750000	1178.750000	-685.000000	1	1	1
HG	20210906	FIT	240	0	0	0	0	0	1660.000000	910.000000			-1	-1	-1
HG	20210907	FIT	364	0	0	0	0	0	2185.000000	1778.750000			-1	-1	-1
HG	20210908	FIT	441	13	0	13	-1	0	2903.750000	927.500000	1228.750000	-1172.500000	-1	-1	1
HG	20210909	FIT	469	8	8	0	1	0	2478.750000	-1371.250000	946.250000	-471.250000	1	1	1
HG	20210910	FIT	416	32	32	0	1	0	3878.750000	1081.250000	2872.500000	-1701.250000	1	1	1
HG	20210913	FIT	592	29	0	29	-1	0	3316.250000	-1462.500000	1478.750000	-1913.750000	1	1	-1
HG	20210914	FIT	482	2	0	2	-1	1	2335.000000	847.500000	585.000000	-440.000000	1	-1	0
HG	20210915	FIT	439	25	25	0	1	0	3003.750000	247.500000	2603.750000	-2082.500000	1	1	1
HG	20210916	FIT	463	17	0	17	-1	0	3310.000000	-902.500000	1321.250000	-2970.000000	-1	-1	1
HG	20210917	FIT	431	47	0	47	-1	0	4447.500000	-3262.500000	-1185.000000	-1338.750000	1	1	-1
HG	20210920	FIT	495	16	0	16	-1	0	3541.250000	1183.750000	1183.750000	-560.000000	-1	-1	-1
HG	20210921	FIT	532	46	36	10	1	0	3460.000000	1182.500000	-202.500000	1182.500000	1	1	1
HG	20210922	FIT	482	18	10	8	1	1	4022.500000	-2033.750000	-80.000000	-2033.750000	1	1	1
HG	20210923	FIT	368	2	2	0	1	0	1960.000000	927.500000	927.500000	0.000000	-1	1	1
HG	20210924	FIT	297	38	38	0	1	0	2891.250000	-930.000000	1238.750000	-930.000000	-1	1	-1
HG	20210927	FIT	321	0	0	0	0	0	1822.500000	-22.500000			1	-1	1
HG	20210928	FIT	362	17	0	17	-1	0	2903.750000	-1860.000000	-930.000000	-910.000000	1	-1	-1
HG	20210929	FIT	400	46	0	46	-1	0	3103.750000	2010.000000	1463.750000	-1313.750000	-1	-1	1
HG	20210930	FIT	538	34	5	29	-1	0	3572.500000	-1438.750000	296.250000	-1165.000000	1	-1	-1
HG	20211001	FIT	465	50	50	0	1	0	4978.750000	-1860.000000	751.250000	-1860.000000	-1	1	1
HG	20211004	FIT	400	48	28	20	1	0	3928.750000	1972.500000	1296.250000	1902.500000	-1	1	1
HG	20211005	FIT	386	11	0	11	-1	0	2535.000000	-285.000000	-930.000000	-285.000000	-1	-1	0
HG	20211006	FIT	457	5	2	3	-1	0	2847.500000	-71.250000	-772.500000	-930.000000	-1	-1	-1
HG	20211007	FIT	261	14	14	0	1	0	2585.000000	1013.750000	1013.750000	-423.750000	-1	1	1
HG	20211008	FIT	385	15	14	1	1	1	3085.000000	2572.500000	171.250000	705.000000	1	-1	-1
HG	20211011	FIT	313	3	3	0	1	0	2878.750000	-466.250000	-155.000000	-311.250000	1	1	1
HG	20211012	FIT	359	56	24	32	-1	0	4485.000000	-3263.750000	-1860.000000	-1078.750000	-1	1	-1
HG	20211013	FIT	529	76	76	0	1	1	4572.500000	1291.250000	1496.250000	-3925.000000	-1	1	0
HG	20211014	FIT	446	15	15	0	1	0	3960.000000	-2663.750000	996.250000	-2663.750000	1	1	1
HG	20211015	FIT	636	47	34	13	1	0	4385.000000	-677.500000	2697.500000	42.500000	1	1	1
HG	20211018	FIT	684	15	0	15	-1	0	3222.500000	-2235.000000	-807.500000	-1427.500000	1	1	1
HG	20211019	FIT	580	43	0	43	-1	0	4047.500000	2291.250000	980.000000	-1257.500000	1	1	1
HG	20211020	FIT	456	29	29	0	1	0	4253.750000	-3425.000000	-1565.000000	-2002.500000	-1	-1	1
HG	20211021	FIT	488	35	0	35	-1	0	5241.250000	-200.000000	3208.750000	-2450.000000	1	-1	-1
HG	20211022	FIT	445	38	0	38	-1	0	3716.250000	-1267.500000	433.750000	-2006.250000	1	1	1
HG	20211025	FIT	293	7	4	3	1	0	2828.750000	-1190.000000	-753.750000	-591.250000	1	1	1
HG	20211026	FIT	274	0	0	0	0	0	2022.500000	415.000000			-1	-1	-1
HG	20211027	FIT	394	6	0	6	-1	0	3053.750000	278.750000	2460.000000	-1340.000000	-1	-1	-1
HG	20211028	FIT	399	9	9	0	1	0	2535.000000	-896.250000	33.750000	-896.250000	-1	1	-1
HG	20211029	FIT	334	5	0	5	-1	0	3228.750000	-3232.500000	165.000000	-2790.000000	-1	-1	1
HG	20211101	FIT	250	0	0	0	0	0	2141.250000	-358.750000			1	-1	1
HG	20211102	FIT	294	10	1	9	-1	0	3485.000000	-158.750000	886.250000	-158.750000	1	-1	1
HG	20211103	FIT	447	21	10	11	-1	1	3197.500000	-1453.750000	691.250000	-1311.250000	1	1	-1
HG	20211104	FIT	355	24	0	24	-1	0	3510.000000	1940.000000	1940.000000	-1027.500000	1	1	1
HG	20211105	FIT	353	13	13	0	1	1	2503.750000	-1827.500000	1428.750000	-2102.500000	-1	1	1
HG	20211108	FIT	271	8	8	0	1	0	2441.250000	-746.250000	0.000000	-746.250000	1	-1	1
HG	20211109	FIT	252	13	0	13	-1	0	3453.750000	-121.250000	402.500000	-1177.500000	-1	1	1
HG	20211110	FIT	326	26	0	26	-1	1	4148.750000	-2402.500000	1377.500000	-1472.500000	-1	1	1
HG	20211111	FIT	279	0	0	0	0	0	2422.500000	-1015.000000			1	1	-1
HG	20211112	FIT	174	8	8	0	1	0	3060.000000	-977.500000	0.000000	-977.500000	-1	-1	-1
HG	20211115	FIT	282	14	0	14	-1	0	3422.500000	1396.250000	1188.750000	-722.500000	-1	-1	1
HG	20211116	FIT	277	15	0	15	-1	0	2397.500000	277.500000	1207.500000	-1740.000000	1	-1	1
HG	20211117	FIT	274	63	0	63	-1	0	5430.000000	3477.500000	3470.000000	-922.500000	-1	-1	-1
HG	20211118	FIT	302	20	20	0	1	0	3160.000000	-627.500000	0.000000	-627.500000	1	1	1
HG	20211119	FIT	285	22	22	0	1	0	3898.750000	3460.000000	3127.500000	-1527.500000	1	1	1
HG	20211122	FIT	312	0	0	0	0	0	2023.750000	302.500000			-1	-1	1
HG	20211123	FIT	325	3	3	0	1	0	2148.750000	177.500000	877.500000	-230.000000	1	1	1
HG	20211124	FIT	249	5	5	0	1	0	2785.000000	777.500000	1107.500000	-330.000000	-1	1	-1
HG	20211125	FIT	194	8	0	8	-1	0	2441.250000	-1202.500000	-67.500000	-1135.000000	-1	1	-1
HG	20211126	FIT	476	30	0	30	-1	0	4578.750000	852.500000	1082.500000	-230.000000	-1	-1	1
HG	20211129	FIT	425	0	0	0	0	0	2128.750000	0.000000			1	1	-1
HG	20211130	FIT	512	9	9	0	1	0	2410.000000	-371.250000	-178.750000	321.250000	-1	-1	1
HG	20211201	FIT	408	52	0	52	-1	0	4297.500000	308.750000	0.000000	308.750000	1	1	-1
HG	20211202	FIT	372	4	4	0	1	0	2222.500000	433.750000	695.000000	-1191.250000	1	1	1
HG	20211203	FIT	312	0	0	0	0	1	2305.000000	1408.750000			1	1	1
HG	20211206	FIT	292	5	5	0	1	0	2360.000000	-1053.750000	-123.750000	-930.000000	-1	1	1
HG	20211207	FIT	233	17	14	3	1	0	3110.000000	-716.250000	-716.250000	0.000000	-1	1	1
HG	20211208	FIT	236	18	18	0	1	0	2286.250000	-647.500000	0.000000	-647.500000	1	-1	-1
HG	20211209	FIT	283	4	0	4	-1	0	1978.750000	-930.000000	0.000000	-930.000000	-1	-1	-1
HG	20211210	FIT	210	10	0	10	-1	1	2048.750000	378.750000	378.750000	-766.250000	-1	1	-1
HG	20211213	FIT	232	0	0	0	0	0	1435.000000	-752.500000			1	1	1
HG	20211214	FIT	239	0	0	0	0	0	1610.000000	208.750000			-1	-1	-1
HG	20211215	FIT	460	75	61	14	1	1	5217.500000	-1860.000000	-1860.000000	-930.000000	1	-1	0
HG	20211216	FIT	353	19	19	0	1	0	2455.000000	-858.750000	71.250000	-735.000000	-1	1	-1
HG	20211217	FIT	287	0	0	0	0	0	1972.500000	-503.750000			1	1	-1
HG	20211220	FIT	371	1	1	0	1	0	2703.750000	971.250000	1458.750000	-1202.500000	-1	-1	1
HG	20211221	FIT	217	0	0	0	0	0	1797.500000	552.500000			1	1	-1
HG	20211222	FIT	224	3	3	0	1	0	1805.000000	1003.750000	1003.750000	-267.500000	-1	1	-1
HG	20211223	FIT	217	5	5	0	1	0	2023.750000	1038.750000	1038.750000	-930.000000	-1	-1	1
HG	20211227	FIT	283	43	43	0	1	0	3328.750000	-471.250000	0.000000	-471.250000	-1	-1	-1
HG	20211228	FIT	260	16	0	16	-1	0	2372.500000	-622.500000	0.000000	-622.500000	-1	-1	-1
HG	20211229	FIT	284	0	0	0	0	0	2366.250000	-1421.250000			-1	-1	1
HG	20211230	FIT	198	10	0	10	-1	0	1798.750000	1151.250000	1151.250000	0.000000	-1	-1	0
HG	20211231	FIT	303	0	0	0	0	0	2091.250000	-85.000000			-1	1	-1
HG	20220103	FIT	548	50	45	5	1	0	3166.250000	373.750000	-171.250000	545.000000	-1	1	1
HG	20220104	FIT	371	33	33	0	1	0	3310.000000	1502.500000	1502.500000	-1647.500000	-1	-1	1
HG	20220105	FIT	354	54	0	54	-1	0	2566.250000	840.000000	1426.250000	-586.250000	-1	-1	1
HG	20220106	FIT	431	1	1	0	1	0	2497.500000	752.500000	-17.500000	770.000000	-1	-1	-1
HG	20220107	FIT	345	13	13	0	1	1	2197.500000	-1010.000000	1232.500000	-1010.000000	1	1	1
HG	20220110	FIT	430	0	0	0	0	0	1622.500000	-253.750000			-1	1	1
HG	20220111	FIT	422	31	31	0	1	0	2253.750000	-1216.250000	0.000000	-1216.250000	1	1	1
HG	20220112	FIT	628	27	24	3	1	1	3778.750000	3278.750000	3278.750000	-1801.250000	1	1	0
HG	20220113	FIT	447	30	0	30	-1	0	2810.000000	-208.750000	1916.250000	-930.000000	-1	-1	1
HG	20220114	FIT	388	16	0	16	-1	0	3466.250000	-2332.500000	1733.750000	-1958.750000	1	1	1
