# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=432a395322b7915a4d95cb3349754cf5b66c84e4587366d2464b253ea51bcfd9
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
arm	asset	era	release_day	n_sessions	n_takes	n_seated	n_forfeited	realised_usd	per_session_usd	dp_ceiling_usd	capture	n_winner_seated	precision	takes_per_session
ORACLE_ONLY_MIRROR	ALL	GATE_2025	ALL	681	168037	4643	163394	-1544302.500000	-2267.698238	3744932.500000	-0.412371	138	0.029722	246.750367
ORACLE_ONLY_MIRROR	ALL	GATE_2025	RELEASE	96	24285	623	23662	-182271.250000	-1898.658854	502590.000000	-0.362664	17	0.027287	252.968750
ORACLE_ONLY_MIRROR	ALL	GATE_2025	NO_RELEASE	585	143752	4020	139732	-1362031.250000	-2328.258547	3242342.500000	-0.420076	121	0.030100	245.729915
ORACLE_ONLY_MIRROR	SI	FIT	ALL	793	185218	4342	180876	-1268522.500000	-1599.650063	3126967.500000	-0.405672	105	0.024182	233.566204
ORACLE_ONLY_MIRROR	SI	FIT	RELEASE	104	29506	584	28922	-184220.000000	-1771.346154	429362.500000	-0.429055	10	0.017123	283.711538
ORACLE_ONLY_MIRROR	SI	FIT	NO_RELEASE	689	155712	3758	151954	-1084302.500000	-1573.733672	2697605.000000	-0.401950	95	0.025279	225.997097
ORACLE_ONLY_MIRROR	SI	GATE_2025	ALL	252	66710	2124	64586	-750657.500000	-2978.799603	1843305.000000	-0.407235	67	0.031544	264.722222
ORACLE_ONLY_MIRROR	SI	GATE_2025	RELEASE	32	8976	244	8732	-71482.500000	-2233.828125	212960.000000	-0.335662	10	0.040984	280.500000
ORACLE_ONLY_MIRROR	SI	GATE_2025	NO_RELEASE	220	57734	1880	55854	-679175.000000	-3087.159091	1630345.000000	-0.416584	57	0.030319	262.427273
ORACLE_ONLY_MIRROR	HG	FIT	ALL	679	149920	3252	146668	-942728.750000	-1388.407585	2159431.250000	-0.436563	60	0.018450	220.795287
ORACLE_ONLY_MIRROR	HG	FIT	RELEASE	92	22738	442	22296	-131322.500000	-1427.418478	300786.250000	-0.436597	6	0.013575	247.152174
ORACLE_ONLY_MIRROR	HG	FIT	NO_RELEASE	587	127182	2810	124372	-811406.250000	-1382.293441	1858645.000000	-0.436558	54	0.019217	216.664395
ORACLE_ONLY_MIRROR	HG	GATE_2025	ALL	204	49053	1110	47943	-281375.000000	-1379.289216	829940.000000	-0.339031	29	0.026126	240.455882
ORACLE_ONLY_MIRROR	HG	GATE_2025	RELEASE	31	6975	158	6817	-20358.750000	-656.733871	132412.500000	-0.153752	4	0.025316	225.000000
ORACLE_ONLY_MIRROR	HG	GATE_2025	NO_RELEASE	173	42078	952	41126	-261016.250000	-1508.764451	697527.500000	-0.374202	25	0.026261	243.225434
ORACLE_ONLY_MIRROR	NKD	FIT	ALL	749	163336	3876	159460	-1290280.000000	-1722.670227	2684370.000000	-0.480664	88	0.022704	218.072096
ORACLE_ONLY_MIRROR	NKD	FIT	RELEASE	96	22833	508	22325	-179227.500000	-1866.953125	358602.500000	-0.499794	13	0.025591	237.843750
