relative_path	physical_line	start_byte	end_byte_exclusive	bytes	sha256	disposition	error
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34584	354085222	354086913	1691	9934846b0f5def24d50ce40f98024fe4d2a5d29b62f16c3183b4a42cb20b7c7d	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 1681 (char 1680)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34585	354086913	354091009	4096	7be589560b93180db4ce795fa6978332799b2f1e2e23d64c94ae4485efc44572	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4065 (char 4064)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34586	354091009	354095105	4096	7be589560b93180db4ce795fa6978332799b2f1e2e23d64c94ae4485efc44572	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4065 (char 4064)
2026/08/08/rollout-2026-08-08T15-12-49-019fe1ef-1314-72d3-ad60-8748f1ecb161.jsonl	34587	354095105	354099201	4096	2c1cf482d7bd519f014fe617e9c2638361fbb7ed4711f55203f80d69c5cd546b	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4065 (char 4064)
2026/08/09/rollout-2026-08-09T15-21-33-019fe71d-6c0e-7ae3-bdb1-618aea4a1dfa.jsonl	1185	9326589	9326593	4	4d3afd1d5e9bbeda1ac795ec365f11940199f432ebfc9eff168a9b1c0207ade1	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4 (char 3)
2026/08/09/rollout-2026-08-09T15-21-33-019fe71d-6c0e-7ae3-bdb1-618aea4a1dfa.jsonl	1543	10014591	10014721	130	14570ac01a5923611b41213a0edbe66171a7b8e62a280cb8181d479cb6392407	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 130 (char 129)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	1298	4541695	4542465	770	0a7d7d3be60f8b95b9c0528d927dd0b58639b4a990ff4e9047670fcddc873c7f	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 770 (char 769)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	1362	4646672	4648961	2289	b85a8c75d8ca6d603e56347abb47c672342891ef75424ecc706d3c8568f2c8b9	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 2289 (char 2288)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	1483	4860694	4861953	1259	ff872374136704205c69d330aee95943a7a8764db6d6bb3eb4866479db0bd1d0	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 1259 (char 1258)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	1951	7361848	7364609	2761	13f7ad792a5bb8d521390841d22b3010c36d282514b4fe08b367f6bd55cd6a69	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 2761 (char 2760)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	2080	7624691	7626753	2062	a80acb9947e8992426d074b22c3acb6eb6233ca9b7fee29a5891d48a9c93246c	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 2062 (char 2061)
2026/08/09/rollout-2026-08-09T16-06-11-019fe746-48e9-7391-907e-1783c8a4eaba.jsonl	2081	7626753	7630849	4096	5f75ffe54e26d6a63438a827a8a86a694cc279bffc83e179c89c803bc03e5845	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 4096 (char 4095)
2026/08/09/rollout-2026-08-09T16-06-32-019fe746-9d3c-73e3-96b8-15d659ef88bc.jsonl	1241	7035534	7036929	1395	f41a4c8d11bd1326ebaa0f4d8a904dc735716022aeef15fe3d7e364aa328581c	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Invalid control character at: line 1 column 1395 (char 1394)
2026/08/09/rollout-2026-08-09T16-06-32-019fe746-9d3c-73e3-96b8-15d659ef88bc.jsonl	1253	7057088	7057408	320	378bdd4e3961ecd6bf60309c340169993e51ad63fd270b76ed206e6eb99ba255	RAW_PRESERVED_FRAGMENT_SKIPPED_READABLE	JSONDecodeError:Unterminated string starting at: line 1 column 316 (char 315)
