# PORT_M2_SHEETS_SPEC.md §CC-M2-6 (E1 BLIND SCORING PASS — teacher-gate inputs) (spec_sha16=32196fba2065d7f9)
# params_hash=ddeb8601c5658bb136e642da38b8df24c70f821f0c528dfac2a08bf6c31ac335
# CC-M2-21.4: the GREEDY chronological one-position replay is the pooled law; the DP seat-split (n_dp_seats/dp_seat_value_usd) is its mandatory companion diagnostic; PHASE-CLOSE seating (CC-M2-10.3)
# lift_close is EMPTY wherever mean_skip_close <= 0: panel_score refuses a ratio against a non-positive denominator, so ratio_close_raw and take_minus_skip_close_usd carry the arithmetic instead
reading	arm	is_mechanical_baseline	n_calls	n_takes	mean_take_close_usd	mean_skip_close_usd	lift_close	ratio_close_raw	take_minus_skip_close_usd	mean_take_peak_usd	mean_skip_peak_usd	lift_peak	n_winner_takes	winner_precision_close	winners_missed_in_skips	replay_realised_usd	dp_ceiling_usd	replay_capture	capture_vs_full_universe_ceiling	n_seated	n_forfeited	n_dp_seats	dp_seat_value_usd	replay_realised_peak_usd
DEPLOYABLE-STRICT	READER	0	11583	67	-97.537313	-83.858219		1.163122	-13.679094	720.466418	784.223146	0.918701	1	0.014925	391	2153.750000	97152.500000	0.022169	0.021625	33	34	20	13418.750000	27995.000000
DEPLOYABLE-STRICT	DECLARED	0	11583	79	-11.645570	-84.433784		0.137925	72.788214	767.389241	783.967424	0.978853	7	0.088608	385	3521.250000	97152.500000	0.036245	0.035355	37	42	22	15458.750000	31225.000000
DEPLOYABLE-STRICT	BASE_EARLIEST_CV0	1	11583	5734	-68.583450	-98.989357		0.692837	30.405908	795.566795	772.372200	1.030030	154	0.026857	238	-17061.250000	97152.500000	-0.175613	-0.171304	156	5578	107	95933.750000	155332.500000
DEPLOYABLE-STRICT	BASE_EARLIEST_CV500	1	11583	5689	-69.601644	-97.774432		0.711859	28.172788	795.187863	772.915041	1.028817	151	0.026542	241	-11720.000000	97152.500000	-0.120635	-0.117675	154	5535	107	95696.250000	155447.500000
DEPLOYABLE-STRICT	BASE_EARLIEST_CV516	1	11583	108	-8.530093	-84.647059		0.100772	76.116966	820.000000	783.514161	1.046567	6	0.055556	386	2546.250000	97152.500000	0.026209	0.025566	72	36	43	26685.000000	52633.750000
DEPLOYABLE-STRICT	BASE_EARLIEST_CV639	1	11583	101	-8.403465	-84.601768		0.099330	76.198303	818.391089	783.550557	1.044465	6	0.059406	386	1618.750000	97152.500000	0.016662	0.016253	70	31	42	25777.500000	51313.750000
DEPLOYABLE-STRICT	BASE_EARLIEST_CV650	1	11583	0		-83.937344					783.854356		0		392	0	97152.500000	0.000000	0.000000	0	0	0	0.000000	0
DEPLOYABLE-STRICT	E1D1	1	11583	6	-122.708333	-83.917250		1.462254	-38.791084	684.583333	783.905805	0.873298	0	0.000000	392	-881.250000	97152.500000	-0.009071	-0.008848	5	1	3	1028.750000	3175.000000
DEPLOYABLE-STRICT	E1D2	1	11583	49	-160.357143	-83.612689		1.917857	-76.744454	700.612245	784.207994	0.893401	1	0.020408	391	-4778.750000	97152.500000	-0.049188	-0.047981	27	22	14	11086.250000	27372.500000
DEPLOYABLE-STRICT	E1D3	1	11583	21	-142.797619	-83.830436		1.703410	-58.967183	632.202381	784.129800	0.806247	0	0.000000	392	-2523.750000	97152.500000	-0.025977	-0.025340	11	10	5	3306.250000	8536.250000
DEPLOYABLE-STRICT	E1D4	1	11583	301	-151.656977	-82.130606		1.846534	-69.526370	654.177741	787.314084	0.830898	18	0.059801	374	-3762.500000	97152.500000	-0.038728	-0.037778	45	256	23	18560.000000	38532.500000
DEPLOYABLE-STRICT	E1D5	1	11583	706	-111.612960	-82.140986		1.358797	-29.471975	695.646246	789.579732	0.881034	24	0.033994	368	-6890.000000	97152.500000	-0.070919	-0.069179	48	658	24	19473.750000	31058.750000
DEPLOYABLE-STRICT	E1D6	1	11583	952	62.358193	-97.038026		-0.642616	159.396219	977.838761	766.483162	1.275747	90	0.094538	302	4755.000000	97152.500000	0.048944	0.047743	99	853	58	44535.000000	70741.250000
DEPLOYABLE-STRICT	E1D7	1	11583	760	-275.822368	-70.463019		3.914427	-205.359350	530.748355	801.627668	0.662088	8	0.010526	384	-12735.000000	97152.500000	-0.131083	-0.127866	57	703	25	18168.750000	34443.750000
DEPLOYABLE-STRICT	E1D8	1	11583	230	-57.744565	-84.467982		0.683627	26.723417	872.554348	782.057386	1.115717	34	0.147826	358	6823.750000	97152.500000	0.070238	0.068514	24	206	13	15416.250000	25547.500000
