# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
# ANCHORED oracle on the SANE mid series; the gate is >=99% @$1,000 on the catchable legs
asset	dropped_exclusive_family	era	n_legs	n_gate_legs	n_news_untradeable	recall_gate_900	recall_gate_1000	recall_gate_1100	recall_gate_1000_screened	recall_all_900	recall_all_1000	recall_all_1100	recall_all_1000_screened	recall_news_1000	n_news_captured_1000	gate_ge_99
SI	POST_SHOCK	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	POST_SHOCK	ALL	1973	1970	3	0.997970	0.997970	0.995939	0.997970	0.996959	0.996959	0.994932	0.996452	0.333333	1	
SI	FIRST_TEST	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.994550	0.997275	0.996599	0.996599	0.993878	0.995918	0.500000	1	
SI	FIRST_TEST	GATE_2025	503	502	1	1.000000	1.000000	1.000000	1.000000	0.998012	0.998012	0.998012	0.998012	0.000000	0	
SI	FIRST_TEST	ALL	1973	1970	3	0.997970	0.997970	0.995939	0.997970	0.996959	0.996959	0.994932	0.996452	0.333333	1	
HG	NONE	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	PASS
HG	NONE	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	PASS
HG	NONE	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	PASS
HG	G1	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	G1	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	G1	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	G1_FINE	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	G1_FINE	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	G1_FINE	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	G1_FAST_OPEN	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.996914	0.995885	0.995885	0.994856	0.000000	0	
HG	G1_FAST_OPEN	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	G1_FAST_OPEN	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.994745	0.993994	0.993994	0.991742	0.125000	1	
HG	G2_REJECT	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	G2_REJECT	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	G2_REJECT	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	G2_RECLAIM	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	G2_RECLAIM	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	G2_RECLAIM	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	NEWS_WINDOW	FIT_2021_2024	972	969	3	0.998968	0.997936	0.997936	0.997936	0.997942	0.996914	0.996914	0.995885	0.666667	2	
HG	NEWS_WINDOW	GATE_2025	360	355	5	0.994366	0.994366	0.994366	0.994366	0.983333	0.983333	0.983333	0.980556	0.200000	1	
HG	NEWS_WINDOW	ALL	1332	1324	8	0.997734	0.996979	0.996979	0.996979	0.993994	0.993243	0.993243	0.991742	0.375000	3	
HG	MICRO_OPEN	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	MICRO_OPEN	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	MICRO_OPEN	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	POST_SHOCK	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	POST_SHOCK	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	POST_SHOCK	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
HG	FIRST_TEST	FIT_2021_2024	972	969	3	1.000000	0.998968	0.998968	0.997936	0.998971	0.997942	0.997942	0.995885	0.666667	2	
HG	FIRST_TEST	GATE_2025	360	355	5	1.000000	1.000000	1.000000	0.997183	0.988889	0.988889	0.988889	0.983333	0.200000	1	
HG	FIRST_TEST	ALL	1332	1324	8	1.000000	0.999245	0.999245	0.997734	0.996246	0.995495	0.995495	0.992492	0.375000	3	
NKD	NONE	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	PASS
NKD	NONE	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	PASS
NKD	NONE	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.994825	0.997705	0.996558	0.995984	0.993689	0.750000	3	PASS
NKD	G1	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.995283	0.996863	0.996078	0.995294	0.993725	0.666667	2	
NKD	G1	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.987152	1.000000	0.997863	0.997863	0.985043	1.000000	1	
NKD	G1	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.993099	0.997705	0.996558	0.995984	0.991394	0.750000	3	
NKD	G1_FINE	FIT_2021_2024	1275	1272	3	0.997642	0.996069	0.995283	0.994497	0.996863	0.995294	0.994510	0.992941	0.666667	2	
NKD	G1_FINE	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.987152	1.000000	0.997863	0.997863	0.987179	1.000000	1	
NKD	G1_FINE	ALL	1743	1739	4	0.998275	0.996550	0.995975	0.992524	0.997705	0.995984	0.995410	0.991394	0.750000	3	
NKD	G1_FAST_OPEN	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.994497	0.996069	0.996863	0.996078	0.993725	0.994510	0.666667	2	
NKD	G1_FAST_OPEN	GATE_2025	468	467	1	1.000000	0.997859	0.995717	0.991435	1.000000	0.997863	0.995726	0.991453	1.000000	1	
NKD	G1_FAST_OPEN	ALL	1743	1739	4	0.998275	0.997125	0.994825	0.994825	0.997705	0.996558	0.994263	0.993689	0.750000	3	
NKD	G2_REJECT	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	
NKD	G2_REJECT	GATE_2025	468	467	1	0.997859	0.997859	0.997859	0.991435	0.997863	0.997863	0.997863	0.991453	1.000000	1	
NKD	G2_REJECT	ALL	1743	1739	4	0.997700	0.997125	0.996550	0.994825	0.997131	0.996558	0.995984	0.993689	0.750000	3	
NKD	G2_RECLAIM	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	
NKD	G2_RECLAIM	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	
NKD	G2_RECLAIM	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.994825	0.997705	0.996558	0.995984	0.993689	0.750000	3	
NKD	NEWS_WINDOW	FIT_2021_2024	1275	1272	3	0.996855	0.996855	0.996069	0.996069	0.996078	0.996078	0.995294	0.994510	0.666667	2	
NKD	NEWS_WINDOW	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	
NKD	NEWS_WINDOW	ALL	1743	1739	4	0.997700	0.997125	0.996550	0.994825	0.997131	0.996558	0.995984	0.993689	0.750000	3	
NKD	MICRO_OPEN	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	
NKD	MICRO_OPEN	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	
NKD	MICRO_OPEN	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.994825	0.997705	0.996558	0.995984	0.993689	0.750000	3	
NKD	POST_SHOCK	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	
NKD	POST_SHOCK	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	
NKD	POST_SHOCK	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.994825	0.997705	0.996558	0.995984	0.993689	0.750000	3	
NKD	FIRST_TEST	FIT_2021_2024	1275	1272	3	0.997642	0.996855	0.996069	0.996069	0.996863	0.996078	0.995294	0.994510	0.666667	2	
NKD	FIRST_TEST	GATE_2025	468	467	1	1.000000	0.997859	0.997859	0.991435	1.000000	0.997863	0.997863	0.991453	1.000000	1	
NKD	FIRST_TEST	ALL	1743	1739	4	0.998275	0.997125	0.996550	0.994825	0.997705	0.996558	0.995984	0.993689	0.750000	3	
