# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	HG	20211221	666.250000	1797.500000	0.000000	3
E1	HG	20211222	-365.000000	1805.000000	0.000000	3
E1	HG	20211223	-890.000000	2023.750000	1662.500000	3
E1	HG	20211227	-1115.000000	3328.750000	3643.750000	3
E1	HG	20211228	-208.750000	2372.500000	1756.250000	3
E1	HG	20211229	-515.000000	2366.250000	0.000000	3
E1	HG	20211230	-65.000000	1798.750000	0.000000	3
E1	HG	20211231	485.000000	2091.250000	1556.250000	3
E1	NKD	20210701	322.500000	2385.000000	0.000000	3
E1	NKD	20210702	-190.000000	735.000000	0.000000	3
E1	NKD	20210705	-402.500000	1210.000000	0.000000	3
E1	NKD	20210706	272.500000	2010.000000	1737.500000	3
E1	NKD	20210707	85.000000	1922.500000	0.000000	3
E1	NKD	20210708	-1490.000000	4410.000000	3112.500000	3
E1	NKD	20210709	685.000000	5560.000000	4275.000000	3
E1	NKD	20210712	-52.500000	1897.500000	1525.000000	3
E1	NKD	20210713	710.000000	1597.500000	0.000000	3
E1	NKD	20210714	122.500000	1122.500000	0.000000	3
E1	NKD	20210715	-990.000000	2785.000000	1525.000000	3
E1	NKD	20210716	-752.500000	3197.500000	3187.500000	3
E1	NKD	20210719	-115.000000	2310.000000	3037.500000	3
E1	NKD	20210720	-127.500000	3147.500000	2375.000000	3
E1	NKD	20210721	685.000000	3397.500000	4087.500000	3
E1	NKD	20210722	-340.000000	1710.000000	0.000000	3
E1	NKD	20210723	197.500000	1135.000000	0.000000	3
E1	NKD	20210726	360.000000	2760.000000	3587.500000	3
E1	NKD	20210727	685.000000	2647.500000	4462.500000	3
E1	NKD	20210728	985.000000	2222.500000	1887.500000	3
E1	NKD	20210729	-352.500000	1835.000000	1512.500000	3
E1	NKD	20210730	310.000000	2985.000000	3675.000000	3
E1	NKD	20210802	372.500000	2647.500000	1962.500000	3
E1	NKD	20210803	722.500000	1710.000000	0.000000	3
E1	NKD	20210804	-302.500000	797.500000	0.000000	3
E1	NKD	20210805	47.500000	1410.000000	0.000000	3
E1	NKD	20210806	597.500000	1047.500000	0.000000	3
E1	NKD	20210809	385.000000	1335.000000	0.000000	3
E1	NKD	20210810	35.000000	1722.500000	1650.000000	3
E1	NKD	20210811	-277.500000	1372.500000	0.000000	3
E1	NKD	20210812	622.500000	2060.000000	0.000000	3
E1	NKD	20210813	-1165.000000	1610.000000	0.000000	3
E1	NKD	20210816	1510.000000	3322.500000	1975.000000	3
E1	NKD	20210817	-477.500000	2572.500000	2550.000000	3
E1	NKD	20210818	-702.500000	2447.500000	1662.500000	3
E1	NKD	20210819	-290.000000	3285.000000	2187.500000	3
E1	NKD	20210820	-27.500000	3247.500000	1850.000000	3
E1	NKD	20210823	-227.500000	2197.500000	0.000000	3
E1	NKD	20210824	897.500000	1010.000000	0.000000	3
E1	NKD	20210825	-277.500000	935.000000	0.000000	3
E1	NKD	20210826	97.500000	1235.000000	0.000000	3
E1	NKD	20210827	122.500000	1872.500000	1537.500000	3
E1	NKD	20210830	335.000000	1060.000000	0.000000	3
E1	NKD	20210831	-902.500000	3460.000000	2475.000000	3
E1	NKD	20210901	172.500000	2597.500000	1850.000000	3
E1	NKD	20210902	-2.500000	1210.000000	0.000000	3
E1	NKD	20210903	922.500000	5822.500000	4612.500000	3
E1	NKD	20210906	110.000000	3410.000000	3537.500000	3
E1	NKD	20210907	197.500000	2622.500000	3275.000000	3
E1	NKD	20210908	-302.500000	3997.500000	3912.500000	3
E1	NKD	20210909	47.500000	2085.000000	1987.500000	3
E1	NKD	20210910	-277.500000	3872.500000	3475.000000	3
E1	NKD	20210913	635.000000	3060.000000	4012.500000	3
E1	NKD	20210914	872.500000	2247.500000	0.000000	3
E1	NKD	20210915	-690.000000	2410.000000	0.000000	3
E1	NKD	20210916	372.500000	2060.000000	1650.000000	3
E1	NKD	20210917	-740.000000	2697.500000	0.000000	3
E1	NKD	20210920	772.500000	3860.000000	4075.000000	3
E1	NKD	20210921	-590.000000	3435.000000	1950.000000	3
E1	NKD	20210922	285.000000	1672.500000	0.000000	3
E1	NKD	20210923	960.000000	2497.500000	0.000000	3
E1	NKD	20210924	-115.000000	2385.000000	0.000000	3
E1	NKD	20210927	347.500000	1285.000000	0.000000	3
E1	NKD	20210928	685.000000	2547.500000	3600.000000	3
E1	NKD	20210929	1397.500000	2485.000000	1600.000000	3
E1	NKD	20210930	2172.500000	3672.500000	4800.000000	3
E1	NKD	20211001	-1402.500000	5085.000000	5025.000000	3
E1	NKD	20211004	-2127.500000	8072.500000	6650.000000	3
E1	NKD	20211005	-1827.500000	3497.500000	2187.500000	3
E1	NKD	20211006	-1752.500000	8297.500000	6400.000000	3
E1	NKD	20211007	1685.000000	2535.000000	4700.000000	3
E1	NKD	20211008	147.500000	1560.000000	1625.000000	3
E1	NKD	20211011	-977.500000	4372.500000	3475.000000	3
E1	NKD	20211012	-465.000000	4272.500000	2012.500000	3
E1	NKD	20211013	1260.000000	2197.500000	1912.500000	3
E1	NKD	20211014	-515.000000	2785.000000	3800.000000	3
E1	NKD	20211015	310.000000	2197.500000	2600.000000	3
E1	NKD	20211018	-302.500000	2647.500000	1662.500000	3
E1	NKD	20211019	-65.000000	1747.500000	1700.000000	3
E1	NKD	20211020	710.000000	1685.000000	0.000000	3
E1	NKD	20211021	-627.500000	4247.500000	2500.000000	3
E1	NKD	20211022	297.500000	3272.500000	2850.000000	3
E1	NKD	20211025	247.500000	2085.000000	1750.000000	3
E1	NKD	20211026	10.000000	3010.000000	2325.000000	3
E1	NKD	20211027	622.500000	2472.500000	1987.500000	3
E1	NKD	20211028	47.500000	1397.500000	0.000000	3
E1	NKD	20211029	135.000000	3385.000000	4637.500000	3
E1	NKD	20211101	997.500000	2347.500000	1500.000000	3
E1	NKD	20211102	-40.000000	635.000000	0.000000	3
E1	NKD	20211103	-302.500000	1690.000000	1837.500000	3
E1	NKD	20211104	960.000000	1397.500000	0.000000	3
E1	NKD	20211105	97.500000	2160.000000	1637.500000	3
E1	NKD	20211108	385.000000	1997.500000	1975.000000	3
E1	NKD	20211109	-1965.000000	3022.500000	2850.000000	3
E1	NKD	20211110	-252.500000	2585.000000	1900.000000	3
E1	NKD	20211111	-215.000000	2035.000000	2000.000000	3
E1	NKD	20211112	-240.000000	1885.000000	0.000000	3
E1	NKD	20211115	-202.500000	860.000000	0.000000	3
E1	NKD	20211116	-1015.000000	1160.000000	0.000000	3
E1	NKD	20211117	560.000000	1722.500000	1512.500000	3
E1	NKD	20211118	522.500000	1610.000000	1687.500000	3
E1	NKD	20211119	-65.000000	2235.000000	0.000000	3
E1	NKD	20211122	-165.000000	2310.000000	0.000000	3
E1	NKD	20211123	747.500000	1685.000000	0.000000	3
E1	NKD	20211124	-315.000000	3260.000000	2175.000000	3
E1	NKD	20211125	-302.500000	685.000000	0.000000	3
E1	NKD	20211126	147.500000	7322.500000	3812.500000	3
E1	NKD	20211129	-240.000000	4060.000000	3500.000000	3
E1	NKD	20211130	-1365.000000	7985.000000	6112.500000	3
E1	NKD	20211201	2735.000000	6397.500000	5300.000000	3
E1	NKD	20211202	360.000000	4147.500000	3637.500000	3
E1	NKD	20211203	1885.000000	4985.000000	5950.000000	3
E1	NKD	20211206	-15.000000	3022.500000	3925.000000	3
E1	NKD	20211207	-615.000000	4435.000000	3950.000000	3
E1	NKD	20211208	-640.000000	2310.000000	0.000000	3
E1	NKD	20211209	-227.500000	1435.000000	1725.000000	3
E1	NKD	20211210	-190.000000	2022.500000	0.000000	3
E1	NKD	20211213	460.000000	1397.500000	0.000000	3
E1	NKD	20211214	835.000000	2385.000000	3650.000000	3
E1	NKD	20211215	-1190.000000	3397.500000	1975.000000	3
E1	NKD	20211216	-1340.000000	3347.500000	2350.000000	3
E1	NKD	20211217	147.500000	2972.500000	2012.500000	3
E1	NKD	20211220	-477.500000	4897.500000	4150.000000	3
E1	NKD	20211221	-2.500000	2460.000000	1875.000000	3
E1	NKD	20211222	385.000000	1860.000000	0.000000	3
E1	NKD	20211223	-140.000000	1185.000000	1512.500000	3
E1	NKD	20211227	10.000000	2085.000000	1912.500000	3
E1	NKD	20211228	60.000000	1160.000000	0.000000	3
E1	NKD	20211229	635.000000	1497.500000	1887.500000	3
E1	NKD	20211230	-340.000000	1972.500000	1662.500000	3
E1	NKD	20211231	410.000000	847.500000	0.000000	3
E1	SI	20210701	747.500000	2472.500000	2375.000000	3
