# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	LEG_0.5|SWING|PHASE	5870	0.0545	-40.9	-80	44.66	50	50	-0.9423	-2.1	-1.6	52.41	75	0.0273	0.0135	15.286
E2	ALL	LEG_0.5|SWING|TRAIL_1.0R	5870	0.1978	-32.98	-55	44.66	50	50	-0.7335	-1.2125	1.3	29.71	62.5	0.0017	0.0002	15.286
E2	ALL	LEG_0.5|SWING|TRAIL_1.5R	5870	0.2077	-33.6	-55	44.66	50	50	-0.7323	-1.6	1.65	35.55	62.5	0.0022	0.0002	15.286
E2	ALL	LEG_0.75|EXT|PHASE	2326	0.4398	-117.3	-80	1851.08	1812.5	2187.5	-0.0583	-0.0448	0.528	639.52	1600	0.1728	0.089	6.057
E2	ALL	LEG_0.75|EXT|TRAIL_1.0R	2326	0.4299	-105.24	-92.5	1851.08	1812.5	2187.5	-0.0523	-0.0493	0.517	593.24	1375	0.1685	0.0856	6.057
E2	ALL	LEG_0.75|EXT|TRAIL_1.5R	2326	0.4407	-114.16	-80	1851.08	1812.5	2187.5	-0.0567	-0.0437	0.528	633.43	1575	0.1724	0.089	6.057
E2	ALL	LEG_0.75|RECLAIM|PHASE	2325	0.44	-103.29	-80	1659	1625	1975	-0.0598	-0.0494	0.591	616.02	1500	0.1729	0.089	6.055
E2	ALL	LEG_0.75|RECLAIM|TRAIL_1.0R	2325	0.4267	-99.93	-92.5	1659	1625	1975	-0.0573	-0.0587	0.566	561.28	1303.75	0.1634	0.0826	6.055
E2	ALL	LEG_0.75|RECLAIM|TRAIL_1.5R	2325	0.4417	-97.93	-73.75	1659	1625	1975	-0.0557	-0.0485	0.591	608.28	1485	0.1725	0.089	6.055
E2	ALL	LEG_0.75|SWING|PHASE	2326	0.0516	-37.88	-80	45.74	50	50	-0.9039	-2.1	-1.6	53.81	75	0.0275	0.0133	6.057
E2	ALL	LEG_0.75|SWING|TRAIL_1.0R	2326	0.215	-30.39	-55	45.74	50	50	-0.7034	-1.35	1.4	31.42	62.5	0.003	0	6.057
E2	ALL	LEG_0.75|SWING|TRAIL_1.5R	2326	0.2334	-30.14	-55	45.74	50	50	-0.6954	-1.6	1.65	36.78	62.5	0.0034	0	6.057
E2	ALL	LEG_1|EXT|PHASE	963	0.4226	-201.75	-142.5	2444.31	2387.5	2887.5	-0.0768	-0.0535	0.348	733.1	1850	0.162	0.0872	2.508
E2	ALL	LEG_1|EXT|TRAIL_1.0R	963	0.4226	-177.29	-142.5	2444.31	2387.5	2887.5	-0.0672	-0.0535	0.348	697	1685	0.162	0.0872	2.508
E2	ALL	LEG_1|EXT|TRAIL_1.5R	963	0.4174	-213.24	-142.5	2444.31	2387.5	2887.5	-0.0807	-0.0556	0.348	731.31	1845	0.1578	0.0872	2.508
E2	ALL	LEG_1|RECLAIM|PHASE	962	0.4231	-175.75	-130	2244.26	2209.38	2686.25	-0.0802	-0.0584	0.375	704.16	1796.87	0.1622	0.0873	2.505
E2	ALL	LEG_1|RECLAIM|TRAIL_1.0R	962	0.4241	-149.33	-130	2244.26	2209.38	2686.25	-0.0655	-0.0565	0.386	665.58	1611.25	0.1622	0.0915	2.505
E2	ALL	LEG_1|RECLAIM|TRAIL_1.5R	962	0.4179	-184.38	-142.5	2244.26	2209.38	2686.25	-0.0808	-0.0599	0.375	701.14	1725	0.158	0.0873	2.505
E2	ALL	LEG_1|SWING|PHASE	963	0.0426	-43.32	-80	44.16	50	50	-1.0027	-2.1	-1.6	56.33	75	0.0135	0.0135	2.508
E2	ALL	LEG_1|SWING|TRAIL_1.0R	963	0.1682	-35.58	-55	44.16	50	50	-0.8018	-1.35	0.9	32.74	62.5	0.001	0	2.508
E2	ALL	LEG_1|SWING|TRAIL_1.5R	963	0.1724	-36.95	-55	44.16	50	50	-0.8197	-1.6	1.4	38.23	75	0.0042	0	2.508
E2	ALL	DELAY_0|EXT|PHASE	158089	0.2317	-31.08	-192.5	232.08	212.5	387.5	-0.1675	-1.1412	2.38	197.94	350	0.0963	0.0539	411.69
E2	ALL	DELAY_0|EXT|TRAIL_1.0R	158089	0.3145	-34.09	-86.25	232.08	212.5	387.5	-0.189	-0.4929	1.2	120.63	250	0.0299	0.0084	411.69
E2	ALL	DELAY_0|EXT|TRAIL_1.5R	158089	0.3204	-30.11	-117.5	232.08	212.5	387.5	-0.1713	-0.716	1.713	155.68	312.5	0.0546	0.0206	411.69
