# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# top 25 single fields at each delay
delay_sec	field	layer	n_pairs	pair_acc_kfold	pair_acc_in_sample	ci_lo	ci_hi
0	w600_one_side_pull	PRE	3245	0.512018	0.512018	0.493466	0.530571
0	f60_sflow_with	PRE	3251	0.511996	0.511996	0.491373	0.53262
0	pull_ratio_up	PRE	3246	0.511399	0.511399	0.490207	0.53259
0	w600_n_ev	PRE	3251	0.511381	0.511381	0.497208	0.525554
0	f30m_vol	PRE	3251	0.51092	0.51092	0.493161	0.528678
30	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
30	pp_tmfe_frac_D30	POST	3251	0.541064	0.541064	0.521202	0.560926
30	pp_mfe_D30	POST	3251	0.534297	0.534297	0.516911	0.551683
30	pp_eff_D30	POST	3251	0.534143	0.534143	0.512931	0.555356
30	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
30	pp_net_D30	POST	3251	0.53076	0.53076	0.508915	0.552605
30	pp_slope30_D30	POST	3251	0.53076	0.53076	0.508915	0.552605
30	pp_upfrac_D30	POST	3251	0.530298	0.530298	0.511833	0.548763
30	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
30	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
30	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
30	pp_rv_D30	POST	3251	0.526607	0.526607	0.508547	0.544668
30	pp_mae_D30	POST	3251	0.525377	0.525377	0.505757	0.544996
30	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
30	pp_giveback_D30	POST	3251	0.524146	0.524146	0.503526	0.544767
30	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
30	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
30	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
30	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
30	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
30	post30_med_gap_ms	POST	3237	0.521625	0.521625	0.498764	0.544486
30	post30_add_walk_dn	POST	3251	0.520609	0.520609	0.501469	0.539749
30	post30_ask_reload	POST	3251	0.520148	0.520148	0.501361	0.538934
30	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
30	post30_one_side_pull	POST	3100	0.519194	0.519194	0.499922	0.538465
60	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
60	pp_net_D60	POST	3251	0.561827	0.561827	0.541415	0.582239
60	pp_eff_D60	POST	3251	0.560289	0.560289	0.539053	0.581525
60	pp_giveback_D60	POST	3251	0.552753	0.552753	0.531368	0.574138
60	pp_tmfe_frac_D60	POST	3251	0.552753	0.552753	0.533207	0.572299
60	pp_slope30_D60	POST	3251	0.546601	0.546601	0.52753	0.565672
60	pp_mfe_D60	POST	3251	0.546447	0.546447	0.525682	0.567213
60	pp_mae_D60	POST	3251	0.543217	0.543217	0.524589	0.561846
60	pp_tmae_frac_D60	POST	3251	0.542602	0.542602	0.52348	0.561725
60	pp_upfrac_D60	POST	3251	0.541987	0.541987	0.521158	0.562816
60	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
60	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
60	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
60	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
60	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
60	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
60	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
60	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
60	post60_med_gap_ms	POST	3245	0.521726	0.521726	0.5025	0.540951
60	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
60	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
60	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
60	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
60	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
60	post60_trade_frac	POST	3251	0.514611	0.514611	0.498507	0.530715
120	pp_mae_D120	POST	3251	0.574439	0.574439	0.553967	0.59491
120	pp_net_D120	POST	3251	0.573823	0.573823	0.553815	0.593832
120	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
120	pp_giveback_D120	POST	3251	0.568287	0.568287	0.550123	0.58645
120	pp_eff_D120	POST	3251	0.567518	0.567518	0.547977	0.587059
120	pp_tmae_frac_D120	POST	3251	0.563058	0.563058	0.542262	0.583853
120	pp_tmfe_frac_D120	POST	3251	0.561827	0.561827	0.541286	0.582368
120	pp_mfe_D120	POST	3251	0.559213	0.559213	0.539067	0.579358
120	pp_upfrac_D120	POST	3251	0.554445	0.554445	0.53264	0.57625
120	pp_slope30_D120	POST	3251	0.541526	0.541526	0.521849	0.561202
120	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
120	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
120	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
120	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
120	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
120	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
120	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
120	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
120	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
120	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
120	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
120	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
120	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
120	med_gap_ms	PRE	3250	0.514308	0.514308	0.498356	0.530259
120	pp_imb_mean_D120	POST	3251	0.514303	0.514303	0.491179	0.537428
180	pp_net_D180	POST	3251	0.593663	0.593663	0.572929	0.614398
180	pp_eff_D180	POST	3251	0.592433	0.592433	0.570862	0.614004
180	pp_giveback_D180	POST	3251	0.586127	0.586127	0.566662	0.605593
180	pp_tmfe_frac_D180	POST	3251	0.581513	0.581513	0.559463	0.603564
180	pp_tmae_frac_D180	POST	3251	0.579822	0.579822	0.563945	0.595698
180	pp_mae_D180	POST	3251	0.57936	0.57936	0.559306	0.599414
180	pp_mfe_D180	POST	3251	0.573362	0.573362	0.552433	0.594292
180	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
180	pp_upfrac_D180	POST	3251	0.567364	0.567364	0.546332	0.588395
180	pp_slope30_D180	POST	3251	0.551215	0.551215	0.533283	0.569147
180	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
180	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
180	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
180	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
180	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
180	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
180	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
180	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
180	pp_imb_mean_D180	POST	3251	0.523224	0.523224	0.498079	0.548368
180	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
180	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
180	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
180	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
180	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
180	med_gap_ms	PRE	3250	0.514308	0.514308	0.498356	0.530259
300	pp_net_D300	POST	3251	0.625192	0.625192	0.60551	0.644875
300	pp_eff_D300	POST	3251	0.623039	0.623039	0.603378	0.6427
300	pp_tmae_frac_D300	POST	3251	0.621501	0.621501	0.606138	0.636864
300	pp_giveback_D300	POST	3251	0.619348	0.619348	0.600158	0.638537
300	pp_mae_D300	POST	3251	0.604429	0.604429	0.585493	0.623365
300	pp_tmfe_frac_D300	POST	3251	0.604122	0.604122	0.58468	0.623563
300	pp_mfe_D300	POST	3251	0.602891	0.602891	0.583247	0.622536
300	pp_upfrac_D300	POST	3251	0.590588	0.590588	0.570114	0.611061
300	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
300	pp_slope30_D300	POST	3251	0.534297	0.534297	0.516244	0.55235
300	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
300	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
300	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
300	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
300	pp_imb_mean_D300	POST	3251	0.526915	0.526915	0.501044	0.552786
300	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
300	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
300	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
300	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
300	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
300	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
300	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
300	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
300	post300_ev_per_s	POST	3251	0.518763	0.518763	0.502684	0.534843
300	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
600	pp_net_D600	POST	3251	0.671793	0.671793	0.649814	0.693773
600	pp_eff_D600	POST	3251	0.670563	0.670563	0.648244	0.692882
600	pp_tmae_frac_D600	POST	3251	0.663488	0.663488	0.645117	0.681859
600	pp_giveback_D600	POST	3251	0.66072	0.66072	0.639416	0.682024
600	pp_mae_D600	POST	3251	0.651492	0.651492	0.631141	0.671843
600	pp_mfe_D600	POST	3251	0.651184	0.651184	0.629973	0.672395
600	pp_tmfe_frac_D600	POST	3251	0.649339	0.649339	0.628563	0.670114
600	pp_upfrac_D600	POST	3251	0.635189	0.635189	0.613032	0.657347
600	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
600	pp_slope30_D600	POST	3251	0.564134	0.564134	0.547009	0.581259
600	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
600	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
600	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
600	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
600	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
600	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
600	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
600	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
600	post600_ev_per_s	POST	3251	0.522608	0.522608	0.507331	0.537886
600	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
600	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
600	pp_imb_mean_D600	POST	3251	0.521686	0.521686	0.494289	0.549082
600	post600_n_ev	POST	3251	0.521378	0.521378	0.505962	0.536794
600	post600_trade_retreat_up	POST	3251	0.520609	0.520609	0.505753	0.535465
600	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
1200	pp_net_D1200	POST	3251	0.742848	0.742848	0.720051	0.765646
1200	pp_eff_D1200	POST	3251	0.741926	0.741926	0.719076	0.764775
1200	pp_giveback_D1200	POST	3251	0.719317	0.719317	0.694281	0.744353
1200	pp_tmfe_frac_D1200	POST	3251	0.714857	0.714857	0.690345	0.739369
1200	pp_tmae_frac_D1200	POST	3251	0.714703	0.714703	0.693342	0.736065
1200	pp_mae_D1200	POST	3251	0.714396	0.714396	0.694006	0.734785
1200	pp_mfe_D1200	POST	3251	0.714088	0.714088	0.693604	0.734572
1200	pp_upfrac_D1200	POST	3251	0.69594	0.69594	0.672095	0.719784
1200	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
1200	pp_slope30_D1200	POST	3251	0.558136	0.558136	0.540561	0.575711
1200	pp_imb_mean_D1200	POST	3251	0.538604	0.538604	0.509832	0.567375
1200	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
1200	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
1200	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
1200	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
1200	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
1200	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
1200	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
1200	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
1200	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
1200	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
1200	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
1200	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
1200	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
1200	med_gap_ms	PRE	3250	0.514308	0.514308	0.498356	0.530259
1800	pp_eff_D1800	POST	3251	0.780837	0.780837	0.757738	0.803935
1800	pp_net_D1800	POST	3251	0.780375	0.780375	0.757086	0.803665
1800	pp_mae_D1800	POST	3251	0.758228	0.758228	0.738932	0.777524
1800	pp_mfe_D1800	POST	3251	0.757459	0.757459	0.738131	0.776787
1800	pp_tmae_frac_D1800	POST	3251	0.755921	0.755921	0.73249	0.779353
1800	pp_tmfe_frac_D1800	POST	3251	0.752384	0.752384	0.729028	0.77574
1800	pp_giveback_D1800	POST	3251	0.744848	0.744848	0.720103	0.769593
1800	pp_upfrac_D1800	POST	3251	0.743156	0.743156	0.720544	0.765768
1800	side	PRE	3251	0.572132	0.572132	0.496357	0.647906
1800	pp_imb_mean_D1800	POST	3251	0.549369	0.549369	0.519972	0.578767
1800	pp_slope30_D1800	POST	3251	0.546601	0.546601	0.529327	0.563875
1800	ret_sess_open_with	PRE	3251	0.53199	0.53199	0.463486	0.600494
1800	abs_mins_to_release	PRE	3251	0.528299	0.528299	0.511586	0.545012
1800	accel_usd	PRE	3233	0.528147	0.528147	0.500248	0.556046
1800	fph_sflow_with	PRE	3251	0.527069	0.527069	0.463669	0.590468
1800	slope_1m_usd	PRE	3238	0.524552	0.524552	0.49526	0.553845
1800	p033_product	PRE	3251	0.523685	0.523685	0.505938	0.541432
1800	p033_sqrt	PRE	3251	0.523685	0.523685	0.505938	0.541432
1800	slope_5m_with	PRE	3233	0.523353	0.523353	0.503901	0.542805
1800	ret_phase_open_with	PRE	3251	0.521686	0.521686	0.449478	0.593893
1800	cancel_retreat_up	PRE	3251	0.521686	0.521686	0.506753	0.536618
1800	@span_sec	PRE	3251	0.519532	0.519532	0.50148	0.537585
1800	pull_ratio_dn	PRE	3248	0.518935	0.518935	0.499782	0.538087
1800	@n_members	PRE	3251	0.51661	0.51661	0.497214	0.536006
1800	med_gap_ms	PRE	3250	0.514308	0.514308	0.498356	0.530259
