# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE VERDICT PLANE: every (threshold x day-abstention x agreement) operating point measured above, filtered to the user's WEEKLY THROUGHPUT FLOOR (portfolio takes per week across all three assets), then maximised three ways
# D-021: $600 minimum / $1,000 target per trade.  D-048: $2,000 per session per asset, $1,500 thin-era floor — usd_per_session_all is the ERA_CURVE denominator (every asset-session of the era, traded or not)
era	week_floor_takes	criterion	operating_point	n_seated	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total	vs_D048_2000	clears_D021_600	clears_D021_1000	clears_thin_floor_1500
E4	5.0000	max_usd_per_week	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E4	5.0000	max_precision	daygate_causal_q50.0|top_5%	172	6745	172	6573	0.1279	0.0729	0.1830	130.4651	-55.0316	315.9618	1.3333	6.6154	173.9535	-69.5428	417.4498	257.9310	863.0769	-744.6366	-2197.5000	327.5000	0.4615	0.6744	87	58.2857	159.1489	342.3692	0.3488	0.2733	22440.0000	-1941.7143	0	0	0
E4	5.0000	max_usd_per_trade	joint_daygate_q95_2of3|top_10%	134	5851	134	5717	0.1045	0.0532	0.1558	190.2425	-33.2202	413.7052	1.0388	5.1538	197.6163	-22.3046	417.5371	349.2123	980.4808	-307.6138	-2030.0000	431.2500	0.5000	0.5659	73	66.2143	242.7857	357.2761	0.3657	0.3060	25492.5000	-1933.7857	0	0	0
E4	8.0000	max_usd_per_week	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E4	8.0000	max_precision	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E4	8.0000	max_usd_per_trade	agreement_2of3|top_10%	251	10406	251	10155	0.1275	0.0895	0.1655	181.2799	31.9094	330.6504	1.9457	9.6538	352.7229	73.3270	632.1187	372.9611	1750.0481	621.7320	-1564.3750	1932.5000	0.3077	0.9457	122	118.1851	232.1492	373.1823	0.4143	0.3147	45501.2500	-1881.8149	0	0	0
E5	3.0000	max_usd_per_week	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E5	3.0000	max_precision	daygate_causal_q70.0|top_5%	108	5180	108	5072	0.1481	0.0817	0.2146	-33.7037	-251.9410	184.5336	0.8372	4.1538	-28.2171	-210.1642	153.7301	-56.0000	-140.0000	-1197.9872	-3071.2500	98.7500	0.4231	0.5039	65	-9.4057	-47.8947	324.5370	0.4815	0.2870	-3640.0000	-2009.4057	0	0	0
E5	3.0000	max_usd_per_trade	agreement_alone_TEACHER|top_2%	104	3052	104	2948	0.1250	0.0619	0.1881	61.1058	-141.3667	263.5782	0.8062	4.0000	49.2636	-111.1119	209.6391	84.7333	244.4231	-728.8602	-2133.7500	452.5000	0.4231	0.5814	75	16.4212	74.7647	355.4087	0.4615	0.2404	6355.0000	-1983.5788	0	0	0
E5	4.0000	max_usd_per_week	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E5	4.0000	max_precision	daygate_causal_q70.0|top_5%	108	5180	108	5072	0.1481	0.0817	0.2146	-33.7037	-251.9410	184.5336	0.8372	4.1538	-28.2171	-210.1642	153.7301	-56.0000	-140.0000	-1197.9872	-3071.2500	98.7500	0.4231	0.5039	65	-9.4057	-47.8947	324.5370	0.4815	0.2870	-3640.0000	-2009.4057	0	0	0
E5	4.0000	max_usd_per_trade	agreement_alone_TEACHER|top_2%	104	3052	104	2948	0.1250	0.0619	0.1881	61.1058	-141.3667	263.5782	0.8062	4.0000	49.2636	-111.1119	209.6391	84.7333	244.4231	-728.8602	-2133.7500	452.5000	0.4231	0.5814	75	16.4212	74.7647	355.4087	0.4615	0.2404	6355.0000	-1983.5788	0	0	0
E5	5.0000	max_usd_per_week	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E5	5.0000	max_precision	daygate_causal_q0.0|top_5%	133	7609	133	7476	0.1278	0.0719	0.1837	-11.2500	-196.2698	173.7698	1.0310	5.1154	-11.5988	-201.3023	178.1047	-19.6875	-57.5481	-1233.6690	-3255.0000	-107.5000	0.5000	0.5891	76	-3.8663	-16.2636	370.0658	0.4586	0.2707	-1496.2500	-2003.8663	0	0	0
E5	5.0000	max_usd_per_trade	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E5	8.0000	max_usd_per_week	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E5	8.0000	max_precision	threshold_episode_prevcut|top_10%	379	6135	379	5756	0.1082	0.0733	0.1431	-29.8516	-138.5560	78.8528	2.9380	14.5769	-87.7035	-408.8513	233.4443	-89.7917	-435.1442	-2027.2568	-6995.0000	181.2500	0.5000	0.9767	126	-29.2345	-47.5368	371.9162	0.4644	0.2480	-11313.7500	-2029.2345	0	0	0
E5	8.0000	max_usd_per_trade	agreement_1of3_any|top_1%	230	4192	230	3962	0.0739	0.0407	0.1071	29.8370	-88.3791	148.0530	1.7829	8.8462	53.1977	-155.6266	262.0219	60.1974	263.9423	-806.9820	-3253.1250	-60.6250	0.5385	0.8837	114	17.7326	37.2962	324.1576	0.3739	0.2391	6862.5000	-1982.2674	0	0	0
E6	3.0000	max_usd_per_week	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	3.0000	max_precision	agreement_alone_TEACHER|top_2%	116	3261	116	3145	0.1293	0.0708	0.1878	306.7457	-25.6192	639.1106	0.9062	4.4615	277.9883	-15.1127	571.0892	515.6884	1368.5577	32.3958	-1587.5000	892.5000	0.3462	0.5391	69	92.6628	439.2901	689.2241	0.5259	0.3190	35582.5000	-1907.3372	0	0	0
E6	3.0000	max_usd_per_trade	agreement_alone_TEACHER|top_2%	116	3261	116	3145	0.1293	0.0708	0.1878	306.7457	-25.6192	639.1106	0.9062	4.4615	277.9883	-15.1127	571.0892	515.6884	1368.5577	32.3958	-1587.5000	892.5000	0.3462	0.5391	69	92.6628	439.2901	689.2241	0.5259	0.3190	35582.5000	-1907.3372	0	0	0
E6	4.0000	max_usd_per_week	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	4.0000	max_precision	agreement_alone_TEACHER|top_2%	116	3261	116	3145	0.1293	0.0708	0.1878	306.7457	-25.6192	639.1106	0.9062	4.4615	277.9883	-15.1127	571.0892	515.6884	1368.5577	32.3958	-1587.5000	892.5000	0.3462	0.5391	69	92.6628	439.2901	689.2241	0.5259	0.3190	35582.5000	-1907.3372	0	0	0
E6	4.0000	max_usd_per_trade	agreement_alone_TEACHER|top_2%	116	3261	116	3145	0.1293	0.0708	0.1878	306.7457	-25.6192	639.1106	0.9062	4.4615	277.9883	-15.1127	571.0892	515.6884	1368.5577	32.3958	-1587.5000	892.5000	0.3462	0.5391	69	92.6628	439.2901	689.2241	0.5259	0.3190	35582.5000	-1907.3372	0	0	0
E6	5.0000	max_usd_per_week	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	5.0000	max_precision	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	5.0000	max_usd_per_trade	agreement_alone_SEQ|top_5%	336	8153	336	7817	0.1012	0.0639	0.1385	154.5052	0.2983	308.7121	2.6250	12.9231	405.5762	15.0643	796.0881	429.0393	1996.6827	-700.4037	-3818.7500	1140.0000	0.4615	0.9453	121	135.1921	255.7328	537.2024	0.4762	0.2738	51913.7500	-1864.8079	0	0	0
E6	8.0000	max_usd_per_week	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	8.0000	max_precision	agreement_alone_SEQ|top_10%	475	16306	475	15831	0.1200	0.0935	0.1465	121.4868	4.0278	238.9459	3.7109	18.2692	450.8301	25.6389	876.0213	461.6500	2219.4712	121.6813	-4225.6250	2590.6250	0.4231	0.9766	125	150.2767	215.3218	475.4211	0.4653	0.2674	57706.2500	-1849.7233	0	0	0
E6	8.0000	max_usd_per_trade	agreement_alone_SEQ|top_5%	336	8153	336	7817	0.1012	0.0639	0.1385	154.5052	0.2983	308.7121	2.6250	12.9231	405.5762	15.0643	796.0881	429.0393	1996.6827	-700.4037	-3818.7500	1140.0000	0.4615	0.9453	121	135.1921	255.7328	537.2024	0.4762	0.2738	51913.7500	-1864.8079	0	0	0
E8_GATE_2025H1	3.0000	max_usd_per_week	agreement_2of3|top_5%	177	3907	177	3730	0.1186	0.0742	0.1631	372.4718	45.2825	699.6610	1.3937	6.5556	519.1142	-19.2802	1057.5086	845.2244	2441.7593	-1630.7983	-3968.5000	407.5000	0.4444	0.6142	78	173.0381	604.8394	802.3305	0.5650	0.2938	65927.5000	-1826.9619	0	0	0
E8_GATE_2025H1	3.0000	max_precision	joint_daygate_q90_2of3|top_5%	126	3558	126	3432	0.1270	0.0707	0.1833	387.1627	-47.3645	821.6899	0.9921	4.6667	384.1142	-77.3791	845.6075	786.8145	1806.7593	-731.8917	-2884.2500	407.5000	0.4074	0.4882	62	128.0381	580.7440	712.8968	0.5238	0.2857	48782.5000	-1871.9619	0	0	0
E8_GATE_2025H1	3.0000	max_usd_per_trade	joint_daygate_q95_3of3|top_10%	82	1798	82	1716	0.0976	0.0389	0.1562	415.8079	-344.5781	1176.1940	0.6457	3.0370	268.4744	-223.5798	760.5286	811.8155	1262.8241	-522.4008	-2040.0000	0.0000	0.4444	0.3307	42	89.4915	655.6971	780.5640	0.6220	0.2927	34096.2500	-1910.5085	0	0	0
E8_GATE_2025H1	4.0000	max_usd_per_week	agreement_2of3|top_5%	177	3907	177	3730	0.1186	0.0742	0.1631	372.4718	45.2825	699.6610	1.3937	6.5556	519.1142	-19.2802	1057.5086	845.2244	2441.7593	-1630.7983	-3968.5000	407.5000	0.4444	0.6142	78	173.0381	604.8394	802.3305	0.5650	0.2938	65927.5000	-1826.9619	0	0	0
E8_GATE_2025H1	4.0000	max_precision	joint_daygate_q90_2of3|top_5%	126	3558	126	3432	0.1270	0.0707	0.1833	387.1627	-47.3645	821.6899	0.9921	4.6667	384.1142	-77.3791	845.6075	786.8145	1806.7593	-731.8917	-2884.2500	407.5000	0.4074	0.4882	62	128.0381	580.7440	712.8968	0.5238	0.2857	48782.5000	-1871.9619	0	0	0
E8_GATE_2025H1	4.0000	max_usd_per_trade	joint_daygate_q90_2of3|top_5%	126	3558	126	3432	0.1270	0.0707	0.1833	387.1627	-47.3645	821.6899	0.9921	4.6667	384.1142	-77.3791	845.6075	786.8145	1806.7593	-731.8917	-2884.2500	407.5000	0.4074	0.4882	62	128.0381	580.7440	712.8968	0.5238	0.2857	48782.5000	-1871.9619	0	0	0
E8_GATE_2025H1	5.0000	max_usd_per_week	agreement_2of3|top_5%	177	3907	177	3730	0.1186	0.0742	0.1631	372.4718	45.2825	699.6610	1.3937	6.5556	519.1142	-19.2802	1057.5086	845.2244	2441.7593	-1630.7983	-3968.5000	407.5000	0.4444	0.6142	78	173.0381	604.8394	802.3305	0.5650	0.2938	65927.5000	-1826.9619	0	0	0
E8_GATE_2025H1	5.0000	max_precision	agreement_2of3|top_5%	177	3907	177	3730	0.1186	0.0742	0.1631	372.4718	45.2825	699.6610	1.3937	6.5556	519.1142	-19.2802	1057.5086	845.2244	2441.7593	-1630.7983	-3968.5000	407.5000	0.4444	0.6142	78	173.0381	604.8394	802.3305	0.5650	0.2938	65927.5000	-1826.9619	0	0	0
E8_GATE_2025H1	5.0000	max_usd_per_trade	agreement_2of3|top_5%	177	3907	177	3730	0.1186	0.0742	0.1631	372.4718	45.2825	699.6610	1.3937	6.5556	519.1142	-19.2802	1057.5086	845.2244	2441.7593	-1630.7983	-3968.5000	407.5000	0.4444	0.6142	78	173.0381	604.8394	802.3305	0.5650	0.2938	65927.5000	-1826.9619	0	0	0
E8_GATE_2025H1	8.0000	max_usd_per_week	agreement_alone_SEQ|top_5%	517	8616	517	8099	0.1044	0.0812	0.1277	66.4821	-51.5322	184.4964	4.0709	19.1481	270.6398	-205.0091	746.2886	288.8340	1273.0093	-1031.3381	-4794.5000	-231.2500	0.5185	0.9370	119	90.2133	126.8312	644.9226	0.5590	0.2747	34371.2500	-1909.7867	0	0	0
E8_GATE_2025H1	8.0000	max_precision	agreement_alone_SEQ|top_1%	232	1724	232	1492	0.1164	0.0780	0.1547	-49.8815	-230.2422	130.4793	1.8268	8.5926	-91.1220	-429.3551	247.1110	-124.4355	-428.6111	-1326.8316	-3455.5000	-17.5000	0.5185	0.7323	93	-30.3740	-79.2637	715.8944	0.5862	0.2328	-11572.5000	-2030.3740	0	0	0
E8_GATE_2025H1	8.0000	max_usd_per_trade	threshold_candidate_COMPOSED|top_2%	242	3447	242	3205	0.0992	0.0622	0.1362	140.4545	-173.6271	454.5362	1.9055	8.9630	267.6378	-323.5977	858.8732	395.2326	1258.8889	-2866.9871	-4723.5000	0.0000	0.4815	0.6772	86	89.2126	208.5276	575.4390	0.5289	0.2769	33990.0000	-1910.7874	0	0	0
