# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# enter at mid(t+D) instead of mid(t); EXIT is the ORIGINAL phase close (the seat shape) — a delay that runs past the phase close makes the trade impossible and is counted as frac_phase_expired
# cert_close = the walled phase-close certificate of the DELAYED entry (c_c_roster.certificates arithmetic, $900 wall, same session cost_rt); mae_after = max adverse excursion AFTER t+D
# f_at_D = what a t-entry is worth at t+D (the management scratch mark); frac_walled_by_D = the t-entry was already stopped
# cert_close_roll = the same delayed entry allowed to run to the NEXT phase boundary instead (the generous variant)
# intervals: CR1 clustered BY DAY
population	arm	delay_sec	n	n_feasible	frac_feasible	frac_phase_expired	mean_cert_close_usd	ci_lo	ci_hi	median_cert_close_usd	frac_ge_1000	frac_ge_1000_lo	frac_ge_1000_hi	frac_le_m900	mean_mae_after_usd	p90_mae_after_usd	frac_walled_after	mean_f_at_D_usd	median_f_at_D_usd	p10_f_at_D_usd	p25_f_at_D_usd	p75_f_at_D_usd	p90_f_at_D_usd	mean_mae_to_D_usd	mean_mfe_to_D_usd	frac_walled_by_D	frac_phase_changed	mean_cert_close_roll_usd	mean_decay_vs_D0_usd
E6_D021_WINNERS	enter_at_t+D	300	3649	3649	1	0	1642.11	1559.4	1724.82	1382.5	0.872568	0.859004	0.886132	0.00274048	153.441	343.75	0.00274048	106.993	68.75	-75	-12.5	175	325	68.5599	186.435	0	0	1642.11	-113.793
E6_D021_WINNERS	enter_at_t+D	600	3649	3649	1	0	1555.78	1476.9	1634.66	1320	0.808989	0.791171	0.826806	0.00438476	173.58	400	0.00438476	188.857	125	-75	12.5	300	520	83.1187	293.764	0	0	1555.78	-200.12
E6_D021_WINNERS	enter_at_t+D	1200	3649	3649	1	0	1387.8	1317.06	1458.55	1220	0.695807	0.672538	0.719076	0.0153467	207.802	495	0.0153467	335.732	243.75	-37.5	75	487.5	813.75	95.3549	472.107	0	0	1387.8	-368.101
E6_D021_WINNERS	enter_at_t+D	1800	3649	3647	0.999452	0.000548095	1250.96	1183.99	1317.94	1132.5	0.60159	0.574349	0.628832	0.0268714	229.589	562.5	0.0268714	457.285	343.75	-6.25	137.5	637.5	1062.5	101.624	622.092	0	0	1250.96	-504.942
E6_NON_WINNERS	enter_at_t+D	0	71168	71167	0.999986	1.40513e-05	-122.933	-132.235	-113.63	-92.5	0.0325432	0.0268687	0.0382176	0.224823	457.681	900	0.224613	0	0	0	0	0	0	0	0	0	0	-122.933	0
E6_NON_WINNERS	enter_at_t+D	30	71168	71120	0.999326	0.00067446	-121.774	-131.047	-112.5	-92.5	0.0340832	0.0283553	0.0398112	0.224072	456.744	900	0.223917	-0.859994	0	-50	-25	25	50	25.3232	24.3052	0	0	-121.774	1.15906
E6_NON_WINNERS	enter_at_t+D	60	71168	71066	0.998567	0.00143323	-122.379	-131.717	-113.041	-92.5	0.0339403	0.0282783	0.0396022	0.223665	456.497	900	0.223525	-0.852912	0	-75	-25	25	62.5	38.3061	37.0309	5.62224e-05	0	-122.379	0.553729
E6_NON_WINNERS	enter_at_t+D	120	71168	70958	0.997049	0.00295076	-121.596	-130.852	-112.339	-92.5	0.0351194	0.0293469	0.0408918	0.223484	455.987	900	0.223329	-1.23951	0	-100	-37.5	37.5	93.75	56.7173	55.1316	0.000253051	0	-121.596	1.33718
E6_NON_WINNERS	enter_at_t+D	180	71168	70825	0.99518	0.00481958	-120.346	-129.513	-111.18	-92.5	0.0362584	0.0304176	0.0420992	0.223763	454.948	900	0.223607	-2.35282	0	-125	-50	50	112.5	71.1183	68.8476	0.000618725	0	-120.346	2.58654
E6_NON_WINNERS	enter_at_t+D	300	71168	70637	0.992539	0.00746122	-118.648	-127.803	-109.493	-92.5	0.0369212	0.0311834	0.0426589	0.222164	452.229	900	0.222022	-4.8146	0	-150	-68.75	62.5	150	94.369	89.8476	0.00170226	0	-118.648	4.28461
E6_NON_WINNERS	enter_at_t+D	600	71168	70091	0.984867	0.0151332	-113.661	-122.496	-104.825	-92.5	0.0396199	0.033628	0.0456118	0.218445	447.385	900	0.218302	-8.96637	0	-225	-100	87.5	200	136.733	127.768	0.0054507	0	-113.661	9.27221
E6_NON_WINNERS	enter_at_t+D	1200	71168	68969	0.969101	0.0308987	-106.537	-114.81	-98.2649	-80	0.0419754	0.0356981	0.0482526	0.210819	438.771	900	0.210616	-16.6812	-12.5	-306.25	-137.5	112.5	268.75	197.11	179.914	0.0174652	0	-106.537	16.3953
E6_NON_WINNERS	enter_at_t+D	1800	71168	67640	0.950427	0.0495728	-101.656	-109.645	-93.6676	-80	0.0432584	0.0368829	0.049634	0.204287	432.554	900	0.204154	-21.8837	-12.5	-375	-175	137.5	325	242.919	218.884	0.0308981	0	-101.656	21.2765
