# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# three INDEPENDENT readers of the same second: the full model (with teacher features), the teacher-evidence block alone, and the raw event-stream cue block alone
# 2of3 / 3of3 = the candidate is inside the tier for at least two / all three scores; alone_* is the same tier for one score by itself
era	rule	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E3	1of3_any	top_5%	19614	791	18823	0.0619	0.0441	0.0798	-63.2728	-136.9984	10.4529	6.0846	29.2963	-384.9904	-845.3985	75.4178	-384.9904	-1853.6574	-4422.5474	-7798.0000	-1791.2500	0.6296	1.0000	130	-128.3301	-131.3615	380.4441	0.4614	0.2048	-50048.7500
E3	2of3	top_5%	2915	211	2704	0.1090	0.0666	0.1514	6.3448	-170.2810	182.9705	1.6231	7.8148	10.2981	-275.5124	296.1086	12.6297	49.5833	-1828.8335	-3928.5000	-715.0000	0.5926	0.8154	106	3.4327	7.8750	402.4882	0.4597	0.2654	1338.7500
E3	3of3	top_5%	234	31	203	0.0968	-0.0435	0.2370	-242.0968	-770.8637	286.6701	0.2385	1.1481	-57.7308	-176.1908	60.7293	-300.2000	-277.9630	-834.2387	-1860.0000	0.0000	0.4444	0.1923	25	-19.2436	-250.1667	379.6371	0.6774	0.1935	-7505.0000
E3	alone_FULL_TF	top_5%	7594	295	7299	0.0780	0.0497	0.1062	-44.5339	-166.8642	77.7964	2.2692	10.9259	-101.0577	-378.8829	176.7676	-118.3559	-486.5741	-2320.6121	-4746.0000	-65.0000	0.5185	0.8538	111	-33.6859	-68.0699	356.8856	0.4237	0.1966	-13137.5000
E3	alone_TEACHER	top_5%	7578	495	7083	0.0586	0.0358	0.0813	-54.7348	-155.1619	45.6922	3.8077	18.3333	-208.4135	-594.4487	177.6217	-208.4135	-1003.4722	-3021.4030	-7249.5000	-1757.5000	0.5926	1.0000	130	-69.4712	-79.2215	405.6944	0.4828	0.2364	-27093.7500
E3	alone_SEQ	top_5%	7591	514	7077	0.0720	0.0481	0.0959	-52.6167	-150.3294	45.0960	3.9538	19.0370	-208.0385	-600.4710	184.3940	-211.2891	-1001.6667	-3033.1979	-7500.5000	-333.7500	0.5556	0.9846	128	-69.3462	-86.9614	350.5229	0.4339	0.2043	-27045.0000
E3	1of3_any	top_10%	35896	997	34899	0.0532	0.0395	0.0669	-91.5409	-143.9862	-39.0955	7.6692	36.9259	-702.0481	-1116.3280	-287.7682	-702.0481	-3380.2315	-5514.7965	-10107.7500	-3125.0000	0.7778	1.0000	130	-234.0160	-234.0160	392.0637	0.4855	0.1906	-91266.2500
E3	2of3	top_10%	8411	391	8020	0.0767	0.0500	0.1034	-100.4124	-218.0286	17.2038	3.0077	14.4815	-302.0096	-661.6932	57.6740	-306.7285	-1454.1204	-3087.4743	-5462.5000	-1507.5000	0.7037	0.9846	128	-100.6699	-136.7988	385.8536	0.4808	0.2123	-39261.2500
E3	3of3	top_10%	1216	96	1120	0.0833	0.0156	0.1511	-177.4609	-446.1902	91.2683	0.7385	3.5556	-131.0481	-331.3445	69.2483	-239.9472	-630.9722	-1578.9125	-3986.0000	-812.5000	0.6667	0.5462	71	-43.6827	-198.0959	417.3828	0.6146	0.2083	-17036.2500
E3	alone_FULL_TF	top_10%	15184	489	14695	0.0593	0.0366	0.0820	-115.2377	-205.2318	-25.2436	3.7615	18.1111	-433.4712	-779.4441	-87.4982	-436.8314	-2087.0833	-3790.2977	-7480.0000	-2192.5000	0.7778	0.9923	129	-144.4904	-199.8271	371.1273	0.4683	0.1697	-56351.2500
E3	alone_TEACHER	top_10%	15157	672	14485	0.0655	0.0475	0.0834	-78.2608	-146.8941	-9.6274	5.1692	24.8889	-404.5481	-764.2804	-44.8158	-404.5481	-1947.8241	-3649.3105	-6974.7500	-3187.5000	0.6667	1.0000	130	-134.8494	-140.2433	405.6641	0.5045	0.2188	-52591.2500
E3	alone_SEQ	top_10%	15182	607	14575	0.0675	0.0461	0.0890	-46.9275	-137.1926	43.3376	4.6692	22.4815	-219.1154	-647.7308	209.5000	-219.1154	-1055.0000	-3304.5915	-7105.5000	-1123.7500	0.5926	1.0000	130	-73.0385	-84.5252	372.1582	0.4465	0.2125	-28485.0000
E3	1of3_any	top_20%	62540	1311	61229	0.0534	0.0414	0.0653	-90.7933	-139.7376	-41.8490	10.0846	48.5556	-915.6154	-1427.6191	-403.6117	-915.6154	-4408.5185	-6894.0321	-11159.2500	-4401.2500	0.7778	1.0000	130	-305.2051	-305.2051	405.4872	0.4966	0.1831	-119030.0000
E3	2of3	top_20%	23346	655	22691	0.0641	0.0461	0.0822	-55.6584	-134.1513	22.8346	5.0385	24.2593	-280.4327	-682.4594	121.5940	-280.4327	-1350.2315	-2899.0633	-6096.7500	-1386.2500	0.5556	1.0000	130	-93.4776	-97.4766	402.7863	0.4702	0.2336	-36456.2500
E3	3of3	top_20%	5194	245	4949	0.1306	0.0899	0.1714	-31.4541	-202.3951	139.4869	1.8846	9.0741	-59.2788	-381.2719	262.7142	-66.4332	-285.4167	-1617.3744	-5175.7500	250.0000	0.4444	0.8923	116	-19.7596	-36.5225	414.0816	0.4857	0.2612	-7706.2500
E3	alone_FULL_TF	top_20%	30365	729	29636	0.0658	0.0485	0.0832	-66.0597	-137.0736	4.9543	5.6077	27.0000	-370.4423	-776.3205	35.4359	-370.4423	-1783.6111	-3931.4999	-8639.2500	-1198.7500	0.6296	1.0000	130	-123.4808	-132.3008	383.0676	0.4678	0.1989	-48157.5000
E3	alone_TEACHER	top_20%	30364	965	29399	0.0549	0.0415	0.0683	-89.2940	-151.9299	-26.6582	7.4231	35.7407	-662.8365	-1136.6574	-189.0157	-662.8365	-3191.4352	-5622.7078	-10360.7500	-2288.7500	0.7407	1.0000	130	-220.9455	-221.5135	423.6917	0.5171	0.2021	-86168.7500
E3	alone_SEQ	top_20%	30351	800	29551	0.0800	0.0604	0.0996	-27.5000	-98.5486	43.5486	6.1538	29.6296	-169.2308	-611.0729	272.6113	-169.2308	-814.8148	-2792.9303	-6984.5000	266.2500	0.4815	1.0000	130	-56.4103	-61.4525	392.7266	0.4512	0.2175	-22000.0000
E4	1of3_any	top_0.05%	221	35	186	0.0857	-0.0103	0.1818	-175.0000	-467.1470	117.1470	0.2713	1.3462	-47.4806	-126.1774	31.2161	-235.5769	-235.5769	-609.6538	-1262.5000	0.0000	0.3846	0.2016	26	-15.9091	-197.5806	296.7857	0.4286	0.2000	-6125.0000
E4	2of3	top_0.05%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	3of3	top_0.05%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	alone_FULL_TF	top_0.05%	70	7	63	0.0000	0.0000	0.0000	-374.6429	-882.6679	133.3822	0.0543	0.2692	-20.3295	-42.9295	2.2705	-524.5000	-100.8654	-213.4657	-376.2500	0.0000	0.1538	0.0388	5	-6.8117	-524.5000	426.7857	0.5714	0.1429	-2622.5000
E4	alone_TEACHER	top_0.05%	77	2	75	0.0000	0.0000	0.0000	-486.2500	-6124.6284	5152.1284	0.0155	0.0769	-7.5388	-21.8134	6.7359	-486.2500	-37.4038	-111.0142	0.0000	0.0000	0.0769	0.0155	2	-2.5260	-486.2500	212.5000	0.5000	0.0000	-972.5000
E4	alone_SEQ	top_0.05%	74	26	48	0.1154	-0.0100	0.2408	-97.3077	-477.4464	282.8310	0.2016	1.0000	-19.6124	-91.4443	52.2195	-120.4762	-97.3077	-445.6811	-1227.5000	0.0000	0.2692	0.1628	21	-6.5714	-101.2000	268.2692	0.3846	0.2308	-2530.0000
E4	1of3_any	top_0.1%	435	64	371	0.0938	0.0230	0.1645	-49.4336	-277.7859	178.9187	0.4961	2.4615	-24.5252	-135.9239	86.8735	-77.1646	-121.6827	-728.7546	-1666.2500	0.0000	0.4231	0.3178	41	-8.2175	-57.5227	365.5273	0.3750	0.2188	-3163.7500
E4	2of3	top_0.1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	3of3	top_0.1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	alone_FULL_TF	top_0.1%	148	12	136	0.0833	-0.1057	0.2724	-431.0417	-963.0847	101.0013	0.0930	0.4615	-40.0969	-86.2415	6.0477	-646.5625	-198.9423	-429.6833	-942.5000	0.0000	0.2308	0.0620	8	-13.4351	-574.7222	456.2500	0.5833	0.0833	-5172.5000
E4	alone_TEACHER	top_0.1%	139	6	133	0.0000	0.0000	0.0000	215.8333	-899.8760	1331.5427	0.0465	0.2308	10.0388	-27.4206	47.4981	215.8333	49.8077	-145.8520	-21.2500	0.0000	0.1154	0.0465	6	3.3636	215.8333	377.0833	0.1667	0.1667	1295.0000
E4	alone_SEQ	top_0.1%	148	47	101	0.1064	0.0182	0.1946	-4.6011	-267.2487	258.0466	0.3643	1.8077	-1.6764	-93.1321	89.7794	-7.2083	-8.3173	-528.1096	-1336.2500	0.0000	0.2692	0.2326	30	-0.5617	-5.1488	344.2819	0.3617	0.2553	-216.2500
E4	1of3_any	top_0.2%	887	98	789	0.1122	0.0498	0.1747	34.0306	-167.7279	235.7891	0.7597	3.7692	25.8527	-123.3466	175.0520	61.7593	128.2692	-789.6311	-1848.1250	0.0000	0.3846	0.4186	54	8.6623	40.6707	369.5791	0.3878	0.2857	3335.0000
E4	2of3	top_0.2%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
