# census 4 verdict — the stacked configurations (cell x filter x selection), one-position-per-asset replay, day-clustered CIs (PORT-M2-GOALPATH-V1)
era	cell	filter	selection	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	risk_usd_median	win_rate	mdd_mean	vs_D048_bar
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_K+DAYSIDE	ALL	278	415	1.493	-112.68	-235.21	6.54	-75.48	1075	0.4361	514.3	-0.056
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	VETO_K+DAYSIDE	MODEL_TOP3	278	346	1.245	-53.21	-158.19	56.72	-42.75	1075	0.4509	394.94	-0.027
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	SHUFFLED_VETO	ALL	349	708	2.029	-105.33	-234.04	29.03	-51.92	1087.5	0.4576	656.87	-0.053
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	SHUFFLED_VETO	MODEL_TOP3	349	532	1.524	-12.78	-121.77	108.74	-8.38	1087.5	0.468	472.25	-0.006
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	SHUFFLED_DAYSIDE	ALL	303	488	1.611	-0.19	-122.6	127.12	-0.12	1125	0.4816	517.47	-0
E2	LEG_0.5|RECLAIM|TRAIL_1.5R	SHUFFLED_DAYSIDE	MODEL_TOP3	303	387	1.277	49.47	-60.92	159.86	38.73	1112.5	0.4858	368.26	0.025
E2	LEG_0.5|EXT|TRAIL_1.5R	NONE	ALL	368	829	2.253	-135.35	-284.42	16.24	-60.08	1262.5	0.4439	776.08	-0.068
E2	LEG_0.5|EXT|TRAIL_1.5R	NONE	MODEL_TOP3	368	516	1.402	43.95	-58.72	156.11	31.34	1262.5	0.4845	397.25	0.022
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_K	ALL	351	690	1.966	-115.47	-243.93	14.42	-58.74	1250	0.4493	642.51	-0.058
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_K	MODEL_TOP3	351	505	1.439	5.14	-90	107.48	3.57	1256.25	0.4752	402.27	0.003
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_2K	ALL	319	499	1.564	-70.4	-178.45	42.7	-45.01	1237.5	0.4489	462.72	-0.035
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_2K	MODEL_TOP3	319	422	1.323	-6.17	-103.63	91.39	-4.67	1250	0.4621	361.62	-0.003
E2	LEG_0.5|EXT|TRAIL_1.5R	DAYSIDE	ALL	310	508	1.639	-158	-293.33	-28.66	-96.42	1250	0.4232	626.56	-0.079
E2	LEG_0.5|EXT|TRAIL_1.5R	DAYSIDE	MODEL_TOP3	310	386	1.245	-39.59	-149.34	72.5	-31.8	1250	0.4352	420.96	-0.02
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_K+DAYSIDE	ALL	278	409	1.471	-127.02	-247.83	-3.4	-86.33	1250	0.4401	526.09	-0.064
E2	LEG_0.5|EXT|TRAIL_1.5R	VETO_K+DAYSIDE	MODEL_TOP3	278	346	1.245	-71.58	-178.73	41.44	-57.51	1237.5	0.4509	412.29	-0.036
E2	LEG_0.5|EXT|TRAIL_1.5R	SHUFFLED_VETO	ALL	349	665	1.905	-97.69	-241.11	50.12	-51.27	1256.25	0.4692	657.07	-0.049
E2	LEG_0.5|EXT|TRAIL_1.5R	SHUFFLED_VETO	MODEL_TOP3	349	516	1.479	-3.29	-112.16	129.21	-2.23	1250	0.4787	469.51	-0.002
E2	LEG_0.5|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	ALL	303	481	1.587	-13.41	-136.7	115.11	-8.45	1262.5	0.4906	534.76	-0.007
E2	LEG_0.5|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	MODEL_TOP3	303	384	1.267	45.52	-65.53	156.58	35.92	1250	0.4948	377.93	0.023
E2	LEG_0.5|RECLAIM|PHASE	NONE	ALL	368	841	2.285	-139.11	-297.36	16.2	-60.87	1125	0.4411	800.66	-0.07
E2	LEG_0.5|RECLAIM|PHASE	NONE	MODEL_TOP3	368	526	1.429	43.48	-57.75	151.25	30.42	1112.5	0.4791	406.14	0.022
E2	LEG_0.5|RECLAIM|PHASE	VETO_K	ALL	351	710	2.023	-129.33	-262.21	11.05	-63.93	1087.5	0.4437	661.49	-0.065
E2	LEG_0.5|RECLAIM|PHASE	VETO_K	MODEL_TOP3	351	516	1.47	4.79	-99.18	115.35	3.26	1087.5	0.469	409.08	0.002
E2	LEG_0.5|RECLAIM|PHASE	VETO_2K	ALL	319	508	1.592	-76.46	-189.53	37.69	-48.01	1075	0.4488	475.03	-0.038
E2	LEG_0.5|RECLAIM|PHASE	VETO_2K	MODEL_TOP3	319	425	1.332	-20.61	-124.04	79.4	-15.47	1075	0.4565	377.27	-0.01
E2	LEG_0.5|RECLAIM|PHASE	DAYSIDE	ALL	310	506	1.632	-147.78	-282.53	-14.56	-90.54	1109.38	0.4209	620.43	-0.074
E2	LEG_0.5|RECLAIM|PHASE	DAYSIDE	MODEL_TOP3	310	385	1.242	-40.22	-152.78	76.46	-32.39	1100	0.4364	423.36	-0.02
E2	LEG_0.5|RECLAIM|PHASE	VETO_K+DAYSIDE	ALL	278	414	1.489	-146.52	-275.75	-21.55	-98.39	1075	0.4324	540.89	-0.073
E2	LEG_0.5|RECLAIM|PHASE	VETO_K+DAYSIDE	MODEL_TOP3	278	346	1.245	-78.23	-187.75	37.61	-62.86	1075	0.4451	415.97	-0.039
E2	LEG_0.5|RECLAIM|PHASE	SHUFFLED_VETO	ALL	349	684	1.96	-129.64	-274.77	16.49	-66.15	1084.38	0.4591	682.95	-0.065
E2	LEG_0.5|RECLAIM|PHASE	SHUFFLED_VETO	MODEL_TOP3	349	528	1.513	-27.35	-138.78	99.8	-18.08	1087.5	0.4716	492.98	-0.014
E2	LEG_0.5|RECLAIM|PHASE	SHUFFLED_DAYSIDE	ALL	303	475	1.568	26.77	-104.15	163.06	17.08	1125	0.4905	507.99	0.013
E2	LEG_0.5|RECLAIM|PHASE	SHUFFLED_DAYSIDE	MODEL_TOP3	303	383	1.264	59.75	-52.59	173.24	47.27	1112.5	0.4961	365.83	0.03
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	NONE	ALL	368	1034	2.81	-115.42	-251.77	26.97	-41.08	1112.5	0.4255	821.99	-0.058
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	NONE	MODEL_TOP3	368	574	1.56	-10.04	-103.87	83.79	-6.44	1112.5	0.4443	437.8	-0.005
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_K	ALL	351	814	2.319	-124.65	-251.71	9.54	-53.75	1075	0.4337	664.39	-0.062
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_K	MODEL_TOP3	351	551	1.57	-19.17	-109.62	79.45	-12.21	1081.25	0.4537	424.65	-0.01
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_2K	ALL	319	540	1.693	-74.18	-188.08	35.35	-43.82	1075	0.4259	464.89	-0.037
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_2K	MODEL_TOP3	319	444	1.392	-39.01	-138.18	56.76	-28.03	1075	0.4279	376.76	-0.02
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	DAYSIDE	ALL	310	542	1.748	-128.66	-242.79	-17.17	-73.59	1106.25	0.4077	576.11	-0.064
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	DAYSIDE	MODEL_TOP3	310	395	1.274	-46.81	-142.56	50.93	-36.74	1100	0.4228	394.4	-0.023
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	ALL	278	434	1.561	-124.87	-241.25	-16.83	-79.99	1075	0.4263	498.05	-0.062
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	MODEL_TOP3	278	352	1.266	-61.59	-160.04	38.73	-48.64	1075	0.4432	383.17	-0.031
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	ALL	349	817	2.341	-92.24	-215.45	30.76	-39.4	1087.5	0.4394	692.29	-0.046
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	MODEL_TOP3	349	593	1.699	-20.23	-124.49	83.43	-11.9	1087.5	0.4435	487.74	-0.01
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	ALL	303	508	1.677	11.69	-100.93	130.45	6.97	1125	0.4587	491.53	0.006
E2	LEG_0.5|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	MODEL_TOP3	303	391	1.29	24.53	-76.86	125.82	19.01	1112.5	0.4655	356.65	0.012
E2	LEG_0.5|EXT|PHASE	NONE	ALL	368	807	2.193	-147.04	-308.23	15	-67.05	1262.5	0.4411	792.66	-0.074
E2	LEG_0.5|EXT|PHASE	NONE	MODEL_TOP3	368	514	1.397	48.28	-60.85	166.6	34.57	1262.5	0.4864	397.71	0.024
E2	LEG_0.5|EXT|PHASE	VETO_K	ALL	351	685	1.952	-137.38	-269.42	-1.41	-70.39	1250	0.4467	659.69	-0.069
E2	LEG_0.5|EXT|PHASE	VETO_K	MODEL_TOP3	351	505	1.439	-2.49	-103.25	105.47	-1.73	1256.25	0.4752	410.95	-0.001
E2	LEG_0.5|EXT|PHASE	VETO_2K	ALL	319	499	1.564	-82.96	-192.96	30.68	-53.03	1237.5	0.4489	475.48	-0.041
E2	LEG_0.5|EXT|PHASE	VETO_2K	MODEL_TOP3	319	422	1.323	-14	-111.4	83.49	-10.58	1250	0.4621	372.07	-0.007
E2	LEG_0.5|EXT|PHASE	DAYSIDE	ALL	310	501	1.616	-164.96	-304.28	-26.8	-102.07	1250	0.4251	635.41	-0.082
E2	LEG_0.5|EXT|PHASE	DAYSIDE	MODEL_TOP3	310	384	1.239	-44.84	-158.16	72.21	-36.2	1250	0.4375	427.98	-0.022
E2	LEG_0.5|EXT|PHASE	VETO_K+DAYSIDE	ALL	278	408	1.468	-147.83	-272.94	-21.68	-100.73	1243.75	0.4387	543.23	-0.074
E2	LEG_0.5|EXT|PHASE	VETO_K+DAYSIDE	MODEL_TOP3	278	346	1.245	-86.53	-197.79	32.81	-69.52	1237.5	0.448	426.36	-0.043
E2	LEG_0.5|EXT|PHASE	SHUFFLED_VETO	ALL	349	651	1.865	-107.21	-261.63	53.76	-57.48	1262.5	0.47	665.77	-0.054
E2	LEG_0.5|EXT|PHASE	SHUFFLED_VETO	MODEL_TOP3	349	512	1.467	-6.37	-119.87	127.41	-4.34	1250	0.4824	476.49	-0.003
E2	LEG_0.5|EXT|PHASE	SHUFFLED_DAYSIDE	ALL	303	472	1.558	9.68	-126.38	151.01	6.22	1262.5	0.4936	527.59	0.005
E2	LEG_0.5|EXT|PHASE	SHUFFLED_DAYSIDE	MODEL_TOP3	303	382	1.261	50.15	-64.72	167.99	39.78	1250	0.4974	377.95	0.025
E2	TREND_1800|EXT|TRAIL_1.5R	NONE	ALL	384	3795	9.883	-392.64	-604.05	-177.45	-39.73	412.5	0.3671	1828.29	-0.196
E2	TREND_1800|EXT|TRAIL_1.5R	NONE	MODEL_TOP3	384	685	1.784	-11.99	-87.21	75.13	-6.72	325	0.4	293.02	-0.006
