# PORT_M2_SHEETS_SPEC.md §CC-M2-15.4 corpus-wide MBP-1 event cache (spec_sha16=ec1abc890fa96b6d)
# params_hash=f3c5356e171ad901e2837336c82da2df0bce3b26aff51abeb5daed81e9530306
# one row per CACHED session-asset; sha256 of the npz and of its meta json (bulk stays in artifacts/cache/port/m2/events/, D-018)
# holdout date8 >= 20250701 is EXCLUDED by construction (CC-M2-15.3): 0 such rows
asset	date8	era	n_candidates	n_events	n_seen	n_reordered	cover_sec	session_sec	cover_frac	npz_bytes	npz_sha256	meta_sha256
HG	20210216	PRE_E1	358	446982	446982	1	59904	82800	0.723478	3818186	d2459c6283194c8fe53a688b96a84daaaaf5de860209407157ebe1604cdcba0c	5b2ef0ba6ea56f9ef549aaf42a3bea7eb35216f812aea48f97a5ab613f986740
HG	20210217	PRE_E1	412	456652	456652	0	71995	82800	0.869505	3912861	4e54dec93f2387379bd4fb38a1c2fabc7604bc1a1241fdae2d6fde62f4b0e53c	571fb38b47f53850c2cc7bdbd9830451efc0a21a3aca001e187fc1b13aab6ab8
HG	20210218	PRE_E1	649	833426	833426	0	74203	82800	0.896171	7110767	34714d5b512449fd5d71197773a0fa6af88db85af5d0e06f2f2a2dd262502d38	13c06a34210bb076915ab4af50a6bfb444a6243395396637fe69df48db39f066
HG	20210219	PRE_E1	753	1012832	1012832	0	72524	82800	0.875894	8582997	ffab0d1a768f61311d3333fd4c55e782a924cc5e76856e1c4ad8025fa69afb3e	7c4e63dc9dc14875ac72a24715318e79a95097eec85ec944e4734a5dd6a68203
HG	20210222	PRE_E1	1353	814576	814576	0	80269	82800	0.969432	6932845	cfab76dbc511ba80b884137c3d2993ae2e865de962754506959642034bf6b493	c734d9fa8288eb07b7d8cbb2342b59223df0ea65f519114242ce16ea64d499c3
HG	20210223	PRE_E1	948	929137	929137	0	77882	82800	0.940604	7920246	a2b19ae74111613aead106185be835f5d83939d72a956bbd6840e23f7e4effac	fbdf200aa4ebc5d53e93e89f2755199dbc1e6d9bd2b2543fc564f5817863eb7a
HG	20210224	PRE_E1	823	333232	333232	0	75743	82800	0.914771	2921361	7d64cee5904589f121d6d95bbb8cdcd99d0296dba9a455eaef265cda207e6a3f	a57e2d6cf9e28199a66c7ad453ed07ea415d5d3bd36b37c7e3635edc02a17581
HG	20210225	PRE_E1	970	239506	239506	0	75032	82800	0.906184	2140853	b424f3f76a265aee79530824fa942fffde4c45c405f838fbf7dc4723c4e99947	ca7855c061956803aea551c367d324f75955a4573ba410ec4cb1d37fb38b28d1
HG	20210226	PRE_E1	856	1138091	1138091	0	75501	82800	0.911848	9707444	6125ed1cdfdad3e731b0eb96e9bb32b585d222a4361db269808ee0cf3f274849	e269358462a1ab3f9196fbf1da550e31c5fac6338b5a3b1d845ab8be559c5e79
HG	20210301	PRE_E1	428	618725	618725	0	67263	82800	0.812355	5299379	1644d2ef7a30c52434eb6188985a2c17a5137de8ce6fd05d473bd7e978238de3	d26176724a29247bf2a6e71def19c0cd82ebf1f63875d70d1032e5bc8a0b0bc9
HG	20210302	PRE_E1	509	716313	716313	1	73204	82800	0.884106	6133419	4c7366737dc4cb4db3ff5ebc9e83cefd7a05606238a470863b3fddb8a02ec431	bd00b4e8bf2994e68ae7546051f673d9aec1dda9ec1bec1af52d0ecf477ed6a0
HG	20210303	PRE_E1	414	714676	714676	0	67043	82800	0.809698	6086536	2388f2e8ee26f3b9d09df7fe645eff15e8427b303fce22c845b0f7ad13ed0a30	280654df183418e3aa5e94137abd027767d5322cfd160fb0544888dae49ef812
HG	20210304	PRE_E1	1087	810464	810464	0	77167	82800	0.931969	6914101	8435d507c329cdcabfc48dd03eee6c1c4a43b0267b2dae4bcddd0c40d4279449	42ce5f5a6cb79dbe8b0c867b378c4e71cbca7a5dfb1ec0a93a5a7e29a063d090
HG	20210305	PRE_E1	680	976213	976213	1	73712	82800	0.890242	8290907	a9325e08c48a46fda713e3f5c26a146d8ea98119d713085bcc5b4089b418c904	fd3ecb96d243c3b2dc66512e8936b566a74cd9eea03304ccd11ec0846bd8d8e4
HG	20210308	PRE_E1	480	925681	925681	0	72393	82800	0.874312	7803640	33a7e5701b86f56f3b57624a4839e850b6be7f5692ba81fa5561aac5d7b96ba9	2617994c942dec54d159d20062601c4a197121409b57cadc75704a68c2cd12f0
HG	20210309	PRE_E1	394	722250	722250	0	68026	82800	0.821570	6100604	408136287addb05a4550699479ae3e635df051fb3562e0e0fee2f4a422cc9afa	59c551af808295e9fce24d41840eb0cb3ea732bf83208510a6a652ec8f491e3f
HG	20210310	PRE_E1	291	586879	586879	0	65327	82800	0.788973	4954235	ed412bdfc5872e3f7f3b1ec887f1f24aa3506bb7889c4a04025153c9cef7eae1	9e028e1e28a4292bf5578dbc614a8753972e4b7f0af61d480858fa94f8e8a424
HG	20210311	PRE_E1	256	572229	572229	0	58467	82800	0.706123	4826553	1cd190dd752b7361f765f6c3cad018b28bdba7158d6008ad08c112f3ef226c6b	50887b0cb5bf80ad8c555a02e85beee919a4427e7c537ba51b5bb959374a3a5b
HG	20210312	PRE_E1	209	445757	445757	0	53067	82800	0.640906	3781448	bbaa3a94ebc7a5f51428040159fc572324a09aad89f22c0a4fce86b58a5f5853	d9aa31911e73eb8f796f119c8cebd80dc2025fa751c7b36f9d37dd898d55f29a
HG	20210315	PRE_E1	258	369466	369466	0	59391	82800	0.717283	3167804	f2e27874e9420fa213fadbd25e41d585fa639d00ae740d0104d10bbea349ee44	c398214e0b44d4effc8a6bd0889d61c9d6c19a2baa407fa7b5ce1eafa41e39ea
HG	20210316	PRE_E1	244	385696	385696	0	55835	82800	0.674336	3289334	8ca8524b056aa14692a61d2b6b2fe5f800d4a96892be2287690e17c316c76339	73d4caa9f8b618c8a836047b91b5b412fe4a4e38ce4ab28ab2c0f74a6567d7f6
HG	20210317	PRE_E1	232	345919	345919	0	58111	82800	0.701824	2967095	203530fec9f088f99a1a908bc4c7b6de768a4a7066c4cc11aa07fd28c710c5dc	c737995157788a7926f891768737d581002741d875132326eb5f11b7257cb262
HG	20210318	PRE_E1	253	450700	450700	1	59310	82800	0.716304	3865494	fb99b5c432837d54c3b54b298e0bd5cc85cdd5fcb3899106c34cd4ee7c392875	7fcfcafc4046955285d5e5a81aad52bf6c95308869fdca2020650ac4a6fe5fa1
HG	20210319	PRE_E1	295	482420	482420	0	58813	82800	0.710302	4144561	f968c515c9d9fde8d0d4806001098e2e339ac84d2dfe95a3c270fbf9a150f25e	f6f99fd8c7af4d7f53772d95f8b64f3074bf1201a33cd51ef2ad4fbe781fe561
HG	20210322	PRE_E1	215	364344	364344	1	55868	82800	0.674734	3125570	48a982cd11ee647c3e9b191c2231a240d9be8c608ff32840d62d5914e9f5da1f	3c7e99b7b9f749fe3e74efc81377e18bd0a9631a7c071d93b2938cde2b6092d2
HG	20210323	PRE_E1	360	499511	499511	0	63754	82800	0.769976	4284889	dd0405be659262b107114dec0477105643ca2862809ddd2f1c56fd359f5a61dc	dacb8da6ced4f180a4f6ef170e5b1d1fc78c2a1d71efb03cfbb0cf627343e90c
HG	20210324	PRE_E1	221	446219	446219	0	60212	82800	0.727198	3823790	2fbec647990b38b4f3ecdcfa858cdee23969537c9844c89356e6db7f8e9bea52	016c8846c847a30be2d662a15ef21f49f6aa2e50fc58d3e1d9e120322cebd92f
HG	20210325	PRE_E1	379	656964	656964	1	66883	82800	0.807766	5637420	870a5b5c3a8ccc025a990e6608609d98fad640a4606237da8015ca6bab12a511	c8b46a4cd0bb8dd9830878aa0cd6391f6199749e81cec9bb05bede0cbab3cf0d
HG	20210326	PRE_E1	195	359745	359745	1	54568	82800	0.659034	3099327	5d34eb435bae559c284d0eda032a2b7ef5b9581d64c4a291b78e4428beb24de3	02ce42b882afef149de74d7a84ad3cf9175b60d3aab5c4c8b025e0c7cb332a22
HG	20210329	PRE_E1	253	494063	494063	0	61471	82800	0.742403	4219625	dac676746dd802f8823fd89e251eea631edee97606b085b6f060092978d625e7	377cb77ba71573386cb7380a1e776089f652a5cbb74c35e392d163ea2cec051b
HG	20210330	PRE_E1	278	473966	473966	0	59329	82800	0.716534	4037609	2f8d417aa70447ece5cca5132b561201860fa9d84e2bf555b9d35ba12c6867c7	d8dd0fb2ee99094110ed42a96a60c01e4a46d7807045761de4815d26697ca986
HG	20210331	PRE_E1	204	406099	406099	0	57668	82800	0.696473	3469009	f69e0f5e2f9d4b5f77f9dd5557988a2b04d0ffe0dc43d71533b732a34ad248bd	e78f0e146e1cc89faa539e41b698cdbda816eaf02b0adbdec6b30b11a57f5b17
HG	20210401	PRE_E1	232	469253	469253	0	61536	82800	0.743188	4011014	92ef0066da27d7fee8cbd6b7fd37206d17e0e22d7c0d54611ec653bcbad785c5	c028a265fddd6aa93e7c6fece88605b0b1e6acb3b5420e7ce7c4498946d0dfef
HG	20210405	PRE_E1	282	202755	202755	0	64172	82800	0.775024	1761472	76ea572fe4a3c4e9a88f69d318eac23b04f63b1918625b897b08273080ba2043	eac3c42d111a30a491a68590f457bf9082e4a886dbffd23a22c29d3195b496da
HG	20210406	PRE_E1	308	450543	450543	1	62957	82800	0.760350	3836163	eb47bb24d5651ebf93378e2252eeb2bd6e572c331c3f9bf98bdd1a27dfd5e9e8	3751b6dd0a2e04c8ab29d6ad4a6c338370c2dbca0aa6ca7453846abcbca5791b
HG	20210407	PRE_E1	193	391782	391782	0	49806	82800	0.601522	3340977	5bd53b22c7c84b5e7487965c81c4a02e9c6dbd5d4036b8643ff0e3065c92e756	e4f6d994ff16a122e081173bb02b7951e178013138926b5585b6913e41fc1d49
HG	20210408	PRE_E1	198	375859	375859	0	53990	82800	0.652053	3209151	d0303d91b70d29c72512069aa8ddf891298ee0660f6bc463adcbabb5ad6903cd	6512a28fc6a9a103c8c52ec5386b409665d246a6a7e32ee4eb9b0dc17d51e64e
HG	20210409	PRE_E1	172	330254	330254	0	46576	82800	0.562512	2837133	f87d7f97bf62d6fd0be6e55c405c1bdcd5f05d62fe8e21d60003d1de2aae2314	c640abefe64160cf518b5446ba9d745f0553dbe6f65b4dd446d8ef7954da334d
HG	20210412	PRE_E1	248	414324	414324	0	59661	82800	0.720543	3557308	12d1af7f44c78b41977e0f286cf0fa525321fc8369f99654d7227d78b8d1a94e	80a7b083e910cae171d54a29c4abe461bbb387c61979f2b46e567c33dc6a2a92
HG	20210413	PRE_E1	215	402387	402387	0	52975	82800	0.639795	3435782	9bdea7bb1643d1c957233dd86ac661ae6b4fb1a6ddf446df3e4a5c6b1e9c340f	0a78d3ec305bd53b4358df400c916173b0a3f858e37248aa3dee23357b1a0617
HG	20210414	PRE_E1	218	415351	415351	0	57911	82800	0.699408	3571316	8cd00a1a0c413836654f388eae410bbe0136a34242906a7f32b88c3a5123de9a	819c9666acf7f9b5843283874b322176837ca1efa9f4b726d206a5a2f704da61
HG	20210415	PRE_E1	316	575063	575063	0	63333	82800	0.764891	4945132	f9248cea06a99a9167701ba1e4bca30e105232a429ecebdeb5a6de5e149fc329	b3e89aef24e59a56c6519661401603a8489da0395fd80b30abaa6ab464e7e5e6
HG	20210416	PRE_E1	369	541404	541404	0	63182	82800	0.763068	4608231	64f542535906d3e6c7c9ba6a63ef25cc019274334834630dabe1d6b0cb1a605f	db3b519dcbfaf3f7cddb85d19c4891115b2d64cbc1a64080c873afcdd350db35
HG	20210419	PRE_E1	440	566232	566232	0	61728	82800	0.745507	4801950	db1351c46b1c5e265e15b7543993867c2fb6c56407df3060c29cf3c35790aafd	f50d4b65d1f1053cb176f5290367ec6e320fde0b141e67b3b4d39d10aa906ab9
HG	20210420	PRE_E1	371	527591	527591	1	63610	82800	0.768237	4507857	115f9ced3ce0a56b0ec431bad1fa593be860a6c5ca1b68424fa26dfd93cd504b	cec228e3653319293b226d330ab454c840ef28172265984c7f2b3b2990f867eb
HG	20210421	PRE_E1	333	480698	480698	0	67959	82800	0.820761	4114938	01f02006c4694675acefd315d4b8f2dd8656d8be628c278b014fb5239623d01c	ca2622e329d0342146ae59db7efa767d743424934659a12dc0ba9971082fb755
HG	20210422	PRE_E1	282	501202	501202	0	65632	82800	0.792657	4269316	76110924e2430882e1ebd35b3b22c845a909448f134a74563251678da629f90e	35a3633f98162767f3026742efcf3c4d7f09a4d035caaed12fbf570afb794c7c
HG	20210423	PRE_E1	246	453363	453363	0	56547	82800	0.682935	3864366	8927105b793f61bd5b50d481da5bfd469b334f8d4a9c2ad464b328e31885ea30	afd3502924f99f2849042f53392db88690c8d74086bbd3a65617f4542047db38
HG	20210426	PRE_E1	409	420326	420326	0	62185	82800	0.751027	3595527	8ea1a7df3c7dfcd8a62c53b7889da3a1a10120e1cd029b20dc3a8506821fb056	de2b37ca43493c2753f7a6f9e9c7ff2d5a50bf0ba1b6ceff75c297095d461d25
HG	20210427	PRE_E1	410	447071	447071	1	62738	82800	0.757705	3800729	bb850fba72106e3cf2a87a09e2810fab71bf54d7f2c2b3899edaedf7612ed68c	fb63b5297aa90fc832a4b5fa0add427ca5c990e0144b8015e94a69fc4df96432
HG	20210428	PRE_E1	464	251719	251719	0	73436	82800	0.886908	2192916	1cbb0cc613259cf8b84baed17da9bc8dbbef1fe64ef061670e7ba8ad31eabaab	6ae2673d82da9f0c05a3d04176cd9f0efcc4d6d7130f55e1e0da9242cd63abbf
HG	20210429	PRE_E1	391	181672	181672	0	60143	82800	0.726365	1618991	be911a1e7054898dbbba3e89d2743d3ebd3d5f5f375c05e50165f98d1e68f43b	a4d9b27960ae3fbeb485d1a962090d97989ccfd86435e6b14ca77248df951ee0
HG	20210430	PRE_E1	418	481937	481937	0	63566	82800	0.767705	4096551	31d4a58de9d1558bd2cb74baa958f6a9cbe4b463bcfb56a58f31bec92e4c175e	ccc2c53cd0c1deeb4a0d61c94983a9effd20eaa8c294d739ea9544caa97e9531
HG	20210503	PRE_E1	380	229494	229494	0	68419	82800	0.826316	1992201	2e479b6cac162d1bb2b721cda56a11278d498323667504c5cd81a6cdfbb0e9c7	eb6023c72c7d99ebf4f5a537ecafc9b7ba60ede8f18eaf8244834ab6bcc3fde4
HG	20210504	PRE_E1	432	494128	494128	0	68497	82800	0.827258	4251944	83231c56499dcee1ae5bbc6fe692953e48ddd6bc180970b30b0da193a2555d69	026df3d281fd6c048fd5d07076f9e74caef81fb91d214b15720c86bb387dac71
HG	20210505	PRE_E1	382	390140	390140	0	63091	82800	0.761969	3324781	d51ebfb2c85cc40b615378b320bea3c4c22d0a74ef2089a2430bf44b03efdd73	80b2e80f74bfec2adefce5c9fc0ccad41997fb0ea0dc48da00b69fb4005c5bb9
HG	20210506	PRE_E1	396	589492	589492	0	67619	82800	0.816655	5070156	3620f42576484b61ff4b2e53b7cc1c1074f55d15332ab74b8bdbfe616ee6b980	61c1c184e33de00cfe7b36be805be03d2d1a8376ea04b9863febd9d4c2071598
HG	20210507	PRE_E1	548	698442	698442	0	64566	82800	0.779783	6037933	e93c28f1db07428404622f265620bc74163460151d8ecb6e5e95d43a59cf45bc	5d8bcb9aa0d38ab06577b176c9a2ebe7066cd59412d453007e379fa09906ff0e
HG	20210510	PRE_E1	882	832635	832635	0	72256	82800	0.872657	7093933	327a5eff10f117eacbf8d8166d736c73acb187e983a284855bc4c3419bbf6f01	5e73cd12a85cc0ce156c919068579328c24676f7b0ce2e81b7b1d86472cfdb76
HG	20210511	PRE_E1	634	740590	740590	0	68964	82800	0.832899	6320868	cf80d75b0b1bbc10eec5db80d501eaf8dcab1b167844846c103bb88a501314da	09e09919abedccd9299f3ec246325464fd3fb341997e29d08559680e4fa00f69
HG	20210512	PRE_E1	731	859272	859272	0	75599	82800	0.913031	7321799	500b4e5c61bf87badaba9eac9f92da538f2a87720c7ed259a88bc06c6d2a9019	7eb03d90414cfd3796096a878467a701e27c7a5197a5996ec280f8288479b593
HG	20210513	PRE_E1	687	891311	891311	0	75736	82800	0.914686	7548841	73c727f7f8473b99d94925a205464c991c0a9cc38892dedb8b829d42a8839251	ab315aa3ee1f70491b82b84d393d0834dae840882f5d55dd86c19d099b8cfe13
HG	20210514	PRE_E1	546	745464	745464	0	71186	82800	0.859734	6301386	c7f38f8ce7effa81deebd1b7bf5d256a522dbb1041bafeecdc04a8e6f5af20c6	9297dc4943be5ec479efdbeca9076066bb63702c3ad6829101fbff49231d7a4e
HG	20210517	PRE_E1	357	586137	586137	0	64455	82800	0.778442	5000511	fceb5fd7c40ba4e64e32c90ad488171380e3ca611b4dcbd73786c5f3150a81fd	749c4bb37bb3c593a0e1b29ef026f51e5b3337d266c12609054360a89721b30e
HG	20210518	PRE_E1	411	581650	581650	0	68211	82800	0.823804	4930472	d5880521852a7cd18e167e8cfc0cd3ef3f1ed9d3d308989d60c2805fcb816c9f	f77b87e6f817286724254efe19bc9ebe6cd07b067ae1f2c155cce192baa5177f
HG	20210519	PRE_E1	704	957822	957822	0	73699	82800	0.890085	8150257	f512cf4616c9a50a350ccba085944b1bd1963305a2c1f370e68574ddddf65b05	ebe98e6a076312b324f03b60950de71babcbfc905fe068112b213d93776b213e
HG	20210520	PRE_E1	420	746011	746011	0	68840	82800	0.831401	6288514	604884bd782e5ef15b0ec673cb696ac0425dfc06d6b9362503c3c7fec704c3c1	a6e7758ad5ed68ab50c70d1593d55b52e921454eb84de3d3edda99dbd352940e
HG	20210521	PRE_E1	503	712248	712248	0	67574	82800	0.816111	6053775	e95e5894b13109ecdc3db985c2b48d81581c75e471fad9c7a3da21554f10124b	1e354607ce53be79ae4b94df351e14af27c297ded9920f49638fa408fd17a279
HG	20210524	PRE_E1	484	537859	537859	0	62981	82800	0.760640	4561174	2b348e0a338751d9de79f741a2630520491063890c1b530b1d1da3ac9b7f0cb5	803cf7cf4c705449f82d32fdda80badb4be0de2022a714c435708e78e26044f6
HG	20210525	PRE_E1	449	590833	590833	0	64195	82800	0.775302	5044457	d798ae3528a6e898a09e3f9f07b36a4683b757b4db59073727dcda3360c70d9d	e9efe560a17f5e859dfc1bb547b8be41dcb558546be348f912bd4faab487c38a
HG	20210526	PRE_E1	299	505930	505930	0	62499	82800	0.754819	4312358	7c6ba708356820174cd18f739d8917f5f332a3e11d37073b29a1f705043c06ce	4b514e98d3fe2151d41166413014045f120d5cbbf65266f9c32410d58462ff19
HG	20210527	PRE_E1	308	548392	548392	0	58474	82800	0.706208	4655429	6da0221d09ebe5a172c1c7526651ffee1178fd0f6bfd65717193b44a166504c6	fd0b70fdc891547df0f98c5deca6de4c5bf6782db3715cf708a81b930422645c
HG	20210528	PRE_E1	409	660502	660502	0	63371	82800	0.765350	5570239	0ed0849836787ed8efb5b3c120b1b0191ebc270f8aef0beddc656ab1908ca487	53296bc7343c45ddbc1d205dac2c57837f1c0109b926ea71b233369b379399a4
HG	20210531	PRE_E1	239	231228	231228	1	49948	82800	0.603237	1968668	1857bcc80c30c8b9c427df3604a175d4d6e09aa1e645811feaf279e5d93b5ea9	fcb0c17d3098d60538f144d2cd2d7856cb2185379c837936086697fd8cc1f2a5
HG	20210601	PRE_E1	411	617565	617565	0	64414	82800	0.777947	5225611	5841546bd6b0d241a2a23a8e1d845ee5ab1a345f701cea3bdc2bab3bbb504ce2	1e365a4a3e1da45906a4be2bbcfaff68ca8c830d422caf33fcd73738f85417b4
HG	20210602	PRE_E1	327	487746	487746	0	59595	82800	0.719746	4147406	4aad8b45ce821fa23e4a9c3d26681eb0e24aca14775ee58f3be302c56281a34e	c0013190214bc37b630e31ce51b4ba10abc409e2c0d43fab1b1bb313016ead0c
HG	20210603	PRE_E1	449	723753	723753	0	58526	82800	0.706836	6121221	d0e10d99dcf449af162a9c95fbb09d5f63012af39cdb806a8fca9b27d27997cd	b6e512b56bf7dfe206d97d28adbbdc6021cea27c49e7f0f04b26a687e4730d71
HG	20210604	PRE_E1	330	565069	565069	0	58732	82800	0.709324	4766682	c163ee6043aabcbe67b495cb5a1e08f2d399f189a51e3e96573973416c1c1ea4	bed493b5c90cf2eca2edf0875ceeeaf4ba8464314822df4f0c7527bec60f61f4
HG	20210607	PRE_E1	254	344769	344769	0	54688	82800	0.660483	2932033	6ed9a55cfffca1aefe5f78bd8cbbedbe6d4dcf872336a198d5a50bdae83c6a93	b441619a39dd347cf78b3547e287792f87ae3499f50216ee6aea97cb07d8ec30
HG	20210608	PRE_E1	301	514326	514326	0	55854	82800	0.674565	4349495	5ed0859d61962d275eff2216fb3e9c834e5b11a9701b76ccfb9bf9408836ab36	60bc28821c86827acf8757867822eefce40927ade3a114dfeab0df2ed47fe81f
HG	20210609	PRE_E1	257	438934	438934	0	57259	82800	0.691534	3706635	1331258230902765ec4bf6dc6e42da6da2db74bdfc72a7e8f11f046bf0e13230	2fdf5d286e83abf0fb6e05a12cc134339af7926c14b70e49e4d039e31a2291b7
HG	20210610	PRE_E1	382	551688	551688	0	56330	82800	0.680314	4672389	bf869eef35046e426fe167e4dcedfb435d6f9a31f102dcbe9aae5036ad2b1d27	cf39ed8f4b3d51d987dceee0daff777a5058706709d2c68ae41c8eae8ac8b0a0
HG	20210611	PRE_E1	343	467382	467382	0	61817	82800	0.746582	3956062	689e51eae0b585f1388333cc488270a9af7fbc96c6f7597e5d1adbb79b710ece	7ae065ff99e1c3a270d5b91575a7c3dbfc91bfdf86fa14359729876070e8fee6
HG	20210614	PRE_E1	276	291963	291963	0	61189	82800	0.738998	2483268	adc35686df2d315620399b5933b2fe4e4738d936c1ffc012111cc6c7a8f32830	85d0ca837ea5c6423099720e1c8157a657d67ef2931d5a1690c5ecf95ef5dcf8
HG	20210615	PRE_E1	534	704435	704435	1	66348	82800	0.801304	5884190	bd5c684e6cc7f0ef7062b16febc19dda190dd9a107aa9f293e058b52684cfe71	3ce40906411d16fff4169fb3fbed0645f273c1ef20b66e6df58c6df05cec0c2a
HG	20210616	PRE_E1	489	559559	559559	0	69801	82800	0.843007	4736085	af3ef0e11ad99aab9c7f254c9fe92251a0157d85b936d160d6fff188e4a384e4	bcb52470165bc7d165b7023949221d4dd54cc1364769dc81325dee0d8a271f2f
HG	20210617	PRE_E1	529	734957	734957	1	74372	82800	0.898213	6228326	c490bd76454abcd83b415aa66185b588512a2853cf607adf9385b2de62e29206	4ee4c55d2cacc3ca14ca10c8978eb012e31be3080c468fb1aaca2efe6a21f894
