# census 4 — the trend entries gated by the [conf, entry] post-window decidability block (m2_delay._post_path features, walk-forward GBT), $/trade by gate keep-fraction (PORT-M2-GOALPATH-V1)
cell	era	gate_keep_frac	n	usd_per_trade	win_rate	ungated_usd_per_trade
TREND_1800|RECLAIM|TRAIL_1.0R	E3	0.05	3542	26.86	0.3975	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E3	0.1	7085	10.01	0.3829	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E3	0.2	14171	4.92	0.3677	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E3	0.3	21257	-1.22	0.3559	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E3	0.5	35429	-8.39	0.3413	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E3	1	70858	-18.23	0.3252	-18.23
TREND_1800|RECLAIM|TRAIL_1.0R	E4	0.05	3446	17.75	0.399	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E4	0.1	6893	5.62	0.3858	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E4	0.2	13786	-10.71	0.3652	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E4	0.3	20679	-14.32	0.3555	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E4	0.5	34465	-18.04	0.3411	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E4	1	68931	-21.1	0.3317	-21.1
TREND_1800|RECLAIM|TRAIL_1.0R	E5	0.05	3559	62.81	0.4057	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E5	0.1	7118	12.3	0.3734	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E5	0.2	14237	-1.31	0.3658	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E5	0.3	21356	-8.78	0.3524	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E5	0.5	35594	-13.53	0.34	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E5	1	71188	-23.61	0.3259	-23.61
TREND_1800|RECLAIM|TRAIL_1.0R	E6	0.05	3793	86	0.4218	-18.69
TREND_1800|RECLAIM|TRAIL_1.0R	E6	0.1	7586	42.91	0.3955	-18.69
TREND_1800|RECLAIM|TRAIL_1.0R	E6	0.2	15173	11.92	0.3734	-18.69
TREND_1800|RECLAIM|TRAIL_1.0R	E6	0.3	22760	2.28	0.3611	-18.69
TREND_1800|RECLAIM|TRAIL_1.0R	E6	0.5	37934	-6.1	0.3501	-18.69
TREND_1800|RECLAIM|TRAIL_1.0R	E6	1	75868	-18.69	0.3326	-18.69
TREND_1800|SWING|TRAIL_1.0R	E3	0.05	3424	-11.12	0.3391	-27.46
TREND_1800|SWING|TRAIL_1.0R	E3	0.1	6849	-16.68	0.3253	-27.46
TREND_1800|SWING|TRAIL_1.0R	E3	0.2	13699	-18.78	0.3059	-27.46
TREND_1800|SWING|TRAIL_1.0R	E3	0.3	20549	-21.24	0.2948	-27.46
TREND_1800|SWING|TRAIL_1.0R	E3	0.5	34249	-23.06	0.2831	-27.46
TREND_1800|SWING|TRAIL_1.0R	E3	1	68499	-27.46	0.2679	-27.46
TREND_1800|SWING|TRAIL_1.0R	E4	0.05	3385	-10.53	0.3318	-24.04
TREND_1800|SWING|TRAIL_1.0R	E4	0.1	6771	-13.04	0.3335	-24.04
TREND_1800|SWING|TRAIL_1.0R	E4	0.2	13543	-14.68	0.3249	-24.04
TREND_1800|SWING|TRAIL_1.0R	E4	0.3	20314	-16.13	0.3131	-24.04
TREND_1800|SWING|TRAIL_1.0R	E4	0.5	33858	-18.75	0.299	-24.04
TREND_1800|SWING|TRAIL_1.0R	E4	1	67716	-24.04	0.2834	-24.04
TREND_1800|SWING|TRAIL_1.0R	E5	0.05	3432	-25.37	0.317	-26.84
TREND_1800|SWING|TRAIL_1.0R	E5	0.1	6865	-23.98	0.3058	-26.84
TREND_1800|SWING|TRAIL_1.0R	E5	0.2	13730	-20.31	0.3011	-26.84
TREND_1800|SWING|TRAIL_1.0R	E5	0.3	20595	-18.85	0.3007	-26.84
TREND_1800|SWING|TRAIL_1.0R	E5	0.5	34326	-20.18	0.2901	-26.84
TREND_1800|SWING|TRAIL_1.0R	E5	1	68653	-26.84	0.2722	-26.84
TREND_1800|SWING|TRAIL_1.0R	E6	0.05	3735	-11.9	0.34	-25.27
TREND_1800|SWING|TRAIL_1.0R	E6	0.1	7470	-14.5	0.3284	-25.27
TREND_1800|SWING|TRAIL_1.0R	E6	0.2	14941	-16.26	0.3172	-25.27
TREND_1800|SWING|TRAIL_1.0R	E6	0.3	22411	-16.54	0.3087	-25.27
TREND_1800|SWING|TRAIL_1.0R	E6	0.5	37353	-16.96	0.3018	-25.27
TREND_1800|SWING|TRAIL_1.0R	E6	1	74706	-25.27	0.2836	-25.27
TREND_3600|EXT|TRAIL_1.0R	E3	0.05	3568	58.53	0.4285	-15.02
TREND_3600|EXT|TRAIL_1.0R	E3	0.1	7136	21.77	0.4019	-15.02
TREND_3600|EXT|TRAIL_1.0R	E3	0.2	14273	1.53	0.3858	-15.02
TREND_3600|EXT|TRAIL_1.0R	E3	0.3	21410	0.47	0.389	-15.02
TREND_3600|EXT|TRAIL_1.0R	E3	0.5	35683	-7.95	0.384	-15.02
TREND_3600|EXT|TRAIL_1.0R	E3	1	71367	-15.02	0.3849	-15.02
TREND_3600|EXT|TRAIL_1.0R	E4	0.05	3484	7.9	0.442	-19.44
TREND_3600|EXT|TRAIL_1.0R	E4	0.1	6968	-2.94	0.4238	-19.44
TREND_3600|EXT|TRAIL_1.0R	E4	0.2	13936	-10.12	0.4111	-19.44
TREND_3600|EXT|TRAIL_1.0R	E4	0.3	20904	-15.87	0.4006	-19.44
TREND_3600|EXT|TRAIL_1.0R	E4	0.5	34840	-21.57	0.3876	-19.44
TREND_3600|EXT|TRAIL_1.0R	E4	1	69680	-19.44	0.3892	-19.44
TREND_3600|EXT|TRAIL_1.0R	E5	0.05	3592	88.23	0.4761	-28.4
TREND_3600|EXT|TRAIL_1.0R	E5	0.1	7184	17.63	0.4257	-28.4
TREND_3600|EXT|TRAIL_1.0R	E5	0.2	14369	-8.28	0.4011	-28.4
TREND_3600|EXT|TRAIL_1.0R	E5	0.3	21554	-13.88	0.3954	-28.4
TREND_3600|EXT|TRAIL_1.0R	E5	0.5	35923	-25.55	0.3794	-28.4
TREND_3600|EXT|TRAIL_1.0R	E5	1	71847	-28.4	0.3827	-28.4
TREND_3600|EXT|TRAIL_1.0R	E6	0.05	3825	142.53	0.4722	-11.89
TREND_3600|EXT|TRAIL_1.0R	E6	0.1	7650	62.87	0.434	-11.89
TREND_3600|EXT|TRAIL_1.0R	E6	0.2	15300	23.26	0.4095	-11.89
