ep	asset	rep_close	rep_mae	rep_win	best_close	n_win	oracle
HG-20240118-L-E39	HG	-268	625	0	-268	0	0
HG-20240118-L-E40	HG	-68	425	0	-68	0	0
HG-20240118-L-E41	HG	-80	437	0	-68	0	0
HG-20240118-L-E42	HG	-93	450	0	-93	0	0
HG-20240118-L-E43	HG	32	325	0	32	0	0
HG-20240118-L-E44	HG	32	325	0	45	0	0
HG-20240118-L-E45	HG	45	312	0	45	0	0
HG-20240118-L-E46	HG	32	325	0	32	0	0
HG-20240118-L-E47	HG	7	350	0	7	0	0
HG-20240118-L-E48	HG	620	412	0	620	0	0
HG-20240118-L-E49	HG	607	425	0	620	0	0
HG-20240118-L-E50	HG	507	525	0	507	0	0
HG-20240118-L-E51	HG	645	387	0	645	0	0
HG-20240118-L-E52	HG	683	350	0	683	0	0
HG-20240118-L-E53	HG	745	287	0	745	0	0
HG-20240118-L-E54	HG	858	175	0	858	0	0
HG-20240118-L-E55	HG	795	237	0	795	0	0
HG-20240118-L-E56	HG	883	150	0	895	0	0
HG-20240118-L-E57	HG	945	87	0	945	0	1
HG-20240118-L-E58	HG	783	250	0	845	0	0
HG-20240118-L-E59	HG	870	162	0	870	0	0
HG-20240118-L-E60	HG	901	131	0	920	0	0
HG-20240118-L-E61	HG	945	87	0	945	0	0
HG-20240118-L-E62	HG	932	100	0	932	0	0
HG-20240118-L-E63	HG	932	25	0	945	0	0
HG-20240118-L-E64	HG	832	125	0	870	0	0
HG-20240118-L-E65	HG	858	100	0	920	0	0
HG-20240118-L-E66	HG	832	38	0	832	0	0
HG-20240118-L-E67	HG	645	62	0	695	0	0
HG-20240118-L-E68	HG	507	150	0	507	0	0
HG-20240118-L-E69	HG	595	38	0	595	0	0
HG-20240118-L-E70	HG	570	63	0	607	0	0
HG-20240118-L-E71	HG	558	50	0	558	0	0
HG-20240118-L-E72	HG	583	25	0	583	0	0
HG-20240118-L-E73	HG	507	38	0	533	0	0
HG-20240118-L-E74	HG	370	13	0	370	0	0
HG-20240118-L-E75	HG	158	212	0	220	0	0
HG-20240118-L-E76	HG	120	250	0	158	0	0
HG-20240118-L-E77	HG	158	212	0	158	0	0
HG-20240118-L-E78	HG	145	225	0	145	0	0
HG-20240118-L-E79	HG	195	175	0	195	0	0
HG-20240118-L-E80	HG	270	100	0	270	0	0
HG-20240118-L-E81	HG	245	125	0	258	0	0
HG-20240118-L-E82	HG	270	50	0	270	0	0
HG-20240118-L-E83	HG	201	119	0	220	0	0
HG-20240118-L-E84	HG	258	62	0	258	0	0
HG-20240118-L-E85	HG	270	13	0	270	0	0
HG-20240118-L-E86	HG	170	38	0	170	0	0
HG-20240118-L-E87	HG	107	88	0	107	0	0
HG-20240118-L-E88	HG	70	125	0	70	0	0
HG-20240118-L-E89	HG	114	19	0	114	0	0
HG-20240118-L-E90	HG	107	0	0	107	0	0
HG-20240118-L-E91	HG	70	0	0	70	0	0
HG-20240118-L-E92	HG	-5	0	0	-5	0	0
HG-20240118-S-E01	HG	-442	450	0	-442	0	0
HG-20240118-S-E02	HG	-455	462	0	-455	0	0
HG-20240118-S-E03	HG	-480	487	0	-480	0	0
HG-20240118-S-E04	HG	-230	237	0	-230	0	0
HG-20240118-S-E05	HG	-211	219	0	-211	0	0
HG-20240118-S-E06	HG	-230	237	0	-230	0	0
HG-20240118-S-E07	HG	-293	300	0	-293	0	0
HG-20240118-S-E08	HG	-380	387	0	-380	0	0
HG-20240118-S-E09	HG	-299	306	0	-299	0	0
HG-20240118-S-E10	HG	-193	200	0	-193	0	0
HG-20240118-S-E100	HG	-305	0	0	-305	0	0
HG-20240118-S-E101	HG	-168	81	0	-168	0	0
HG-20240118-S-E102	HG	-149	63	0	-149	0	0
HG-20240118-S-E103	HG	-155	0	0	-155	0	0
HG-20240118-S-E104	HG	-193	13	0	-193	0	0
HG-20240118-S-E105	HG	-193	0	0	-193	0	0
HG-20240118-S-E106	HG	-68	0	0	-68	0	0
HG-20240118-S-E11	HG	-267	275	0	-267	0	0
HG-20240118-S-E12	HG	-367	375	0	-367	0	0
HG-20240118-S-E13	HG	-367	375	0	-367	0	0
HG-20240118-S-E14	HG	-418	425	0	-418	0	0
HG-20240118-S-E15	HG	-436	444	0	-436	0	0
HG-20240118-S-E16	HG	-580	587	0	-580	0	0
HG-20240118-S-E17	HG	-380	387	0	-380	0	0
HG-20240118-S-E18	HG	-330	337	0	-330	0	0
HG-20240118-S-E19	HG	-342	350	0	-342	0	0
HG-20240118-S-E20	HG	-393	400	0	-393	0	0
HG-20240118-S-E21	HG	-430	437	0	-430	0	0
HG-20240118-S-E22	HG	-455	462	0	-455	0	0
HG-20240118-S-E23	HG	-442	450	0	-442	0	0
HG-20240118-S-E24	HG	-530	537	0	-530	0	0
HG-20240118-S-E25	HG	-461	469	0	-461	0	0
HG-20240118-S-E26	HG	-242	250	0	-242	0	0
HG-20240118-S-E27	HG	-167	175	0	-167	0	0
HG-20240118-S-E28	HG	-130	137	0	-130	0	0
HG-20240118-S-E29	HG	-155	162	0	-149	0	0
HG-20240118-S-E30	HG	633	31	0	645	0	1
HG-20240118-S-E31	HG	607	25	0	607	0	0
HG-20240118-S-E32	HG	520	25	0	520	0	0
HG-20240118-S-E33	HG	483	62	0	483	0	0
HG-20240118-S-E34	HG	507	38	0	507	0	0
HG-20240118-S-E35	HG	458	13	0	458	0	0
HG-20240118-S-E36	HG	407	0	0	407	0	0
HG-20240118-S-E37	HG	307	19	0	307	0	0
HG-20240118-S-E38	HG	233	50	0	233	0	0
HG-20240118-S-E39	HG	251	25	0	251	0	0
HG-20240118-S-E40	HG	170	87	0	170	0	0
HG-20240118-S-E41	HG	33	225	0	33	0	0
HG-20240118-S-E42	HG	20	238	0	20	0	0
HG-20240118-S-E43	HG	95	162	0	95	0	0
HG-20240118-S-E44	HG	245	13	0	245	0	0
HG-20240118-S-E45	HG	95	69	0	120	0	0
HG-20240118-S-E46	HG	20	144	0	20	0	0
HG-20240118-S-E47	HG	7	156	0	20	0	0
HG-20240118-S-E48	HG	39	125	0	39	0	0
HG-20240118-S-E49	HG	7	156	0	7	0	0
HG-20240118-S-E50	HG	7	156	0	7	0	0
HG-20240118-S-E51	HG	-142	306	0	-142	0	0
HG-20240118-S-E52	HG	-92	256	0	-92	0	0
HG-20240118-S-E53	HG	-130	294	0	-130	0	0
HG-20240118-S-E54	HG	-705	194	0	-705	0	0
HG-20240118-S-E55	HG	-718	206	0	-718	0	0
HG-20240118-S-E56	HG	-611	100	0	-611	0	0
HG-20240118-S-E57	HG	-580	12	0	-580	0	0
HG-20240118-S-E58	HG	-618	50	0	-618	0	0
HG-20240118-S-E59	HG	-630	13	0	-630	0	0
HG-20240118-S-E60	HG	-705	31	0	-705	0	0
HG-20240118-S-E61	HG	-818	125	0	-780	0	0
HG-20240118-S-E62	HG	-880	187	0	-880	0	0
HG-20240118-S-E63	HG	-842	150	0	-842	0	0
HG-20240118-S-E64	HG	-836	144	0	-742	0	0
HG-20240118-S-E65	HG	-793	13	0	-793	0	0
HG-20240118-S-E66	HG	-918	187	0	-918	0	0
HG-20240118-S-E67	HG	-918	219	0	-918	0	0
HG-20240118-S-E68	HG	-867	50	0	-855	0	0
HG-20240118-S-E69	HG	-918	125	0	-918	0	0
HG-20240118-S-E70	HG	-918	50	0	-918	0	0
HG-20240118-S-E71	HG	-918	75	0	-918	0	0
HG-20240118-S-E72	HG	-918	100	0	-918	0	0
HG-20240118-S-E73	HG	-918	50	0	-918	0	0
HG-20240118-S-E74	HG	-918	6	0	-918	0	0
HG-20240118-S-E75	HG	-918	75	0	-918	0	0
HG-20240118-S-E76	HG	-918	75	0	-918	0	0
HG-20240118-S-E77	HG	-918	12	0	-918	0	0
HG-20240118-S-E78	HG	-830	13	0	-830	0	0
HG-20240118-S-E79	HG	-886	6	0	-855	0	0
HG-20240118-S-E80	HG	-705	0	0	-705	0	0
HG-20240118-S-E81	HG	-555	13	0	-555	0	0
HG-20240118-S-E82	HG	-555	13	0	-555	0	0
HG-20240118-S-E83	HG	-693	0	0	-630	0	0
HG-20240118-S-E84	HG	-642	0	0	-642	0	0
HG-20240118-S-E85	HG	-630	0	0	-630	0	0
HG-20240118-S-E86	HG	-280	138	0	-255	0	0
HG-20240118-S-E87	HG	-218	75	0	-218	0	0
HG-20240118-S-E88	HG	-280	138	0	-268	0	0
HG-20240118-S-E89	HG	-168	0	0	-168	0	0
HG-20240118-S-E90	HG	-193	13	0	-193	0	0
HG-20240118-S-E91	HG	-230	38	0	-230	0	0
HG-20240118-S-E92	HG	-274	69	0	-274	0	0
HG-20240118-S-E93	HG	-280	75	0	-280	0	0
HG-20240118-S-E94	HG	-324	119	0	-299	0	0
HG-20240118-S-E95	HG	-280	75	0	-280	0	0
HG-20240118-S-E96	HG	-280	38	0	-280	0	0
HG-20240118-S-E97	HG	-405	0	0	-405	0	0
HG-20240118-S-E98	HG	-293	13	0	-293	0	0
HG-20240118-S-E99	HG	-318	38	0	-318	0	0
NKD-20240118-L-E01	NKD	408	675	0	408	0	0
NKD-20240118-L-E02	NKD	482	600	0	482	0	0
NKD-20240118-L-E03	NKD	532	550	0	532	0	0
NKD-20240118-L-E04	NKD	558	525	0	632	0	0
NKD-20240118-L-E05	NKD	895	188	0	895	0	1
NKD-20240118-L-E06	NKD	758	75	0	758	0	0
NKD-20240118-L-E07	NKD	782	50	0	782	0	0
NKD-20240118-L-E08	NKD	-955	975	0	-18	0	0
NKD-20240118-L-E09	NKD	132	700	0	345	0	0
NKD-20240118-L-E10	NKD	382	450	0	382	0	0
NKD-20240118-L-E100	NKD	1045	188	1	1108	2	0
NKD-20240118-L-E101	NKD	1158	75	1	1158	1	0
NKD-20240118-L-E102	NKD	1070	12	1	1070	2	0
NKD-20240118-L-E103	NKD	858	75	0	858	0	0
NKD-20240118-L-E104	NKD	795	38	0	795	0	0
NKD-20240118-L-E105	NKD	458	125	0	458	0	0
NKD-20240118-L-E106	NKD	458	12	0	458	0	0
NKD-20240118-L-E107	NKD	382	25	0	382	0	0
NKD-20240118-L-E108	NKD	82	0	0	82	0	0
NKD-20240118-L-E109	NKD	-55	0	0	-55	0	0
NKD-20240118-L-E11	NKD	295	538	0	295	0	0
NKD-20240118-L-E110	NKD	-5	12	0	-5	0	0
NKD-20240118-L-E12	NKD	-955	925	0	-955	0	0
NKD-20240118-L-E13	NKD	-30	862	0	82	0	0
NKD-20240118-L-E14	NKD	532	300	0	582	0	0
NKD-20240118-L-E15	NKD	658	175	0	658	0	0
NKD-20240118-L-E16	NKD	382	450	0	382	0	0
NKD-20240118-L-E17	NKD	282	550	0	282	0	0
NKD-20240118-L-E18	NKD	8	825	0	8	0	0
NKD-20240118-L-E19	NKD	-955	900	0	-955	0	0
NKD-20240118-L-E20	NKD	-18	850	0	58	0	0
NKD-20240118-L-E21	NKD	-955	1200	0	-955	0	0
NKD-20240118-L-E22	NKD	-955	1412	0	-955	0	0
NKD-20240118-L-E23	NKD	-955	1262	0	-955	0	0
NKD-20240118-L-E24	NKD	-955	1088	0	-955	0	0
NKD-20240118-L-E25	NKD	-955	1275	0	-955	0	0
NKD-20240118-L-E26	NKD	-955	1300	0	-955	0	0
NKD-20240118-L-E27	NKD	-955	962	0	-955	0	0
NKD-20240118-L-E28	NKD	-955	900	0	-955	0	0
NKD-20240118-L-E29	NKD	-955	1038	0	-955	0	0
NKD-20240118-L-E30	NKD	-955	1150	0	-955	0	0
NKD-20240118-L-E31	NKD	-955	1250	0	-955	0	0
NKD-20240118-L-E32	NKD	-955	1300	0	-955	0	0
NKD-20240118-L-E33	NKD	-955	1050	0	-955	0	0
NKD-20240118-L-E34	NKD	-955	900	0	-955	0	0
NKD-20240118-L-E35	NKD	8	825	0	8	0	0
NKD-20240118-L-E36	NKD	595	238	0	595	0	0
NKD-20240118-L-E37	NKD	808	25	0	808	0	0
NKD-20240118-L-E38	NKD	708	88	0	708	0	0
NKD-20240118-L-E39	NKD	658	138	0	658	0	0
NKD-20240118-L-E40	NKD	482	312	0	482	0	0
NKD-20240118-L-E41	NKD	508	288	0	508	0	0
NKD-20240118-L-E42	NKD	658	138	0	658	0	0
NKD-20240118-L-E43	NKD	620	175	0	620	0	0
NKD-20240118-L-E44	NKD	558	175	0	582	0	0
NKD-20240118-L-E45	NKD	632	100	0	670	0	0
NKD-20240118-L-E46	NKD	582	100	0	582	0	0
NKD-20240118-L-E47	NKD	470	212	0	470	0	0
NKD-20240118-L-E48	NKD	482	62	0	482	0	0
NKD-20240118-L-E49	NKD	-18	150	0	-18	0	0
NKD-20240118-L-E50	NKD	-118	250	0	-118	0	0
NKD-20240118-L-E51	NKD	120	238	0	120	0	0
NKD-20240118-L-E52	NKD	82	275	0	82	0	0
NKD-20240118-L-E53	NKD	58	300	0	58	0	0
NKD-20240118-L-E54	NKD	-5	362	0	-5	0	0
NKD-20240118-L-E55	NKD	182	138	0	182	0	0
NKD-20240118-L-E56	NKD	195	125	0	195	0	0
NKD-20240118-L-E57	NKD	182	138	0	182	0	0
NKD-20240118-L-E58	NKD	-5	325	0	-5	0	0
NKD-20240118-L-E59	NKD	32	288	0	32	0	0
NKD-20240118-L-E60	NKD	145	175	0	145	0	0
NKD-20240118-L-E61	NKD	70	250	0	70	0	0
NKD-20240118-L-E62	NKD	-92	412	0	-68	0	0
NKD-20240118-L-E63	NKD	20	300	0	20	0	0
NKD-20240118-L-E64	NKD	-68	388	0	-68	0	0
NKD-20240118-L-E65	NKD	-5	325	0	-5	0	0
NKD-20240118-L-E66	NKD	208	62	0	208	0	1
NKD-20240118-L-E67	NKD	108	25	0	108	0	0
NKD-20240118-L-E68	NKD	70	12	0	70	0	0
NKD-20240118-L-E69	NKD	2095	0	1	2095	1	1
NKD-20240118-L-E70	NKD	1758	12	1	1758	1	0
NKD-20240118-L-E71	NKD	1345	250	1	1345	1	0
NKD-20240118-L-E72	NKD	1295	300	1	1295	1	0
NKD-20240118-L-E73	NKD	1220	375	0	1220	0	0
NKD-20240118-L-E74	NKD	1458	138	1	1458	1	0
NKD-20240118-L-E75	NKD	1308	288	1	1382	3	0
NKD-20240118-L-E76	NKD	1545	50	1	1545	1	0
NKD-20240118-L-E77	NKD	1432	162	1	1432	1	0
NKD-20240118-L-E78	NKD	1270	325	0	1270	0	0
NKD-20240118-L-E79	NKD	1558	0	1	1558	1	0
NKD-20240118-L-E80	NKD	1370	100	1	1445	10	0
NKD-20240118-L-E81	NKD	1282	150	1	1282	1	0
NKD-20240118-L-E82	NKD	1182	150	1	1282	5	0
NKD-20240118-L-E83	NKD	1132	150	1	1132	1	0
NKD-20240118-L-E84	NKD	882	400	0	882	0	0
NKD-20240118-L-E85	NKD	932	350	0	932	0	0
NKD-20240118-L-E86	NKD	645	638	0	682	0	0
NKD-20240118-L-E87	NKD	632	650	0	708	0	0
NKD-20240118-L-E88	NKD	632	650	0	632	0	0
NKD-20240118-L-E89	NKD	645	638	0	645	0	0
NKD-20240118-L-E90	NKD	832	450	0	858	0	0
NKD-20240118-L-E91	NKD	782	500	0	795	0	0
NKD-20240118-L-E92	NKD	658	625	0	658	0	0
NKD-20240118-L-E93	NKD	558	725	0	558	0	0
NKD-20240118-L-E94	NKD	908	375	0	908	0	0
NKD-20240118-L-E95	NKD	832	450	0	832	0	0
NKD-20240118-L-E96	NKD	845	438	0	845	0	0
NKD-20240118-L-E97	NKD	920	362	0	920	0	0
NKD-20240118-L-E98	NKD	845	438	0	845	0	0
NKD-20240118-L-E99	NKD	1045	188	1	1045	2	0
NKD-20240118-S-E01	NKD	-955	112	0	-955	0	0
NKD-20240118-S-E02	NKD	-955	150	0	-955	0	0
NKD-20240118-S-E03	NKD	-955	150	0	-955	0	0
NKD-20240118-S-E04	NKD	-955	262	0	-955	0	0
NKD-20240118-S-E05	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E06	NKD	-955	75	0	-955	0	0
NKD-20240118-S-E07	NKD	-955	50	0	-955	0	0
NKD-20240118-S-E08	NKD	-955	1362	0	-955	0	0
NKD-20240118-S-E09	NKD	-955	1512	0	-130	0	0
NKD-20240118-S-E10	NKD	-80	775	0	158	0	0
NKD-20240118-S-E100	NKD	-955	238	0	-955	0	0
NKD-20240118-S-E101	NKD	-955	375	0	-955	0	0
NKD-20240118-S-E102	NKD	-818	175	0	-818	0	0
NKD-20240118-S-E103	NKD	-792	150	0	-792	0	0
NKD-20240118-S-E104	NKD	-955	175	0	-955	0	0
NKD-20240118-S-E105	NKD	-955	25	0	-955	0	0
NKD-20240118-S-E106	NKD	-955	175	0	-955	0	0
NKD-20240118-S-E107	NKD	-955	25	0	-955	0	0
NKD-20240118-S-E108	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E109	NKD	-955	112	0	-955	0	0
NKD-20240118-S-E11	NKD	-955	912	0	-92	0	0
NKD-20240118-S-E110	NKD	-955	12	0	-955	0	0
NKD-20240118-S-E111	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E112	NKD	-955	25	0	-955	0	0
NKD-20240118-S-E113	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E114	NKD	-668	0	0	-668	0	0
NKD-20240118-S-E115	NKD	-592	25	0	-592	0	0
NKD-20240118-S-E116	NKD	-642	0	0	-642	0	0
NKD-20240118-S-E117	NKD	-192	12	0	-192	0	0
NKD-20240118-S-E118	NKD	-18	50	0	-18	0	0
NKD-20240118-S-E119	NKD	-105	0	0	-105	0	0
NKD-20240118-S-E12	NKD	-955	1112	0	-955	0	0
NKD-20240118-S-E120	NKD	-205	0	0	-205	0	0
NKD-20240118-S-E13	NKD	-955	1100	0	-168	0	0
NKD-20240118-S-E14	NKD	-192	888	0	-168	0	0
NKD-20240118-S-E15	NKD	-955	988	0	-168	0	0
NKD-20240118-S-E16	NKD	-118	812	0	-118	0	0
NKD-20240118-S-E17	NKD	-955	1012	0	-955	0	0
NKD-20240118-S-E18	NKD	-955	1262	0	-955	0	0
NKD-20240118-S-E19	NKD	-955	1238	0	-955	0	0
NKD-20240118-S-E20	NKD	-955	1262	0	-955	0	0
NKD-20240118-S-E21	NKD	-955	1338	0	-955	0	0
NKD-20240118-S-E22	NKD	-955	1312	0	-955	0	0
NKD-20240118-S-E23	NKD	-955	975	0	-955	0	0
NKD-20240118-S-E24	NKD	-142	838	0	-142	0	0
NKD-20240118-S-E25	NKD	-30	725	0	-30	0	0
NKD-20240118-S-E26	NKD	-118	812	0	-92	0	0
NKD-20240118-S-E27	NKD	358	338	0	482	0	0
NKD-20240118-S-E28	NKD	670	25	0	670	0	0
NKD-20240118-S-E29	NKD	432	75	0	432	0	0
NKD-20240118-S-E30	NKD	245	262	0	245	0	0
NKD-20240118-S-E31	NKD	145	362	0	145	0	0
NKD-20240118-S-E32	NKD	208	300	0	232	0	0
NKD-20240118-S-E33	NKD	220	288	0	220	0	0
NKD-20240118-S-E34	NKD	182	325	0	182	0	0
NKD-20240118-S-E35	NKD	-18	525	0	-18	0	0
NKD-20240118-S-E36	NKD	-68	575	0	-68	0	0
NKD-20240118-S-E37	NKD	-42	550	0	-42	0	0
NKD-20240118-S-E38	NKD	258	250	0	332	0	0
NKD-20240118-S-E39	NKD	332	175	0	332	0	0
NKD-20240118-S-E40	NKD	308	50	0	308	0	0
NKD-20240118-S-E41	NKD	182	12	0	182	0	0
NKD-20240118-S-E42	NKD	-30	188	0	-30	0	0
NKD-20240118-S-E43	NKD	-68	112	0	-68	0	0
NKD-20240118-S-E44	NKD	-80	38	0	-80	0	0
NKD-20240118-S-E45	NKD	-142	0	0	-142	0	0
NKD-20240118-S-E46	NKD	-680	125	0	-680	0	0
NKD-20240118-S-E47	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E48	NKD	-818	350	0	-818	0	0
NKD-20240118-S-E49	NKD	-692	225	0	-692	0	0
NKD-20240118-S-E50	NKD	-618	150	0	-618	0	0
NKD-20240118-S-E51	NKD	-592	75	0	-592	0	0
NKD-20240118-S-E52	NKD	-668	100	0	-592	0	0
NKD-20240118-S-E53	NKD	-792	0	0	-792	0	0
NKD-20240118-S-E54	NKD	-818	0	0	-718	0	0
NKD-20240118-S-E55	NKD	-780	50	0	-780	0	0
NKD-20240118-S-E56	NKD	-618	88	0	-555	0	0
NKD-20240118-S-E57	NKD	-480	25	0	-480	0	0
NKD-20240118-S-E58	NKD	-155	350	0	-155	0	0
NKD-20240118-S-E59	NKD	-68	262	0	-5	0	0
NKD-20240118-S-E60	NKD	-92	288	0	-92	0	0
NKD-20240118-S-E61	NKD	-255	225	0	-255	0	0
NKD-20240118-S-E62	NKD	-218	188	0	-218	0	0
NKD-20240118-S-E63	NKD	-205	175	0	-205	0	0
NKD-20240118-S-E64	NKD	-280	250	0	-280	0	0
NKD-20240118-S-E65	NKD	-192	162	0	-192	0	0
NKD-20240118-S-E66	NKD	-142	75	0	-142	0	0
NKD-20240118-S-E67	NKD	-280	0	0	-280	0	0
NKD-20240118-S-E68	NKD	-418	12	0	-418	0	0
NKD-20240118-S-E69	NKD	-355	375	0	-355	0	0
NKD-20240118-S-E70	NKD	-255	275	0	-255	0	0
NKD-20240118-S-E71	NKD	-142	162	0	-142	0	0
NKD-20240118-S-E72	NKD	-180	200	0	-180	0	0
NKD-20240118-S-E73	NKD	-230	250	0	-230	0	0
NKD-20240118-S-E74	NKD	-168	188	0	-168	0	0
NKD-20240118-S-E75	NKD	-142	162	0	-142	0	0
NKD-20240118-S-E76	NKD	-68	88	0	-68	0	0
NKD-20240118-S-E77	NKD	-80	100	0	-80	0	0
NKD-20240118-S-E78	NKD	-142	88	0	-142	0	0
NKD-20240118-S-E79	NKD	-230	162	0	-105	0	0
NKD-20240118-S-E80	NKD	-155	50	0	-155	0	0
NKD-20240118-S-E81	NKD	-405	0	0	-405	0	0
NKD-20240118-S-E82	NKD	-955	38	0	-955	0	0
NKD-20240118-S-E83	NKD	-955	312	0	-955	0	0
NKD-20240118-S-E84	NKD	-955	438	0	-955	0	0
NKD-20240118-S-E85	NKD	-955	250	0	-955	0	0
NKD-20240118-S-E86	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E87	NKD	-955	175	0	-955	0	0
NKD-20240118-S-E88	NKD	-955	275	0	-955	0	0
NKD-20240118-S-E89	NKD	-955	325	0	-955	0	0
NKD-20240118-S-E90	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E91	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E92	NKD	-955	88	0	-955	0	0
NKD-20240118-S-E93	NKD	-955	0	0	-955	0	0
NKD-20240118-S-E94	NKD	-955	362	0	-955	0	0
NKD-20240118-S-E95	NKD	-855	212	0	-742	0	0
NKD-20240118-S-E96	NKD	-768	125	0	-768	0	0
NKD-20240118-S-E97	NKD	-955	275	0	-780	0	0
NKD-20240118-S-E98	NKD	-768	125	0	-768	0	0
NKD-20240118-S-E99	NKD	-842	200	0	-842	0	0
SI-20240118-L-E01	SI	470	838	0	470	0	0
SI-20240118-L-E02	SI	420	888	0	420	0	0
SI-20240118-L-E03	SI	320	988	0	320	0	0
SI-20240118-L-E04	SI	395	913	0	395	0	0
SI-20240118-L-E05	SI	370	938	0	370	0	0
SI-20240118-L-E06	SI	270	1037	0	270	0	0
SI-20240118-L-E07	SI	320	988	0	320	0	0
SI-20240118-L-E08	SI	220	1088	0	220	0	0
SI-20240118-L-E09	SI	282	1025	0	282	0	0
SI-20240118-L-E10	SI	620	687	0	620	0	1
SI-20240118-L-E11	SI	495	813	0	495	0	0
SI-20240118-L-E12	SI	320	988	0	320	0	0
SI-20240118-L-E13	SI	483	825	0	483	0	0
SI-20240118-L-E14	SI	420	888	0	420	0	0
SI-20240118-L-E15	SI	382	925	0	382	0	0
SI-20240118-L-E16	SI	195	1113	0	195	0	0
SI-20240118-L-E17	SI	95	1212	0	95	0	0
SI-20240118-L-E18	SI	-30	1338	0	-30	0	0
SI-20240118-L-E19	SI	45	1263	0	45	0	0
SI-20240118-L-E20	SI	20	1288	0	20	0	0
SI-20240118-L-E21	SI	-418	1325	0	-418	0	0
SI-20240118-L-E22	SI	-218	1125	0	-218	0	0
SI-20240118-L-E23	SI	-280	1188	0	-280	0	0
SI-20240118-L-E24	SI	-280	1188	0	-280	0	0
SI-20240118-L-E25	SI	-230	1137	0	-230	0	0
SI-20240118-L-E26	SI	-5	913	0	-5	0	0
SI-20240118-L-E27	SI	-55	962	0	-55	0	0
SI-20240118-L-E28	SI	-5	913	0	32	0	0
SI-20240118-L-E29	SI	157	750	0	170	0	0
SI-20240118-L-E30	SI	-30	938	0	-30	0	0
SI-20240118-L-E31	SI	-30	938	0	-30	0	0
SI-20240118-L-E32	SI	95	813	0	95	0	0
SI-20240118-L-E33	SI	32	875	0	32	0	0
SI-20240118-L-E34	SI	808	875	0	808	0	0
SI-20240118-L-E35	SI	-930	925	0	-930	0	0
SI-20240118-L-E36	SI	795	888	0	795	0	0
SI-20240118-L-E37	SI	-930	1037	0	-930	0	0
SI-20240118-L-E38	SI	-930	1088	0	-930	0	0
SI-20240118-L-E39	SI	-930	1025	0	-930	0	0
SI-20240118-L-E40	SI	-930	1013	0	-930	0	0
SI-20240118-L-E41	SI	858	825	0	870	0	0
SI-20240118-L-E42	SI	895	788	0	895	0	0
SI-20240118-L-E43	SI	1470	175	1	1508	11	0
SI-20240118-L-E44	SI	1545	100	1	1545	6	0
SI-20240118-L-E45	SI	1470	175	1	1508	2	0
SI-20240118-L-E46	SI	1520	100	1	1520	2	0
SI-20240118-L-E47	SI	1220	400	0	1395	1	0
SI-20240118-L-E48	SI	1457	163	1	1470	3	0
