# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE DAY-ABSTENTION FRONTIER.  causal_top3_running: an (asset, day) qualifies the instant its RUNNING top-3 mean of arrived candidate scores crosses the gate — no day-end quantity is read anywhere
# preday_forecaster: the oracle-free variant — a walk-forward day-value model on the forecaster + overnight state as of the day's FIRST candidate second, no candidate score in it at all
era	gate	gate_pct	gate_value	n_sessions_qualified	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E6	causal_top3_running	q90.0	0.1035	187	top_1%	554	17	537	0.0000	0.0000	0.0000	194.2647	-739.9186	1128.4480	0.1328	0.6538	25.8008	-65.7867	117.3882	471.7857	127.0192	-347.3925	-161.8750	0.0000	0.1154	0.0547	7	8.6003	300.2273	609.5588	0.4118	0.2941	3302.5000
E6	causal_top3_running	q90.0	0.1035	187	top_2%	1107	35	1072	0.0571	-0.0336	0.1479	-141.7857	-495.7430	212.1715	0.2734	1.3462	-38.7695	-131.2685	53.7295	-413.5417	-190.8654	-696.8704	-1793.1250	0.0000	0.2308	0.0938	12	-12.9232	-236.3095	467.6786	0.6000	0.2000	-4962.5000
E6	causal_top3_running	q90.0	0.1035	187	top_5%	2768	65	2703	0.0923	0.0195	0.1652	-26.2500	-375.7482	323.2482	0.5078	2.5000	-13.3301	-183.5443	156.8841	-56.8750	-65.6250	-718.8626	-1395.0000	0.0000	0.2308	0.2344	30	-4.4434	-41.6159	658.6538	0.6000	0.2308	-1706.2500
E6	causal_top3_running	q90.0	0.1035	187	top_100%	55352	524	54828	0.0630	0.0424	0.0835	-104.7257	-199.4692	-9.9821	4.0938	20.1538	-428.7207	-843.8366	-13.6048	-538.0025	-2110.6250	-4913.8131	-10110.6250	-865.0000	0.5769	0.7969	102	-142.9069	-293.4559	497.6503	0.5401	0.1947	-54876.2500
E6	causal_top3_running	q95.0	0.1197	111	top_0.05%	16	1	15	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q95.0	0.1197	111	top_0.1%	32	1	31	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q95.0	0.1197	111	top_0.2%	63	4	59	0.0000	0.0000	0.0000	46.5625	-2434.8671	2527.9921	0.0312	0.1538	1.4551	-27.6230	30.5331	62.0833	7.1635	-144.1625	0.0000	0.0000	0.0769	0.0234	3	0.4850	46.5625	439.0625	0.5000	0.2500	186.2500
E6	causal_top3_running	q95.0	0.1197	111	top_0.5%	158	7	151	0.0000	0.0000	0.0000	-497.8571	-2287.7247	1292.0104	0.0547	0.2692	-27.2266	-85.9255	31.4724	-1161.6667	-134.0385	-435.5602	0.0000	0.0000	0.0769	0.0234	3	-9.0755	-697.0000	540.1786	0.7143	0.1429	-3485.0000
E6	causal_top3_running	q95.0	0.1197	111	top_1%	316	10	306	0.2000	0.0510	0.3490	-83.7500	-1610.9859	1443.4859	0.0781	0.3846	-6.5430	-52.8166	39.7306	-279.1667	-32.2115	-272.7704	0.0000	0.0000	0.0769	0.0234	3	-2.1810	-167.5000	573.7500	0.6000	0.3000	-837.5000
E6	causal_top3_running	q95.0	0.1197	111	top_2%	633	19	614	0.0000	0.0000	0.0000	48.6184	-874.1475	971.3844	0.1484	0.7308	7.2168	-95.1862	109.6198	131.9643	35.5288	-497.3104	-465.0000	0.0000	0.1154	0.0547	7	2.4056	76.9792	566.1184	0.5263	0.2632	923.7500
