ep	asset	sec	side	p	call	src	compl	why
HG-20240419-S-E11	HG	03:16	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E12	HG	03:17	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E16	NK	03:18	L	0.129	SKIP	RUBRIC	-	fresh+level_held+flow+fuel+wide
HG-20240419-S-E12	HG	03:18	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E20	NK	03:20	S	0.016	SKIP	RUBRIC	-	stale+flow_against+wide
SI-20240419-L-E07	SI	03:20	L	0.091	SKIP	RUBRIC	-	level_held+flow
HG-20240419-L-E13	HG	03:20	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E14	HG	03:22	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E08	SI	03:25	S	0.129	SKIP	RUBRIC	-	fresh+level_held+fuel
NKD-20240419-L-E17	NK	03:26	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
HG-20240419-S-E13	HG	03:27	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E15	HG	03:27	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E08	SI	03:27	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-S-E21	NK	03:28	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E09	SI	03:30	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
HG-20240419-S-E14	HG	03:31	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E16	HG	03:32	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E18	NK	03:33	L	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
NKD-20240419-S-E22	NK	03:33	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
SI-20240419-S-E10	SI	03:34	S	0.064	SKIP	RUBRIC	-	fresh+flow_against+fuel
SI-20240419-L-E09	SI	03:35	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240419-L-E17	HG	03:35	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E15	HG	03:36	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E11	SI	03:38	S	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
SI-20240419-L-E10	SI	03:39	L	0.045	SKIP	RUBRIC	-	level_held+flow_against
NKD-20240419-L-E19	NK	03:39	L	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
NKD-20240419-S-E23	NK	03:40	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-L-E18	HG	03:42	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E16	HG	03:46	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E20	NK	03:47	L	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
SI-20240419-S-E12	SI	03:47	S	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
SI-20240419-L-E11	SI	03:47	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240419-L-E19	HG	03:48	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E24	NK	03:48	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E13	SI	03:50	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
NKD-20240419-S-E25	NK	03:51	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-S-E17	HG	03:51	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E26	NK	03:52	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-L-E20	HG	03:52	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E21	NK	03:53	L	0.129	SKIP	RUBRIC	-	fresh+level_held+fuel
SI-20240419-L-E12	SI	03:53	L	0.032	SKIP	RUBRIC	-	flow_against
HG-20240419-S-E18	HG	03:54	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E21	HG	03:55	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E14	SI	03:56	S	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
HG-20240419-L-E22	HG	03:58	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E19	HG	04:00	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E22	NK	04:01	L	0.064	SKIP	RUBRIC	-	flow+fuel+wide
HG-20240419-L-E23	HG	04:01	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E27	NK	04:02	S	0.022	SKIP	RUBRIC	-	stale+wide
HG-20240419-S-E20	HG	04:03	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E15	SI	04:03	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow+wide
HG-20240419-L-E24	HG	04:05	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E21	HG	04:06	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E23	NK	04:06	L	0.064	SKIP	RUBRIC	-	level_held+fuel+wide
SI-20240419-L-E13	SI	04:06	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
SI-20240419-S-E16	SI	04:07	S	0.032	SKIP	RUBRIC	-	level_held+flow_against+wide
NKD-20240419-S-E28	NK	04:07	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
HG-20240419-L-E25	HG	04:09	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E17	SI	04:09	S	0.064	SKIP	RUBRIC	-	level_held
HG-20240419-S-E22	HG	04:10	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E14	SI	04:12	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-L-E24	NK	04:13	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
SI-20240419-S-E18	SI	04:14	S	0.045	SKIP	RUBRIC	-	fuel+wide
NKD-20240419-S-E29	NK	04:15	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-S-E23	HG	04:16	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E25	NK	04:18	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
HG-20240419-L-E26	HG	04:18	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E30	NK	04:19	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-L-E15	SI	04:20	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
SI-20240419-S-E19	SI	04:22	S	0.064	SKIP	RUBRIC	-	level_held
NKD-20240419-S-E31	NK	04:25	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E20	SI	04:26	S	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240419-L-E26	NK	04:26	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
HG-20240419-S-E24	HG	04:26	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E27	HG	04:27	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E16	SI	04:27	L	0.022	SKIP	RUBRIC	-	stale+level_held+flow_against+wide
HG-20240419-L-E28	HG	04:29	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E32	NK	04:30	S	0.016	SKIP	RUBRIC	-	stale+flow_against+wide
SI-20240419-S-E21	SI	04:30	S	0.045	SKIP	RUBRIC	-	level_held+flow_against
SI-20240419-L-E17	SI	04:32	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-L-E29	HG	04:32	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E27	NK	04:35	L	0.091	SKIP	RUBRIC	-	fresh+flow+fuel+wide
HG-20240419-S-E25	HG	04:35	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E22	SI	04:35	S	0.064	SKIP	RUBRIC	-	level_held
HG-20240419-L-E30	HG	04:38	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E18	SI	04:39	L	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against
HG-20240419-S-E26	HG	04:40	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E19	SI	04:43	L	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
NKD-20240419-S-E33	NK	04:43	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E23	SI	04:44	S	0.032	SKIP	RUBRIC	-	level_held+flow_against+wide
HG-20240419-L-E31	HG	04:47	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E28	NK	04:47	L	0.064	SKIP	RUBRIC	-	flow+fuel+wide
HG-20240419-S-E27	HG	04:48	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E29	NK	04:50	L	0.091	SKIP	RUBRIC	-	fresh+flow+fuel+wide
NKD-20240419-S-E34	NK	04:51	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-S-E28	HG	04:51	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E24	SI	04:52	S	0.032	SKIP	RUBRIC	-	level_held+flow_against+wide
HG-20240419-L-E32	HG	04:52	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E35	NK	04:54	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240419-L-E30	NK	04:56	L	0.091	SKIP	RUBRIC	-	fresh+flow+fuel+wide
HG-20240419-S-E29	HG	04:57	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E30	HG	04:59	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E20	SI	05:01	L	0.022	SKIP	RUBRIC	-	stale+level_held+flow_against+wide
HG-20240419-L-E33	HG	05:01	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E36	NK	05:02	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
NKD-20240419-L-E31	NK	05:03	L	0.064	SKIP	RUBRIC	-	flow+fuel+wide
SI-20240419-S-E25	SI	05:04	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-L-E32	NK	05:06	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
HG-20240419-L-E34	HG	05:09	L	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E21	SI	05:09	L	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against+fuel+wide
HG-20240419-S-E31	HG	05:10	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-S-E26	SI	05:11	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240419-L-E22	SI	05:11	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
NKD-20240419-S-E37	NK	05:12	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-L-E35	HG	05:13	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E32	HG	05:14	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E33	NK	05:14	L	0.064	SKIP	RUBRIC	-	flow
SI-20240419-L-E23	SI	05:15	L	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against+fuel+wide
HG-20240419-L-E36	HG	05:16	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E38	NK	05:17	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-S-E33	HG	05:17	S	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-L-E34	NK	05:19	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-S-E39	NK	05:21	S	0.022	SKIP	RUBRIC	-	stale+wide
HG-20240419-L-E37	HG	05:21	L	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
SI-20240419-S-E27	SI	05:22	S	0.032	SKIP	RUBRIC	-	level_held+flow_against+wide
NKD-20240419-L-E35	NK	05:22	L	0.045	SKIP	RUBRIC	-	flow+wide
HG-20240419-S-E34	HG	05:22	S	0.091	SKIP	RUBRIC	-	level_held+flow
SI-20240419-L-E24	SI	05:26	L	0.091	SKIP	RUBRIC	-	fresh+flow+fuel+wide
NKD-20240419-S-E40	NK	05:27	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
HG-20240419-L-E38	HG	05:29	L	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
NKD-20240419-L-E36	NK	05:29	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-S-E41	NK	05:30	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
SI-20240419-S-E28	SI	05:30	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-S-E35	HG	05:31	S	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against
HG-20240419-L-E39	HG	05:33	L	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
SI-20240419-L-E25	SI	05:34	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
HG-20240419-L-E40	HG	05:37	L	0.064	SKIP	RUBRIC	-	level_held+flow_against+fuel
SI-20240419-S-E29	SI	05:37	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
HG-20240419-S-E36	HG	05:37	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-S-E42	NK	05:38	S	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
SI-20240419-L-E26	SI	05:38	L	0.045	SKIP	RUBRIC	-	level_held+flow_against+fuel+wide
HG-20240419-L-E41	HG	05:40	L	0.064	SKIP	RUBRIC	-	level_held+flow_against+fuel
NKD-20240419-L-E37	NK	05:40	L	0.045	SKIP	RUBRIC	-	flow+wide
HG-20240419-S-E37	HG	05:42	S	0.045	SKIP	RUBRIC	-	stale+level_held
SI-20240419-S-E30	SI	05:42	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-S-E43	NK	05:44	S	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against+fuel+wide
SI-20240419-L-E27	SI	05:44	L	0.064	SKIP	RUBRIC	-	level_held+flow_against+fuel
NKD-20240419-L-E38	NK	05:45	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-S-E44	NK	05:47	S	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against+fuel+wide
HG-20240419-S-E38	HG	05:47	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
SI-20240419-S-E31	SI	05:49	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
HG-20240419-L-E42	HG	05:49	L	0.064	SKIP	RUBRIC	-	level_held+flow_against+fuel
HG-20240419-S-E39	HG	05:50	S	0.032	SKIP	RUBRIC	-	stale+level_held+flow_against
NKD-20240419-S-E45	NK	05:51	S	0.022	SKIP	RUBRIC	-	stale+level_held+flow_against+wide
NKD-20240419-L-E39	NK	05:52	L	0.091	SKIP	RUBRIC	-	level_held+flow
HG-20240419-L-E43	HG	05:53	L	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
SI-20240419-L-E28	SI	05:54	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
HG-20240419-S-E40	HG	05:57	S	0.045	SKIP	RUBRIC	-	stale+level_held
SI-20240419-S-E32	SI	05:57	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-S-E46	NK	05:57	S	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
SI-20240419-L-E29	SI	05:58	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
NKD-20240419-L-E40	NK	05:59	L	0.091	SKIP	RUBRIC	-	level_held+flow
HG-20240419-S-E41	HG	06:00	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
HG-20240419-L-E44	HG	06:02	L	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
SI-20240419-S-E33	SI	06:05	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-S-E47	NK	06:05	S	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
HG-20240419-S-E42	HG	06:06	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-L-E41	NK	06:08	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-S-E48	NK	06:09	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
SI-20240419-L-E30	SI	06:12	L	0.064	SKIP	RUBRIC	-	level_held+fuel+wide
NKD-20240419-L-E42	NK	06:14	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240419-S-E34	SI	06:16	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-S-E49	NK	06:17	S	0.032	SKIP	RUBRIC	-	stale+fuel+wide
NKD-20240419-L-E43	NK	06:21	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240419-S-E35	SI	06:24	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-S-E50	NK	06:25	S	0.045	SKIP	RUBRIC	-	stale+level_held+fuel+wide
NKD-20240419-L-E44	NK	06:27	L	0.064	SKIP	RUBRIC	-	level_held+flow+wide
HG-20240419-L-E45	HG	06:32	L	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
NKD-20240419-S-E51	NK	06:32	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-L-E31	SI	06:34	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
SI-20240419-S-E36	SI	06:34	S	0.045	SKIP	RUBRIC	-	stale+level_held
HG-20240419-S-E43	HG	06:35	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-L-E45	NK	06:36	L	0.022	SKIP	RUBRIC	-	stale+wide
NKD-20240419-S-E52	NK	06:38	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
HG-20240419-L-E46	HG	06:39	L	0.129	SKIP	RUBRIC	-	level_held+flow+fuel
NKD-20240419-L-E46	NK	06:40	L	0.022	SKIP	RUBRIC	-	stale+level_held+flow_against+wide
NKD-20240419-S-E53	NK	06:43	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
HG-20240419-S-E44	HG	06:44	S	0.045	SKIP	RUBRIC	-	stale+level_held
SI-20240419-L-E32	SI	06:44	L	0.064	SKIP	RUBRIC	-	level_held+fuel+wide
NKD-20240419-L-E47	NK	06:45	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
SI-20240419-S-E37	SI	06:45	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-S-E54	NK	06:47	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-L-E33	SI	06:48	L	0.091	SKIP	RUBRIC	-	level_held+fuel
HG-20240419-L-E47	HG	06:54	L	0.064	SKIP	RUBRIC	-	level_held+flow_against+fuel
SI-20240419-S-E38	SI	06:55	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-L-E34	SI	06:56	L	0.064	SKIP	RUBRIC	-	fuel
NKD-20240419-L-E48	NK	06:58	L	0.022	SKIP	RUBRIC	-	stale+level_held+flow_against+wide
SI-20240419-S-E39	SI	07:01	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240419-L-E49	NK	07:02	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
SI-20240419-L-E35	SI	07:03	L	0.032	SKIP	RUBRIC	-	stale+fuel+wide
NKD-20240419-S-E55	NK	07:03	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E40	SI	07:05	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-S-E45	HG	07:05	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-L-E50	NK	07:05	L	0.045	SKIP	RUBRIC	-	stale+level_held
SI-20240419-L-E36	SI	07:07	L	0.022	SKIP	RUBRIC	-	stale+flow_against+fuel+wide
HG-20240419-L-E48	HG	07:07	L	0.064	SKIP	RUBRIC	-	stale+level_held+fuel
SI-20240419-S-E41	SI	07:08	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240419-S-E56	NK	07:09	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-S-E46	HG	07:09	S	0.045	SKIP	RUBRIC	-	stale+level_held
NKD-20240419-L-E51	NK	07:12	L	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
SI-20240419-S-E42	SI	07:14	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-S-E57	NK	07:15	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
NKD-20240419-L-E52	NK	07:17	L	0.032	SKIP	RUBRIC	-	stale+level_held+wide
SI-20240419-L-E37	SI	07:18	L	0.064	SKIP	RUBRIC	-	stale+level_held+flow+fuel+wide
HG-20240419-L-E49	HG	07:19	L	0.091	SKIP	RUBRIC	-	stale+level_held+flow+fuel
NKD-20240419-S-E58	NK	07:20	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-L-E53	NK	07:22	L	0.045	SKIP	RUBRIC	-	stale+flow
