# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (c) calibration (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	side	q	era	n	coverage	nominal	abs_err
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	2024	259	0.741313	0.750000	0.008687
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	2025	258	0.709302	0.750000	0.040698
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	FIT_2021_2024	886	0.682844	0.750000	0.067156
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	GATE_2025	258	0.709302	0.750000	0.040698
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	2021	112	0.625000	0.750000	0.125000
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	2022	258	0.542636	0.750000	0.207364
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	2023	257	0.750973	0.750000	0.000973
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	2024	259	0.714286	0.750000	0.035714
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	2025	258	0.755814	0.750000	0.005814
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	FIT_2021_2024	886	0.663657	0.750000	0.086343
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.75	GATE_2025	258	0.755814	0.750000	0.005814
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	2021	112	0.830357	0.900000	0.069643
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	2022	258	0.779070	0.900000	0.120930
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	2023	257	0.898833	0.900000	0.001167
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	2024	259	0.888031	0.900000	0.011969
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	2025	258	0.868217	0.900000	0.031783
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	FIT_2021_2024	886	0.852144	0.900000	0.047856
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.90	GATE_2025	258	0.868217	0.900000	0.031783
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	2021	112	0.866071	0.900000	0.033929
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	2022	258	0.748062	0.900000	0.151938
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	2023	257	0.902724	0.900000	0.002724
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	2024	259	0.872587	0.900000	0.027413
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	2025	258	0.891473	0.900000	0.008527
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	FIT_2021_2024	886	0.844244	0.900000	0.055756
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.90	GATE_2025	258	0.891473	0.900000	0.008527
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	2021	112	0.892857	0.950000	0.057143
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	2022	258	0.848837	0.950000	0.101163
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	2023	257	0.949416	0.950000	0.000584
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	2024	259	0.934363	0.950000	0.015637
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	2025	258	0.906977	0.950000	0.043023
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	FIT_2021_2024	886	0.908578	0.950000	0.041422
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.95	GATE_2025	258	0.906977	0.950000	0.043023
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	2021	112	0.910714	0.950000	0.039286
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	2022	258	0.856589	0.950000	0.093411
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	2023	257	0.941634	0.950000	0.008366
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	2024	259	0.934363	0.950000	0.015637
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	2025	258	0.961240	0.950000	0.011240
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	FIT_2021_2024	886	0.910835	0.950000	0.039165
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.95	GATE_2025	258	0.961240	0.950000	0.011240
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	2021	112	0.526786	0.500000	0.026786
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	2022	258	0.310078	0.500000	0.189922
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	2023	257	0.486381	0.500000	0.013619
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	2024	259	0.486486	0.500000	0.013514
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	2025	257	0.482490	0.500000	0.017510
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	FIT_2021_2024	886	0.440181	0.500000	0.059819
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.50	GATE_2025	257	0.482490	0.500000	0.017510
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	2021	112	0.482143	0.500000	0.017857
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	2022	258	0.356589	0.500000	0.143411
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	2023	257	0.474708	0.500000	0.025292
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	2024	259	0.501931	0.500000	0.001931
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	2025	257	0.470817	0.500000	0.029183
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	FIT_2021_2024	886	0.449210	0.500000	0.050790
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.50	GATE_2025	257	0.470817	0.500000	0.029183
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	2021	112	0.767857	0.750000	0.017857
