# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (f) marginal value (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	era	n_extremes	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover	union_cover_after
SI	P1_SIDE_SETTLE	SESSION_HL	2023	514	41	2	0.003891	0.920233	0.924125
SI	P1_SIDE_SETTLE	SESSION_HL	2024	518	23	0	0.000000	0.955598	0.955598
SI	P1_SIDE_SETTLE	SESSION_HL	FIT_2021_2024	1832	148	7	0.003821	0.919214	0.923035
SI	P1_SIDE_SETTLE	SESSION_HL	GATE_2025	516	38	5	0.009690	0.926357	0.936047
SI	P1_SIDE_SOPEN	SESSION_HL	2021	284	61	3	0.010563	0.785211	0.795775
SI	P1_SIDE_SOPEN	SESSION_HL	2022	516	23	1	0.001938	0.955426	0.957364
SI	P1_SIDE_SOPEN	SESSION_HL	2023	514	41	1	0.001946	0.920233	0.922179
SI	P1_SIDE_SOPEN	SESSION_HL	2024	518	23	1	0.001931	0.955598	0.957529
SI	P1_SIDE_SOPEN	SESSION_HL	FIT_2021_2024	1832	148	6	0.003275	0.919214	0.922489
SI	P1_SIDE_SOPEN	SESSION_HL	GATE_2025	516	38	4	0.007752	0.926357	0.934109
SI	P2_LOGIT	SESSION_HL	2022	516	23	0	0.000000	0.955426	0.955426
SI	P2_LOGIT	SESSION_HL	2023	514	41	1	0.001946	0.920233	0.922179
SI	P2_LOGIT	SESSION_HL	2024	518	23	0	0.000000	0.955598	0.955598
SI	P2_LOGIT	SESSION_HL	FIT_2021_2024	1832	148	1	0.000546	0.919214	0.919760
SI	P2_LOGIT	SESSION_HL	GATE_2025	516	38	0	0.000000	0.926357	0.926357
SI	P2_OLS	SESSION_HL	2022	516	23	0	0.000000	0.955426	0.955426
SI	P2_OLS	SESSION_HL	2023	514	41	0	0.000000	0.920233	0.920233
SI	P2_OLS	SESSION_HL	2024	518	23	0	0.000000	0.955598	0.955598
