# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# max(2 x tick_$, 0.05 x ATR14_prev_$) / mult
# family levels displaced +0.5 x ATR14_prev_$ / mult, sign alternating by level index within the family (D-052 null)
# D-054/CC-M1-4: TWO_SIDED and spread_$ <= min(10 x trailing-phase-median spread_$, $500); trailing median = same-phase per-session medians over the 20 STRICTLY PRIOR sessions (>= 5 observations, else only the cap binds); insane seconds typed-excluded, never interpolated
# n_scored = extremes where the family declares a compatible-side level (capture/null denominator); n_extremes = ALL realized extremes of the target (marginal_pp denominator)
asset	family	target	era	n_scored	n_extremes	applicable_frac	n_hit	capture	n_hit_null	null_capture	lift	med_dist_usd	med_dist_atr	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover
SI	P2_OLS	SESSION_HL	GATE_2025	516	516	1.000000	47	0.091085	23	0.044574	2.043478	1344.016069	0.326243	38	0	0.000000	0.926357
SI	P2_UNCOND	SESSION_HL	2022	260	516	0.503876	27	0.103846	20	0.076923	1.350000	870.830194	0.316063	23	0	0.000000	0.955426
SI	P2_UNCOND	SESSION_HL	2023	514	514	1.000000	48	0.093385	16	0.031128	3.000000	667.922025	0.272107	41	0	0.000000	0.920233
SI	P2_UNCOND	SESSION_HL	2024	518	518	1.000000	43	0.083012	22	0.042471	1.954545	944.668117	0.299360	23	0	0.000000	0.955598
SI	P2_UNCOND	SESSION_HL	FIT_2021_2024	1292	1832	0.705240	118	0.091331	58	0.044892	2.034483	791.487111	0.290834	148	0	0.000000	0.919214
SI	P2_UNCOND	SESSION_HL	GATE_2025	516	516	1.000000	43	0.083333	23	0.044574	1.869565	1332.085779	0.325357	38	1	0.001938	0.926357
SI	P3_OR30	REST_OF_WINDOW|LONDON	2021	284	284	1.000000	155	0.545775	11	0.038732	14.090909	87.500000	0.034677	83	58	0.204225	0.707746
SI	P3_OR30	REST_OF_WINDOW|LONDON	2022	516	516	1.000000	252	0.488372	42	0.081395	6.000000	150.000000	0.053229	35	16	0.031008	0.932171
SI	P3_OR30	REST_OF_WINDOW|LONDON	2023	514	514	1.000000	269	0.523346	40	0.077821	6.725000	100.000000	0.040508	26	11	0.021401	0.949416
SI	P3_OR30	REST_OF_WINDOW|LONDON	2024	518	518	1.000000	287	0.554054	8	0.015444	35.875000	131.250000	0.040450	33	9	0.017375	0.936293
SI	P3_OR30	REST_OF_WINDOW|LONDON	FIT_2021_2024	1832	1832	1.000000	963	0.525655	101	0.055131	9.534653	115.625000	0.042658	177	94	0.051310	0.903384
SI	P3_OR30	REST_OF_WINDOW|LONDON	GATE_2025	516	516	1.000000	231	0.447674	19	0.036822	12.157895	275.000000	0.062857	35	6	0.011628	0.932171
SI	P3_OR30	REST_OF_WINDOW|NY	2021	284	284	1.000000	109	0.383803	49	0.172535	2.224490	250.000000	0.099436	68	32	0.112676	0.760563
SI	P3_OR30	REST_OF_WINDOW|NY	2022	516	516	1.000000	212	0.410853	77	0.149225	2.753247	225.000000	0.086532	38	11	0.021318	0.926357
SI	P3_OR30	REST_OF_WINDOW|NY	2023	514	514	1.000000	197	0.383268	74	0.143969	2.662162	250.000000	0.106610	41	5	0.009728	0.920233
SI	P3_OR30	REST_OF_WINDOW|NY	2024	518	518	1.000000	185	0.357143	81	0.156371	2.283951	387.500000	0.120570	29	7	0.013514	0.944015
SI	P3_OR30	REST_OF_WINDOW|NY	FIT_2021_2024	1832	1832	1.000000	703	0.383734	281	0.153384	2.501779	275.000000	0.105147	176	55	0.030022	0.903930
SI	P3_OR30	REST_OF_WINDOW|NY	GATE_2025	516	516	1.000000	199	0.385659	84	0.162791	2.369048	390.625000	0.099908	37	10	0.019380	0.928295
SI	P3_OR30	REST_OF_WINDOW|SESSION	2021	284	284	1.000000	80	0.281690	36	0.126761	2.222222	606.250000	0.250417	59	21	0.073944	0.792254
SI	P3_OR30	REST_OF_WINDOW|SESSION	2022	516	516	1.000000	120	0.232558	91	0.176357	1.318681	687.500000	0.253396	23	4	0.007752	0.955426
SI	P3_OR30	REST_OF_WINDOW|SESSION	2023	514	514	1.000000	113	0.219844	76	0.147860	1.486842	700.000000	0.292008	41	7	0.013619	0.920233
SI	P3_OR30	REST_OF_WINDOW|SESSION	2024	518	518	1.000000	132	0.254826	73	0.140927	1.808219	737.500000	0.230825	22	4	0.007722	0.957529
SI	P3_OR30	REST_OF_WINDOW|SESSION	FIT_2021_2024	1832	1832	1.000000	445	0.242904	276	0.150655	1.612319	700.000000	0.259161	145	36	0.019651	0.920852
SI	P3_OR30	REST_OF_WINDOW|SESSION	GATE_2025	516	516	1.000000	139	0.269380	74	0.143411	1.878378	893.750000	0.218551	37	4	0.007752	0.928295
SI	P3_OR30	REST_OF_WINDOW|TOKYO	2021	284	284	1.000000	147	0.517606	13	0.045775	11.307692	106.250000	0.043070	86	55	0.193662	0.697183
SI	P3_OR30	REST_OF_WINDOW|TOKYO	2022	516	516	1.000000	240	0.465116	29	0.056202	8.275862	150.000000	0.060505	34	26	0.050388	0.934109
SI	P3_OR30	REST_OF_WINDOW|TOKYO	2023	514	514	1.000000	238	0.463035	26	0.050584	9.153846	150.000000	0.060077	26	17	0.033074	0.949416
SI	P3_OR30	REST_OF_WINDOW|TOKYO	2024	518	518	1.000000	217	0.418919	52	0.100386	4.173077	253.125000	0.081280	26	17	0.032819	0.949807
SI	P3_OR30	REST_OF_WINDOW|TOKYO	FIT_2021_2024	1832	1832	1.000000	842	0.459607	120	0.065502	7.016667	162.500000	0.060607	172	115	0.062773	0.906114
SI	P3_OR30	REST_OF_WINDOW|TOKYO	GATE_2025	516	516	1.000000	226	0.437984	39	0.075581	5.794872	296.875000	0.070451	21	12	0.023256	0.959302
SI	P3_OR60	REST_OF_WINDOW|LONDON	2021	284	284	1.000000	143	0.503521	8	0.028169	17.875000	118.750000	0.049358	84	40	0.140845	0.704225
SI	P3_OR60	REST_OF_WINDOW|LONDON	2022	516	516	1.000000	254	0.492248	31	0.060078	8.193548	125.000000	0.051224	34	14	0.027132	0.934109
SI	P3_OR60	REST_OF_WINDOW|LONDON	2023	514	514	1.000000	284	0.552529	18	0.035019	15.777778	100.000000	0.037920	24	10	0.019455	0.953307
SI	P3_OR60	REST_OF_WINDOW|LONDON	2024	518	518	1.000000	222	0.428571	3	0.005792	74.000000	218.750000	0.067326	35	4	0.007722	0.932432
SI	P3_OR60	REST_OF_WINDOW|LONDON	FIT_2021_2024	1832	1832	1.000000	903	0.492904	60	0.032751	15.050000	137.500000	0.051777	177	68	0.037118	0.903384
SI	P3_OR60	REST_OF_WINDOW|LONDON	GATE_2025	516	516	1.000000	181	0.350775	11	0.021318	16.454545	393.750000	0.096058	42	2	0.003876	0.918605
