cid	call	conf	primary
SI-20210701-002080-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-002106-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-002632-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-003862-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-004801-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-004802-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-005218-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-005769-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-005896-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-005965-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-005968-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-006338-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-006420-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-006451-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-006461-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-006622-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007069-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007073-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007106-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=639.59 vs threshold $639.60
NKD-20210701-007321-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007363-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007365-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007449-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007458-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007465-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007487-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007490-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007514-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007532-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007548-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007574-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007581-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007628-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007693-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007741-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=500.14 vs threshold $639.60
NKD-20210701-007766-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007775-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007781-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007843-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007928-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007935-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007984-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-007996-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008039-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008070-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008135-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-008162-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008192-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=500.14 vs threshold $639.60
NKD-20210701-008229-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008281-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008307-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008360-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008374-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008394-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008433-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008435-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008485-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008502-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008531-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008546-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008629-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008649-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008722-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008803-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008905-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-008918-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=639.59 vs threshold $639.60
NKD-20210701-008944-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009110-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009129-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009213-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009218-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-009409-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009622-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009638-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-009674-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009732-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009828-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009880-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009883-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009917-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009924-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-009995-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010031-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010034-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-010069-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-010272-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-010342-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010553-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010583-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010605-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-010625-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-010965-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011029-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011035-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011056-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011067-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011096-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011107-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011123-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011157-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011182-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011220-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011226-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011273-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011277-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011310-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011352-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011446-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011492-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011559-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011630-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011637-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011698-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011853-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-011860-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011903-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-011917-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-011967-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-012004-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012010-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-012045-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012201-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012208-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012245-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012255-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012277-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012284-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012291-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012312-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=500.14 vs threshold $639.60
SI-20210701-012383-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-012388-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-012439-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-012447-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012483-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012493-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012600-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012723-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-012732-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-012783-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-013134-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
HG-20210701-013282-S	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=120s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-013299-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-013313-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=639.59 vs threshold $639.60
NKD-20210701-013340-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-013359-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
SI-20210701-013361-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=180s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-013377-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=516.84 vs threshold $639.60
NKD-20210701-013383-L	SKIP	C	primary: frozen mechanical policy — EARLIEST member of its EPISODE_CAUSAL group (K*=150s) and S13 class census cond_value$=639.59 vs threshold $639.60
